Computer Alias,Action Required,OS,Last Connected,Group,Local Update Host
BRR102.brr.local,-,Win10,Online,Default Group,N/A
BRR103.brr.local,-,Win10,Online,Default Group,N/A
BRR104.brr.local,-,Win10,Online,Default Group,N/A
BRR105.brr.local,-,Win10,Online,Default Group,N/A
BRR106,-,Win10,Online,Default Group,N/A
BRR107,-,Win10,Online,Default Group,N/A
BRR108,-,Win10,Online,Default Group,N/A
BRR109,-,Win10,Online,Default Group,N/A
BRR110,-,Win10,Online,Default Group,N/A
BRR111,-,Win10,Online,Default Group,N/A
BRR112.brr.local,-,Win10,Online,Default Group,N/A
BRR113,-,Win10,Online,Default Group,N/A
BRR114.brr.local,-,Win10,Online,Default Group,N/A
BRR115.brr.local,-,Win10,Online,Default Group,N/A
BRR116,-,Win10,Online,Default Group,N/A
BRR117,-,Win10,Online,Default Group,N/A
BRR118,-,Win10,Online,Default Group,N/A
brr119.brr.local,-,Win10,Online,Default Group,N/A
BRR120,-,Win10,Online,Default Group,N/A
BRR121VM.brr.local,-,Win10,Online,Default Group,N/A
BRR122VM.brr.local,-,Win10,Online,Default Group,N/A
BRR123VM.brr.local,-,Win10,Online,Default Group,N/A
BRR124,-,Win10,Online,Default Group,N/A
BRR125,-,Win10,Online,Default Group,N/A
BRR126,-,Win10,Online,Default Group,N/A
BRR127.brr.local,-,Win10,3/30/2020,Default Group,N/A
BRR128.brr.local,-,Win10,Online,Default Group,N/A
BRR129.brr.local,-,Win10,Online,Default Group,N/A
BRR130,-,Win10,Online,Default Group,N/A
BRR131,-,Win10,Online,Default Group,N/A
BRR132.brr.local,-,Win10,Online,Default Group,N/A
BRR133.brr.local,-,Win10,Online,Default Group,N/A
BRR134.brr.local,-,Win10,Online,Default Group,N/A
BRR138VM.brr.local,-,Win10,Online,Default Group,N/A
BRRABACUS.brr.local,-,Win2016,Online,Default Group,N/A
BRRAPP1.brr.local,-,Win2016,Online,Default Group,N/A
BRRDC1.brr.local,Needs Restart,Win2016,Online,Default Group,N/A
BRRFILESHARE1.brr.local,-,Win2016,Online,Default Group,N/A
DORA-PC.brr.local,-,Win10,Online,Default Group,N/A
LONNIEPC.brr.local,-,Win10,3/30/2020,Default Group,N/A
MERCURY-PC.brr.local,-,Win7,Online,Default Group,N/A
SCANNER-PC,-,Win10,Online,Default Group,N/A
