Device Name,Machine Name,Domain/Workgroup,Last Seen,Last Logged User,Last Reboot Time,IP Address,Customer Name,OS Type,OS Edition,OS Version,OS Build,Office,AntiVirus,Vendor,Motherboard,Model,Serial Number,Processor,Memory,Display,Sound,Harddrive,CDRom,Network Adapter,System Drive,MAC Addresses,Port 21,Port 25,Port 80,Port 443,Port 3389,Critical Patch,Security Patch,Service Pack Patch,Upgrade Patch,Optional Patches
CPPFMLPTP135,CPPFMLPTP135,cppfm.local,"December 4, 2020 4:36:28 PM","CPPFM\sdodds (Since: Dec 4, 2020 8:12:06 AM)","December 4, 2020 12:21:18 AM",24.242.136.78/192.168.0.159;,Cedar Park Pediatric and Family Medicine,Work Station,Microsoft Windows 10 Pro  x64,2004,19041.630,N/A,Sentinel Agent,Dell Inc.,Dell Inc. 0MDVYM ,Inspiron 5593,DSXPP03,Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz ,7.77 GB,Intel(R) UHD Graphics,Realtek Audio,BC501 NVMe SK hynix 256GB (238GB),,"Qualcomm QCA9377 802.11ac Wireless Adapter,Realtek PCIe FE Family Controller,Bluetooth Device (Personal Area Network)",C,40:5B:D8:75:11:27 (Primary)40:5B:D8:75:11:28 98:E7:43:2C:FE:D9 ,0,0,0,0,1,0,0,0,0,0
CPPFMLPTP133,CPPFMLPTP133,cppfm.local,"February 5, 2021 10:14:04 AM","CPPFM\mmarshall (Since: Feb 5, 2021 7:48:01 AM)","February 2, 2021 12:55:19 PM",97.79.255.2/192.168.204.125;,Cedar Park Pediatric and Family Medicine,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.1316,N/A,Symantec Endpoint Protection,Dell Inc.,Dell Inc. 0DDKKC ,Inspiron 3583,C55C0Y2,Intel(R) Core(TM) i3-8145U CPU @ 2.10GHz ,7.88 GB,Intel(R) UHD Graphics 620,Realtek Audio,CL1-3D128-Q11 NVMe LITEON 128GB (119GB),,"Bluetooth Device (Personal Area Network),Qualcomm QCA9377 802.11ac Wireless Adapter,Realtek PCIe FE Family Controller",C,C0:B5:D7:65:E3:AD C0:B5:D7:65:E3:AE (Primary)D8:D0:90:47:42:05 ,0,0,0,0,1,0,0,2,0,0
CPPFMLPTP134,CPPFMLPTP134,cppfm.local,"February 5, 2021 10:14:01 AM","CPPFM\sdejesus (Since: Feb 4, 2021 2:06:40 PM)","February 4, 2021 2:06:14 PM",97.79.255.2,Cedar Park Pediatric and Family Medicine,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.1316,N/A,Symantec Endpoint Protection,Dell Inc.,Dell Inc. 0DDKKC ,Inspiron 3583,20ZR0Y2,Intel(R) Core(TM) i3-8145U CPU @ 2.10GHz ,7.88 GB,Intel(R) UHD Graphics 620,Realtek Audio,CL1-3D128-Q11 NVMe LITEON 128GB (119GB),,"Qualcomm QCA9377 802.11ac Wireless Adapter,Realtek PCIe FE Family Controller,Bluetooth Device (Personal Area Network)",C,C0:B5:D7:65:E6:6B C0:B5:D7:65:E6:6C (Primary)D8:D0:90:47:41:F1 ,0,0,0,0,1,0,0,2,0,0
CPPFM-LPTP106,CPPFM-LPTP106,cppfm.local,"March 25, 2020 3:38:45 PM","CPPFM\King (Since: Mar 23, 2020 7:39:40 AM)","March 23, 2020 6:38:30 AM",97.79.255.2/192.168.0.105;,Cedar Park Pediatric and Family Medicine,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.720,N/A,Symantec Endpoint Protection,Dell Inc.,Dell Inc. 05HM5Y ,XPS 13 9360,F1VQMH2,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz ,7.73 GB,Intel(R) HD Graphics 620,Realtek Audio,NVMe KXG50ZNV256G NVM (238GB),,"Killer Wireless-n/a/ac 1535 Wireless Network Adapter,Bluetooth Device (Personal Area Network)",C,N/A,0,0,0,0,1,0,0,0,0,0
CPPFM-LPTP118,CPPFM-LPTP118,cppfm.local,"February 5, 2021 10:14:04 AM","CPPFM\mmoore (Since: Feb 4, 2021 7:50:08 AM)","February 2, 2021 7:21:16 AM",24.242.136.78/192.168.0.161;,Cedar Park Pediatric and Family Medicine,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.1316,N/A,Symantec Endpoint Protection,Dell Inc.,Dell Inc. 0531FD ,Latitude E7240,B0NSRY1,Intel(R) Core(TM) i5-4300U CPU @ 1.90GHz ,7.91 GB,Intel(R) HD Graphics Family,Realtek High Definition Audio,SAMSUNG SSD SM841 mSATA 256GB (238GB),,"Intel(R) Ethernet Connection I218-LM,Intel(R) Dual Band Wireless-AC 7260,Bluetooth Device (Personal Area Network)",C,0C:8B:FD:30:B4:84 0C:8B:FD:30:B4:88 F0:1F:AF:3F:18:C1 (Primary),0,0,0,0,0,0,0,1,0,0
CPPFMBILLING004,CPPFMBILLING004,cppfm.local,"February 5, 2021 10:14:04 AM","CPPFM\lgonzales (Since: Feb 5, 2021 7:55:00 AM)","February 5, 2021 7:54:08 AM",24.242.136.78/192.168.0.138;,Cedar Park Pediatric and Family Medicine,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,N/A,Sentinel Agent,Dell Inc.,Dell Inc. 0M5DCD ,OptiPlex 390,JRZTJS1,Intel(R) Core(TM) i5-2400 CPU @ 3.10GHz ,3.97 GB,ATI Radeon HD 3450 (Microsoft Corporation WDDM 1.1) ,Conexant HD Audio,ST3250312AS ATA Device (232GB),PLDS DVD-ROM DH-16D6S ATA Device,Realtek PCIe GBE Family Controller,C,00:FF:4B:69:19:A2 D4:BE:D9:BE:F3:9C (Primary),0,0,0,0,1,0,0,0,0,0
CPPFMPC102,CPPFMPC102,cppfm.local,"February 5, 2021 10:14:01 AM","CPPFM\casey.davis (Since: Feb 4, 2021 7:18:21 AM),CPPFM\mmorris (Since: Feb 4, 2021 8:13:29 AM)","February 4, 2021 7:43:58 AM",97.79.255.2/192.168.204.179;,Cedar Park Pediatric and Family Medicine,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,N/A,Sentinel Agent,Dell Inc.,Dell Inc. 0VNP2H ,OptiPlex 990,4297YQ1,Intel(R) Core(TM) i5-2400 CPU @ 3.10GHz ,7.88 GB,Intel(R) HD Graphics,High Definition Audio Device,WL500GSA6472 (465GB),HL-DT-ST DVD+-RW GH70N,Intel(R) 82579LM Gigabit Network Connection,C,00:FF:D1:C6:B0:78 78:2B:CB:B0:03:95 (Primary),0,0,0,0,1,0,0,0,0,1
CPPFMPC104,CPPFMPC104,cppfm.local,"February 5, 2021 10:14:01 AM","CPPFM\bholbrook (Since: Feb 3, 2021 7:50:45 AM)","February 1, 2021 7:47:53 AM",97.79.255.2/192.168.204.181;,Cedar Park Pediatric and Family Medicine,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,N/A,Sentinel Agent,Dell Inc.,Dell Inc. 05XGC8 ,OptiPlex 3040,CSQ3PD2,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz ,7.88 GB,Intel(R) HD Graphics 530,Intel(R) Display Audio,ST500DM0 02-1SB10A SCSI Disk Device (465GB),PLDS DVD+-RW DU-8A5LH SCSI CdRom Device,Realtek PCIe GBE Family Controller,C,18:66:DA:2C:08:AB (Primary),0,0,0,0,1,0,0,1,0,2
CPPFMPC113,CPPFMPC113,cppfm.local,"February 5, 2021 10:14:04 AM","CPPFM\cadams (Since: Feb 4, 2021 4:52:18 PM)","February 4, 2021 4:49:06 PM",24.242.136.78/192.168.0.154;,Cedar Park Pediatric and Family Medicine,Work Station,Microsoft Windows 10 Pro  x64,2004,19041.746,N/A,Sentinel Agent,Dell Inc.,Dell Inc. 0WR7PY ,OptiPlex 7010,6HS2Z12,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz ,7.89 GB,Intel(R) HD Graphics,Intel(R) Display Audio,Hitachi HUA722020ALA331 ATA Device (1863GB),hp CDDVDW SN-208FB ATA Device,Intel(R) 82579LM Gigabit Network Connection,C,34:17:EB:BE:91:9D (Primary),0,0,0,0,1,0,0,2,0,0
CPPFMLPTP131,CPPFMLPTP131,cppfm.local,"February 5, 2021 2:25:43 PM","CPPFM\mgarcia (Since: Feb 5, 2021 2:23:30 PM)","February 5, 2021 2:23:09 PM",24.242.136.78/192.168.0.159;,Cedar Park Pediatric and Family Medicine,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.1316,N/A,Symantec Endpoint Protection,Dell Inc.,Dell Inc. 0NH5TF ,Inspiron 5481,84Z8KT2,Intel(R) Core(TM) i3-8145U CPU @ 2.10GHz ,3.78 GB,Intel(R) UHD Graphics 620,Intel(R) Display Audio,BC501 NVMe SK hynix 128GB (119GB),,"Qualcomm QCA9377 802.11ac Wireless Adapter,Bluetooth Device (Personal Area Network)",C,C0:B5:D7:21:01:59 (Primary)C0:B5:D7:21:01:5A ,0,0,0,0,1,0,0,1,0,0
