Endpoint Name,Site,Last Logged In User,Group,Domain,Account,Console Visible IP,Agent Version,Last Active,Subscribed On,Health Status,Device Type,OS,OS Version,Architecture,Memory,CPU Count,Core Count,MAC Address,Management Connectivity,Network Status,Update Status,Scan Status,IP Addresses,Pending Uninstall,Disk Encryption,Vulnerability Status,Agent UUID,Agent ID,Customer Identifier,Console Migration Status,Locations,Agent Operational State
CPPFMPC117,Default site,King,Default Group,CPPFM,Cedar Park Pediatrics,24.242.136.78,4.4.12.260,2021-02-03T18:10:06.189965Z,2020-05-03T19:32:14.332214Z,Healthy,desktop,Windows,"Windows 10 Pro,19041",64 bit,16 GB,6,6,"['e4:54:e8:9f:31:45', 'e4:54:e8:9f:31:45']",Offline,Connected,Up to date,N/A,"['192.168.0.177', 'fe80::f586:d11d:99c4:96f3']",No,Off,Up to date,3ca2cd56c3cc4b73af757063c6efb026,883366847826056243,N/A,N/A,['Fallback'],Not disabled by the user
CPPFMTAB20,Default site,Nurse,Default Group,WORKGROUP,Cedar Park Pediatrics,24.242.136.78,4.4.12.260,2021-02-03T23:01:08.643932Z,2020-06-15T17:53:31.124522Z,Healthy,laptop,Windows,"Windows 8.1,9600",64 bit,4 GB,4,4,"['74:29:af:14:00:ab', '74:29:af:14:00:ab']",Offline,Connected,Up to date,Completed (2020-06-18T16:57:03.604038Z),"['192.168.0.166', 'fe80::57f:9064:705:736f']",No,Off,Requires patching,6773a1b7d09943338f80897fd9800a07,914482516724977532,N/A,N/A,['Fallback'],Not disabled by the user
CPPFMTAB15,Default site,Nurse,Default Group,WORKGROUP,Cedar Park Pediatrics,97.79.255.2,4.4.12.260,2021-02-04T20:48:04.290208Z,2020-08-28T17:06:14.888160Z,Healthy,laptop,Windows,"Windows 10 Home,18363",64 bit,8 GB,4,4,"['e4:02:9b:2e:0f:90', 'e4:02:9b:2e:0f:90']",Offline,Connected,Up to date,Completed (2020-08-28T18:03:11.713442Z),"['192.168.204.141', 'fe80::58d4:c55d:298f:2713']",No,Off,Requires patching,25b4a087934b4e2199303644a974acd8,968092128758866389,N/A,N/A,['Fallback'],Not disabled by the user
CPPFMPC118,Default site,jcardwell,Default Group,CPPFM,Cedar Park Pediatrics,24.242.136.78,4.4.12.260,2021-02-04T22:58:06.560440Z,2020-05-13T23:53:42.911596Z,Healthy,desktop,Windows,"Windows 10 Pro,19041",64 bit,16 GB,6,6,"['e4:54:e8:9f:2f:b3', 'e4:54:e8:9f:2f:b3']",Offline,Connected,Up to date,Completed (2020-05-14T01:42:56.477733Z),"['192.168.0.175', 'fe80::2cbe:8ec4:6ce3:7f2b']",No,Off,Requires patching,158a19c17bf04de48f6a538803e5f717,890746210526432574,N/A,N/A,['Fallback'],Not disabled by the user
CPPFMLPTP136,Default site,jcardwell,Default Group,CPPFM,Cedar Park Pediatrics,24.242.136.78,4.4.12.260,2021-02-04T22:58:09.078725Z,2020-09-10T13:52:53.989780Z,Healthy,laptop,Windows,"Windows 10 Pro,19041",64 bit,8 GB,8,8,"['04:6c:59:0c:54:c7', '04:6c:59:0c:54:c7']",Offline,Connected,Up to date,Completed (2020-09-11T18:58:40.717812Z),"['192.168.0.156', 'fe80::c5be:894:d73f:305b']",No,Off,Up to date,8e8422db98424d1cb4704780bf91a99d,977416897879277458,N/A,N/A,['Fallback'],Not disabled by the user
CPPFMLPTP140,Default site,erin,Default Group,CPPFM,Cedar Park Pediatrics,97.79.255.2,4.4.12.260,2021-02-05T18:44:01.149404Z,2020-12-29T19:35:47.977167Z,Healthy,laptop,Windows,"Windows 10 Pro,19042",64 bit,8 GB,8,8,"['3c:9c:0f:a9:02:b3', '3c:9c:0f:a9:02:b3']",Offline,Connected,Up to date,Completed (2020-12-29T20:50:46.285164Z),"['192.168.204.146', 'fe80::1109:9d46:6845:6713']",No,Off,Up to date,edbd2e67fc8e4668a91ea0457947e6e2,1057314815428027065,N/A,N/A,['Fallback'],Not disabled by the user
CPPFMVH1,Default site,N/A,Default Group,WORKGROUP,Cedar Park Pediatrics,24.242.136.78,4.4.12.260,2021-02-05T20:45:07.759738Z,2020-05-01T20:38:04.191864Z,Healthy,server,Windows,"Windows Server 2012 R2 Standard,9600",64 bit,96 GB,24,24,"['a4:ba:db:3e:b8:17', 'a4:ba:db:3e:b8:17', 'a4:ba:db:3e:b8:15', 'a4:ba:db:3e:b8:15']",Offline,Connected,Up to date,Completed (2020-05-01T21:04:49.860942Z),"['192.168.0.198', '192.168.0.199', 'fe80::b47b:8d55:ce87:e399', 'fe80::8872:10c:1dba:9cf1']",No,Off,Requires patching,bda24a50a0364a02b09e01dbabab1474,881950430191536017,N/A,N/A,['Fallback'],Not disabled by the user
CPPFM-LPTP106,Default site,Cameron King,Default Group,CPPFM,Cedar Park Pediatrics,97.79.255.2,4.4.12.260,2021-02-05T20:58:41.987317Z,2020-05-05T01:30:37.461200Z,Healthy,laptop,Windows,"Windows 10 Pro,19042",64 bit,8 GB,4,4,"['9c:b6:d0:ed:0d:07', '9c:b6:d0:ed:0d:07']",Offline,Connected,Up to date,Completed (2020-05-05T02:29:23.406295Z),"['192.168.204.135', 'fe80::885b:d149:1ca6:b979']",No,Off,Up to date,7c5af59b910a4388b1eea366523cc714,884272004880178882,N/A,N/A,['Fallback'],Not disabled by the user
CPPFM-TS2,Default site,N/A,Default Group,CPPFM,Cedar Park Pediatrics,24.242.136.70,4.4.12.260,2021-02-05T20:59:56.811461Z,2020-05-07T00:58:59.113794Z,Healthy,server,Windows,"Windows Server 2008 R2 Standard,7601 SP1",64 bit,24 GB,8,8,"['00:15:5d:02:67:00', '00:15:5d:02:67:00']",Offline,Connected,Up to date,Aborted (2020-07-08T10:04:09.377625Z),"['192.168.0.6', 'fe80::440a:32ac:8b83:f4ee']",No,Off,Requires patching,a3514010339b4ab28537286f7d99170f,885705631789550336,N/A,N/A,['Fallback'],Not disabled by the user
CPPFMPC109,Default site,casey.davis,Default Group,CPPFM,Cedar Park Pediatrics,24.242.136.78,4.4.12.260,2021-02-05T21:01:22.710024Z,2020-06-03T13:29:48.822888Z,Healthy,desktop,Windows,"Windows 10 Pro,19041",64 bit,8 GB,4,4,"['d8:9e:f3:03:97:1b', 'd8:9e:f3:03:97:1b']",Offline,Connected,Up to date,Completed (2020-06-03T18:32:50.782922Z),"['192.168.0.203', 'fe80::64bd:378b:8f99:e68f']",No,Off,Up to date,796ae9683af14e728aed9a13e1886887,905652480870034057,N/A,N/A,['Fallback'],Not disabled by the user
CPPFM-LPTP112,Default site,aflorence,Default Group,CPPFM,Cedar Park Pediatrics,24.242.136.78,4.4.12.260,2021-02-05T21:03:28.884853Z,2020-06-29T18:25:44.613980Z,Healthy,laptop,Windows,"Windows 10 Pro,19041",64 bit,8 GB,4,4,"['9c:b6:d0:ed:0f:dd', '9c:b6:d0:ed:0f:dd']",Online,Connected,Up to date,Completed (2020-06-29T18:59:29.577664Z),"['192.168.0.180', 'fe80::880b:a493:837b:947a']",No,Off,Up to date,e50cdca4591e415c9a51374cfe4376c7,924645596237149346,N/A,N/A,['Fallback'],Not disabled by the user
CPPFM-LPTP111,Default site,lmoore,Default Group,CPPFM,Cedar Park Pediatrics,97.79.255.2,4.4.12.260,2021-02-05T21:04:15.539850Z,2020-06-12T00:02:52.638654Z,Healthy,laptop,Windows,"Windows 10 Pro,19041",64 bit,8 GB,4,4,"['9c:b6:d0:f9:46:f1', '9c:b6:d0:f9:46:f1']",Online,Connected,Up to date,Completed (2020-06-12T00:42:28.299980Z),"['192.168.204.103', 'fe80::5a0:19ab:b81e:660f']",No,Off,Up to date,1dbcc1df66174bff832005d0fcbac053,911769318056735857,N/A,N/A,['Fallback'],Not disabled by the user
CPPFM-LPTP107,Default site,jjordan,Default Group,CPPFM,Cedar Park Pediatrics,97.79.255.2,4.4.12.260,2021-02-05T21:04:15.539850Z,2020-07-09T02:17:23.152805Z,Healthy,laptop,Windows,"Windows 10 Pro,19041",64 bit,8 GB,4,4,"['9c:b6:d0:ed:0f:eb', '9c:b6:d0:ed:0f:eb']",Online,Connected,Up to date,N/A,"['192.168.204.123', 'fe80::1585:278:f4e0:a7d3']",No,Off,Up to date,5f033f965dfa4db2b15749992659e56b,931405963171640241,N/A,N/A,['Fallback'],Not disabled by the user
CPPFMLPTP132,Default site,kjohnson,Default Group,CPPFM,Cedar Park Pediatrics,24.242.136.78,4.4.12.260,2021-02-05T21:04:19.205194Z,2020-05-06T20:09:22.983472Z,Healthy,laptop,Windows,"Windows 10 Pro,18363",64 bit,4 GB,4,4,"['c0:b5:d7:21:c4:d3', 'c0:b5:d7:21:c4:d3']",Online,Connected,Up to date,Completed (2020-05-07T17:48:56.233727Z),"['192.168.0.179', 'fe80::4970:eb0e:746:2910']",No,Off,Up to date,b99678a59c4e487b8bef28e8711224bf,885559869875306118,N/A,N/A,['Fallback'],Not disabled by the user
CPPFM-LPTP114,Default site,bmathew,Default Group,CPPFM,Cedar Park Pediatrics,24.242.136.78,4.4.12.260,2021-02-05T21:04:20.976933Z,2020-07-08T18:27:24.443164Z,Healthy,laptop,Windows,"Windows 10 Pro,19041",64 bit,8 GB,4,4,"['9c:b6:d0:ed:11:b1', '9c:b6:d0:ed:11:b1']",Online,Connected,Up to date,Completed (2020-07-08T19:01:51.163341Z),"['192.168.0.152', 'fe80::e11c:ebd1:685c:90da']",No,Off,Up to date,4bb8127bb7cf4de58c3b710067965a9e,931169415260819465,N/A,N/A,['Fallback'],Not disabled by the user
Medserver,Default site,N/A,Default Group,CPPFM,Cedar Park Pediatrics,172.31.54.161,2.0.0.79,2021-02-05T21:04:21.333333Z,2020-05-07T00:54:38.740486Z,Healthy,server,Windows Legacy,"Windows Server 2008,ServicePack2",32 bit,4 GB,2,2,['00:15:5d:02:67:02'],Online,Connected,Up to date,N/A,['192.168.0.12'],No,Off,Requires patching,8a047bb4d75b9385a4dbbe49561673807f8ba068,885703447630896467,N/A,N/A,N/A,Not disabled by the user
CPPFM-LPTP105,Default site,esilvabaeza,Default Group,CPPFM,Cedar Park Pediatrics,24.242.136.78,4.4.12.260,2021-02-05T21:04:23.699901Z,2020-05-04T17:31:42.091212Z,Healthy,laptop,Windows,"Windows 10 Pro,19041",64 bit,8 GB,4,4,"['9c:b6:d0:ed:10:4d', '9c:b6:d0:ed:10:4d']",Online,Connected,Up to date,Aborted (2020-05-04T17:34:07.356457Z),"['192.168.200.172', 'fe80::297d:8919:750:dd5d']",No,Off,Up to date,7ab2811540f04a04ae4dd9dfaab18536,884030955130549253,N/A,N/A,['Fallback'],Not disabled by the user
CPPFMDC2,Default site,N/A,Default Group,CPPFM,Cedar Park Pediatrics,97.79.255.2,4.4.12.260,2021-02-05T21:04:24.368234Z,2020-05-01T20:30:19.097828Z,Healthy,server,Windows,"Windows Server 2012 R2 Datacenter,9600",64 bit,4 GB,4,4,"['00:15:5d:02:70:00', '00:15:5d:02:70:00']",Online,Connected,Up to date,Completed (2020-05-01T22:12:59.567107Z),"['192.168.204.2', 'fe80::d431:dd7d:b331:e9aa']",No,Off,Up to date,1902690a94a143fb998b8d771cd8a9fd,881946528691877241,N/A,N/A,['Fallback'],Not disabled by the user
CPPFMPC105,Default site,amartinez,Default Group,CPPFM,Cedar Park Pediatrics,24.242.136.78,4.4.12.260,2021-02-05T21:04:24.697264Z,2020-06-10T21:07:15.462990Z,Healthy,desktop,Windows,"Windows 10 Pro,19041",64 bit,8 GB,4,4,"['18:66:da:2c:09:0a', '18:66:da:2c:09:0a']",Online,Connected,Up to date,Completed (2020-06-10T23:55:49.447454Z),"['192.168.0.148', 'fe80::25e1:691d:b5e0:1c92']",No,Off,Up to date,b70d8a898c7e45dabea88f7fd38a552c,910956150087489597,N/A,N/A,['Fallback'],Not disabled by the user
cppfmbilling004,Default site,lgonzales,Default Group,CPPFM,Cedar Park Pediatrics,24.242.136.78,4.0.3.53,2021-02-05T21:04:24.879252Z,2020-05-03T20:21:51.249491Z,Healthy,desktop,Windows,"Windows 7 Professional,7601 SP1",64 bit,4 GB,4,4,"['d4:be:d9:be:f3:9c', 'd4:be:d9:be:f3:9c']",Online,Connected,Out of date,Aborted (2020-05-03T20:30:27.220480Z),"['192.168.0.138', 'fe80::d0aa:f4:c7f3:3b3f']",No,Off,Requires patching,51ea2e16973d407a9e31e2a06aba0cad,883391820016215377,N/A,N/A,['Fallback'],Not disabled by the user
CPPFMPC120,Default site,vbarba,Default Group,CPPFM,Cedar Park Pediatrics,24.242.136.78,4.4.12.260,2021-02-05T21:04:25.308877Z,2020-10-21T23:36:23.964313Z,Healthy,desktop,Windows,"Windows 10 Pro,19041",64 bit,12 GB,6,6,"['70:b5:e8:26:ac:ec', '70:b5:e8:26:ac:ec']",Online,Connected,Up to date,Completed (2020-10-22T01:28:34.079067Z),"['192.168.0.205', 'fe80::a996:393:7de0:e672']",No,Off,Up to date,5b52ded4a20e486faaf78fadf8ee829c,1007426387816352434,N/A,N/A,['Fallback'],Not disabled by the user
CPPFM-LPTP110,Default site,rchavez,Default Group,CPPFM,Cedar Park Pediatrics,24.242.136.78,4.4.12.260,2021-02-05T21:04:25.768070Z,2020-07-09T02:16:56.304939Z,Healthy,laptop,Windows,"Windows 10 Pro,19041",64 bit,8 GB,4,4,"['9c:b6:d0:ed:13:71', '9c:b6:d0:ed:13:71']",Online,Connected,Up to date,Completed (2020-07-09T03:12:20.471722Z),"['192.168.0.144', 'fe80::c8e6:db8b:2e3e:b2c6']",No,Off,Up to date,12e065a4a76c40489196f24a1fd4dd9c,931405737954290921,N/A,N/A,['Fallback'],Not disabled by the user
CPPFMPC104,Default site,bholbrook,Default Group,CPPFM,Cedar Park Pediatrics,97.79.255.2,4.4.12.260,2021-02-05T21:04:26.693765Z,2020-05-03T18:57:10.596102Z,Healthy,desktop,Windows,"Windows 7 Professional,7601 SP1",64 bit,8 GB,4,4,"['18:66:da:2c:08:ab', '18:66:da:2c:08:ab']",Online,Connected,Up to date,N/A,"['192.168.204.181', 'fe80::25b0:b3fc:493:8146']",No,Off,Requires patching,a144189e36a44682a100eaa1d407658f,883349200400915451,N/A,N/A,['Fallback'],Not disabled by the user
CPPFMLPTP137,Default site,King,Default Group,CPPFM,Cedar Park Pediatrics,97.79.255.2,4.4.12.260,2021-02-05T21:04:30.282794Z,2020-09-10T14:13:56.596776Z,Healthy,laptop,Windows,"Windows 10 Pro,19041",64 bit,8 GB,8,8,"['04:6c:59:0c:e4:0a', '04:6c:59:0c:e4:0a']",Online,Connected,Up to date,Completed (2020-09-10T15:22:19.762147Z),"['192.168.204.185', 'fe80::808a:bc37:a1fc:5aa4']",No,Off,Up to date,983d0d4ddb464409a5375d5568e13285,977427489419927822,N/A,N/A,['Fallback'],Not disabled by the user
CPPFMVH2,Default site,N/A,Default Group,WORKGROUP,Cedar Park Pediatrics,97.79.255.2,4.0.3.53,2021-02-05T21:04:31.703787Z,2020-05-01T20:37:59.470893Z,Healthy,server,Windows,"Windows Server 2012 R2 Standard,9600",64 bit,96 GB,24,24,"['78:2b:cb:79:d8:f8', '78:2b:cb:79:d8:f8', '78:2b:cb:79:d8:f6', '78:2b:cb:79:d8:f6']",Online,Connected,Out of date,Completed (2020-05-01T21:30:21.624700Z),"['192.168.204.199', 'fe80::5c0a:ecea:f357:399d', '192.168.204.105', 'fe80::51f5:36b:7ba3:fa44']",No,Off,Up to date,03c4cc96d3f1472a8db1548ff3a45439,881950390580528529,N/A,N/A,['Fallback'],Not disabled by the user
