Device Name,Machine Name,Domain/Workgroup,Last Seen,Last Logged User,Last Reboot Time,IP Address,Customer Name,OS Type,OS Edition,OS Version,OS Build,Office,AntiVirus,Vendor,Motherboard,Model,Serial Number,Processor,Memory,Display,Sound,Harddrive,CDRom,Network Adapter,System Drive,MAC Addresses,Port 21,Port 25,Port 80,Port 443,Port 3389,Critical Patch,Security Patch,Service Pack Patch,Upgrade Patch,Optional Patches
CCMCQBC1,CCMCQBC1,CCMC.DOM,"August 3, 2020 5:20:08 PM","CCMC\jtaylor (Since: Jul 28, 2020 1:18:04 PM)","July 28, 2020 12:15:51 PM",208.10.145.250/10.3.244.201;169.254.104.217;,Coleman County Medical Center,Server,Microsoft Windows Server 2008 R2 Enterprise SP1 x64,6.1,7601,N/A,,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,3951-8342-7812-7808-1168-6122-95,Intel(R) Xeon(R) CPU X5570 @ 2.93GHz ,8 GB,Microsoft Hyper-V Video,N/A,Virtual HD ATA Device (199GB),Msft Virtual CD/ROM ATA Device,Microsoft Hyper-V Network Adapter,C,00:15:5D:F4:14:03 (Primary)02:00:4C:4F:4F:50 ,0,0,0,0,1,0,0,0,0,0
CCMCCENTRIQSQL,CCMCCENTRIQSQL,CCMC.DOM,"June 10, 2020 1:57:13 AM","CCMC\healthland (Since: May 29, 2020 3:57:42 PM)","May 28, 2020 6:14:32 AM",64.20.236.4/10.21.31.148;,Coleman County Medical Center,Server,Microsoft Windows Server 2016 Standard  x64,1607,14393.3686,N/A,Symantec Endpoint Protection,"VMware, Inc.",Intel Corporation 440BX Desktop Reference Platform ,VMware Virtual Platform,VMware-56 4d 50 ce c8 77 d5 f3-59 d8 d3 18 dc 75 db d8,Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz ,90 GB,VMware SVGA 3D,N/A,"VMware Virtual disk SCSI Disk Device (252GB),VMware Virtual disk SCSI Disk Device (74GB),VMware Virtual disk SCSI Disk Device (99GB),VMware Virtual disk SCSI Disk Device (255GB),VMware Virtual disk SCSI Disk Device (149GB),VMware Virtual disk SCSI Disk Device (102GB),VMware Virtual disk SCSI Disk Device (249GB),VMware Virtual disk SCSI Disk Device (139GB)",NECVMWar VMware SATA CD00,vmxnet3 Ethernet Adapter,C,00:50:56:B2:70:80 (Primary),0,0,0,0,1,0,0,2,0,0
CCMCLP109,CCMCLP109,CCMC.DOM,"August 3, 2020 5:20:05 PM","CCMC\hramirez (Since: Jul 30, 2020 10:06:52 AM)","July 30, 2020 10:06:20 AM",208.10.145.250/10.3.244.234;,Coleman County Medical Center,Work Station,Microsoft Windows 10 Pro  x64,1903,18362.959,"Microsoft Office Professional 2007 SP3, Build  12.0.6612.1000",Sentinel Agent,HP,HP 837F ,HP ProBook 470 G5,5CD9255WV6,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz ,7.89 GB,Intel(R) UHD Graphics 620,Conexant ISST Audio,WDC PC SN520 SDAPNUW-256G-1006 (238GB),,"Realtek PCIe GbE Family Controller,Realtek RTL8822BE 802.11ac PCIe Adapter,Bluetooth Device (Personal Area Network)",C,80:E8:2C:1E:06:85 (Primary)EC:5C:68:E0:54:C7 EC:5C:68:E0:54:C8 ,0,0,0,0,1,0,0,0,0,0
CCMC-303,CCMC-303,CCMC.DOM,"August 3, 2020 5:20:07 PM","CCMC\mminshew (Since: Jul 27, 2020 8:34:41 AM),CCMC\vmurray (Since: Jul 28, 2020 10:07:28 AM)","July 24, 2020 11:02:38 AM",208.10.145.250/10.3.244.79;,Coleman County Medical Center,Work Station,Microsoft Windows 10 Pro  x64,2004,19041.388,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Sentinel Agent,MINIX,MINIX N42C-4 ,N42C-4,Default string,Intel(R) Pentium(R) CPU J4205 @ 1.50GHz ,7.85 GB,Intel(R) HD Graphics 505,Intel(R) Display Audio,"Samsung BJNB4R (29GB),WDC WDS250G2B0B (232GB)",,"Intel(R) Dual Band Wireless-AC 3168,Realtek PCIe GBE Family Controller #3,Bluetooth Device (Personal Area Network)",C,20:79:18:3F:41:E3 (Primary)20:79:18:3F:41:E7 A0:1E:0B:0D:65:C6 ,0,0,0,0,1,0,0,1,0,0
CCMC-300,CCMC-300,CCMC.DOM,"August 3, 2020 5:20:04 PM","CCMC\administrator (Since: Jul 24, 2020 4:47:26 PM)","July 24, 2020 4:42:25 PM",208.10.145.250/10.3.244.45;,Coleman County Medical Center,Server,Microsoft Windows Server 2008 R2 Standard SP1 x64,6.1,7601,N/A,Symantec Endpoint Protection,HP,,ProLiant ML310e Gen8 v2,MX244901BD,Intel(R) Xeon(R) CPU E3-1220 v3 @ 3.10GHz ,7.84 GB,Standard VGA Graphics Adapter,N/A,HP LOGICAL VOLUME SCSI Disk Device (465GB),hp DVD-RAM GHB0N SCSI CdRom Device,"HP Ethernet 1Gb 2-port 332i Adapter,HP Ethernet 1Gb 2-port 332i Adapter #2",C,64:51:06:F9:FF:EC (Primary)64:51:06:F9:FF:ED ,0,0,1,1,1,0,0,0,0,0
CCMCOFFSITEDC3,CCMCOFFSITEDC3,CCMC.DOM,"August 3, 2020 5:20:06 PM","CCMC\administrator (Since: Jul 2, 2020 8:20:50 AM)","July 24, 2020 3:24:28 PM",64.20.236.4/10.21.31.240;,Coleman County Medical Center,Domain Controller,Microsoft Windows Server 2012 R2 Standard  x64,6.3,9600,N/A,,"VMware, Inc.",Intel Corporation 440BX Desktop Reference Platform ,VMware Virtual Platform,VMware-42 32 ab e6 5f f5 79 18-9a e1 d7 da bc 3a 17 db,Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz ,4 GB,VMware SVGA 3D,N/A,VMware Virtual disk SCSI Disk Device (39GB),NECVMWar VMware IDE CDR10 ATA Device,Intel(R) 82574L Gigabit Network Connection,C,00:50:56:B2:BA:CD (Primary),0,0,0,0,1,0,0,0,0,0
CCMCDC2,CCMCDC2,CCMC.DOM,"August 3, 2020 5:20:04 PM","CCMC\administrator (Since: Jul 6, 2020 8:02:16 AM)","July 28, 2020 12:15:20 PM",208.10.145.250/10.3.244.14;169.254.5.94;,Coleman County Medical Center,Domain Controller,Microsoft Windows Server 2008 R2 Enterprise SP1 x64,6.1,7601,N/A,Symantec Endpoint Protection,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,9160-6409-1554-5441-3418-5065-95,Intel(R) Xeon(R) CPU X5570 @ 2.93GHz ,6 GB,Microsoft Hyper-V Video,N/A,Virtual HD ATA Device (147GB),Msft Virtual CD/ROM ATA Device,Microsoft Hyper-V Network Adapter,C,00:15:5D:F4:14:00 (Primary)02:00:4C:4F:4F:50 ,0,0,0,0,1,0,0,0,0,0
CCMCLP110,CCMCLP110,CCMC.DOM,"August 3, 2020 5:20:06 PM","CCMC\mmaxwell (Since: Jul 24, 2020 9:10:17 AM),CCMC\sdiaz (Since: Jul 27, 2020 10:36:35 AM)","July 22, 2020 3:12:25 AM",208.10.145.250/10.3.244.19;,Coleman County Medical Center,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.997,"Microsoft Office Professional 2007 SP3, Build  12.0.6612.1000",Sentinel Agent,HP,HP 837F ,HP ProBook 470 G5,5CD9255WWC,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz ,7.89 GB,Intel(R) UHD Graphics 620,Conexant ISST Audio,WDC PC SN520 SDAPNUW-256G-1006 (238GB),,"Realtek RTL8822BE 802.11ac PCIe Adapter,Realtek PCIe GbE Family Controller,Bluetooth Device (Personal Area Network)",C,80:E8:2C:1E:06:8B EC:5C:68:E0:36:35 (Primary)EC:5C:68:E0:36:36 ,0,0,0,0,1,0,0,0,0,0
CCMCRDS01,CCMCRDS01,CCMC.DOM,"August 3, 2020 5:20:04 PM","CCMC\dhail (Since: Jul 29, 2020 7:59:11 AM),CCMC\ssocong (Since: Jul 29, 2020 8:29:50 AM),CCMC\sratliff (Since: Jul 30, 2020 11:29:47 AM),CCMC\khorne (Since: Aug 1, 2020 10:24:49 AM),CCMC\tgilbrea (Since: Aug 3, 2020 7:03:03 AM),CCMC\celkin (Since: Aug 3, 2020 7:28:51 AM),CCMC\ccoghlan (Since: Aug 3, 2020 7:53:00 AM),CCMC\sbarker (Since: Aug 3, 2020 7:59:34 AM),CCMC\ccurty (Since: Aug 3, 2020 8:02:38 AM),CCMC\ssmith (Since: Aug 3, 2020 8:10:31 AM),CCMC\tkirkpat (Since: Aug 3, 2020 8:23:07 AM),CCMC\rwhite (Since: Aug 3, 2020 8:47:43 AM),CCMC\mburdick (Since: Aug 3, 2020 8:58:01 AM),CCMC\arogers (Since: Aug 3, 2020 9:18:00 AM),CCMC\wsmith (Since: Aug 3, 2020 9:52:04 AM),CCMC\bbrooks (Since: Aug 3, 2020 10:21:59 AM),CCMC\ecrutche (Since: Aug 3, 2020 11:08:12 AM)","July 27, 2020 12:05:41 PM",64.20.236.4/10.21.31.242;169.254.119.172;,Coleman County Medical Center,Server,Microsoft Windows Server 2016 Standard  x64,1607,14393.3808,"Microsoft Office Standard 2016, Build  16.0.4266.1001",Symantec Endpoint Protection,"VMware, Inc.",Intel Corporation 440BX Desktop Reference Platform ,VMware Virtual Platform,VMware-56 4d 51 3f fc 4f e6 e1-bd 06 3e b0 a7 c6 d1 64,Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz ,16 GB,VMware SVGA 3D,N/A,VMware Virtual disk SCSI Disk Device (39GB),NECVMWar VMware SATA CD00,vmxnet3 Ethernet Adapter,C,00:50:56:B2:1C:02 (Primary)02:00:4C:4F:4F:50 ,0,0,0,0,1,0,1,1,0,5
CCMCCENTRIQAPP,CCMCCENTRIQAPP,CCMC.DOM,"June 10, 2020 1:57:15 AM","CCMC\healthland (Since: Jun 9, 2020 5:25:15 PM)","May 28, 2020 6:13:43 AM",64.20.236.4/10.21.31.147;,Coleman County Medical Center,Server,Microsoft Windows Server 2016 Standard  x64,1607,14393.3686,N/A,Symantec Endpoint Protection,"VMware, Inc.",Intel Corporation 440BX Desktop Reference Platform ,VMware Virtual Platform,VMware-56 4d 75 88 63 db 72 7b-88 84 da 27 63 ef bc 81,Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz ,32 GB,VMware SVGA 3D,N/A,"VMware Virtual disk SCSI Disk Device (749GB),VMware Virtual disk SCSI Disk Device (49GB),VMware Virtual disk SCSI Disk Device (149GB),VMware Virtual disk SCSI Disk Device (139GB)",NECVMWar VMware SATA CD00,vmxnet3 Ethernet Adapter,C,00:50:56:B2:E5:D3 (Primary),1,0,1,0,1,0,3,2,0,6
