Endpoint Name,Site,Last Logged In User,Group,Domain,Account,Console Visible IP,Agent Version,Last Active,Subscribed On,Health Status,Device Type,OS,OS Version,Architecture,Memory,CPU Count,MAC Address,Management Connectivity,Network Status,Update Status,Scan Status,IP Addresses,Pending Uninstall,Disk Encryption,Vulnerability Status,Agent UUID,Agent ID,Customer Identifier,Console Migration Status,Locations
CCMC-311,Default site,datwood,Default Group,CCMC,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:37.336327Z,2020-05-13T02:45:23.674949Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,a0:1e:0b:0d:67:72,Online,Connected,Up to date,N/A,192.168.2.151,No,Off,Up to date,f0f9a7e256204886a1cdd1223fc85622,8.90108E+17,N/A,N/A,Fallback
CCMC-368,Default site,bbrudney,Default Group,CCMC,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:44.918258Z,2020-05-13T08:22:26.259977Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,a0:1e:0b:0d:6a:0a,Online,Connected,Up to date,Aborted (2020-05-13T08:26:55.857440Z),10.3.244.55,No,Off,Up to date,ef848aecf25e4ee0ae024090e89a9234,8.90277E+17,N/A,N/A,Fallback
CCMC-366,Default site,mmaxwell,Default Group,CCMC,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:03.161577Z,2020-05-13T08:09:32.958254Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,a0:1e:0b:0d:66:55,Online,Connected,Up to date,Completed (2020-05-13T16:47:10.256556Z),"10.3.244.153, fe80::4cca:fdad:795d:f2db",No,Off,Up to date,05238cf45d024ce3b627c8fd69cf7dee,8.90271E+17,N/A,N/A,Fallback
CCMCDC1,Default site,N/A,Default Group,CCMC,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:18.341804Z,2020-07-02T14:17:40.867263Z,Healthy,server,Windows,"Windows Server 2008 R2 Enterprise,7601 SP1",64 bit,4 GB,1,00:15:5d:f4:12:06,Online,Connected,Up to date,Completed (2020-07-02T16:11:24.219128Z),"fe80::b99f:f92c:5502:8149, 10.3.244.13",No,Off,Up to date,d25d2b9347ec4c76b8b023aa32909453,9.26695E+17,N/A,N/A,Fallback
CCMC-307,Default site,ecrutche,Default Group,CCMC,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:35.776775Z,2020-05-13T17:07:07.294520Z,Healthy,desktop,Windows,"Windows 10 Pro,19041",64 bit,8 GB,4,a0:1e:0b:0d:69:f9,Online,Connected,Up to date,N/A,10.3.244.113,No,Off,Up to date,e3379669e4dc472baf07fdb73f7d42cd,8.90542E+17,N/A,N/A,Fallback
CCMC-362,Default site,wsmith,Default Group,CCMC,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:33.571321Z,2020-05-13T07:23:12.307284Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,a0:1e:0b:0d:6f:2a,Online,Connected,Up to date,N/A,10.3.244.120,No,Off,Up to date,d39effd6675043b1b3ca43111f3440fd,8.90248E+17,N/A,N/A,Fallback
CCMC-331,Default site,wlasater,Default Group,CCMC,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:28.999558Z,2020-05-13T04:37:38.303663Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,a0:1e:0b:0d:6d:eb,Online,Connected,Up to date,Completed (2020-05-13T10:56:02.488394Z),10.3.244.155,No,Off,Up to date,36ffc2ab891c4838957c6533994f1143,8.90164E+17,N/A,N/A,Fallback
CCMCRDS02,Default site,N/A,Default Group,CCMC,Coleman County Medical Center,64.20.236.4,4.1.4.82,2020-08-04T22:34:04.227849Z,2020-07-17T15:03:38.894147Z,Healthy,server,Windows,"Windows Server 2016 Standard,14393",64 bit,16 GB,4,"02:00:4c:4f:4f:50, 00:50:56:b2:a7:ea",Online,Connected,Up to date,Completed (2020-07-18T00:43:57.766130Z),"fe80::c038:324a:2528:ee79, 169.254.238.121, 10.21.31.243",No,Off,Requires patching,e4c090a21651474da5e3f84500d54a2c,9.3759E+17,N/A,N/A,Fallback
CCMC-367,Default site,ccoghlan,Default Group,CCMC,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:20.228788Z,2020-05-13T08:29:45.797047Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,a0:1e:0b:0d:67:d2,Online,Connected,Up to date,Completed (2020-05-13T17:56:21.134668Z),10.3.244.38,No,Off,Up to date,6f43602e9a61475a84b580973b57846a,8.90281E+17,N/A,N/A,Fallback
CCMC-316,Default site,hhunter,Default Group,CCMC,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:17.312861Z,2020-05-13T03:07:58.554385Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,a0:1e:0b:0d:66:8a,Online,Connected,Up to date,N/A,10.3.244.105,No,Off,Up to date,14ab92c897494e0ba72fd5cbe24c241f,8.90119E+17,N/A,N/A,Fallback
CCMC-329,Default site,bwsystems,Default Group,CCMC,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:20.485256Z,2020-05-13T04:37:57.179198Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,"f4:d1:08:d6:94:08, a0:1e:0b:0d:66:7a",Online,Connected,Up to date,N/A,"fe80::80a2:284f:1249:dbce, 10.3.244.191, 169.254.2.15",No,Off,Up to date,1543063849fb4a90976898f199443d20,8.90164E+17,N/A,N/A,Fallback
CCMC-349,Default site,krobinso,Default Group,CCMC,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:10.375530Z,2020-05-13T06:35:22.565732Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,a0:1e:0b:0d:66:9a,Online,Connected,Up to date,N/A,10.3.244.141,No,Off,Up to date,21e4a46c3bc54705b38eaaef6202053b,8.90224E+17,N/A,N/A,Fallback
CCMCRDS03,Default site,N/A,Default Group,CCMC,Coleman County Medical Center,64.20.236.4,4.1.4.82,2020-08-04T22:34:13.177711Z,2020-07-21T01:07:42.175840Z,Healthy,server,Windows,"Windows Server 2016 Standard,14393",64 bit,16 GB,4,"00:50:56:b2:3d:34, 02:00:4c:4f:4f:50",Online,Connected,Up to date,Completed (2020-07-21T07:42:23.291843Z),"fe80::b54a:e82b:83d0:a259, 10.21.31.244, 169.254.209.81, fe80::1cdd:511e:440f:d151",No,Off,Requires patching,244267d9b43041ce8937839f422e3283,9.40068E+17,N/A,N/A,Fallback
CCMC-379,Default site,sedwards,Default Group,CCMC,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:05.470680Z,2020-05-13T09:33:12.440544Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,a0:1e:0b:0d:66:f4,Online,Connected,Up to date,In progress (2020-05-13T09:34:40.030374Z),10.3.244.103,No,Off,Up to date,1fdbb1b6f07c4f818c8bda20d6d600fc,8.90313E+17,N/A,N/A,Fallback
CCMC-325,Default site,lbaum,Default Group,COLEMAN,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:28.029800Z,2020-05-13T03:57:32.965707Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,a0:1e:0b:0d:66:80,Online,Connected,Up to date,Aborted (2020-05-13T04:00:46.254594Z),"192.168.2.133, fe80::dc01:1841:7cb1:1da0",No,Off,Up to date,c95c619fcec84a949fba1760dd0d1b46,8.90144E+17,N/A,N/A,Fallback
CCMC-328,Default site,arogers,Default Group,COLEMAN,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:02.638214Z,2020-05-13T04:29:47.214363Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,a0:1e:0b:0d:66:84,Online,Connected,Up to date,N/A,"fe80::2908:d08:2cb8:b2ef, 192.168.2.130",No,Off,Up to date,f527bef2f1c649369280ddc5776e3863,8.9016E+17,N/A,N/A,Fallback
