Computer Alias,Action Required,OS,Last Connected,Group,Local Update Host
ADMIN-LT1.CCMC.DOM,-,Win7,Online,Default Group,N/A
CCCM-212.CCMC.DOM,-,Win7,Online,Default Group,N/A
CCM-182.CCMC.DOM,-,Win7,Online,Default Group,N/A
CCMC-101.COLEMAN.LOCAL,-,Win7,Online,Default Group,N/A
CCMC-103.COLEMAN.LOCAL,-,Win7,Online,Default Group,N/A
CCMC-104.COLEMAN.LOCAL,-,Win7,Online,Default Group,N/A
CCMC-105.COLEMAN.LOCAL,-,Win7,Online,Default Group,N/A
CCMC-106,-,Win7,Online,Default Group,N/A
CCMC-109.CCMC.DOM,-,Win7,2/26/2020,Default Group,N/A
CCMC-150.CCMC.DOM,-,Win7,Online,Default Group,N/A
CCMC-152.CCMC.DOM,-,Win7,Online,Default Group,N/A
CCMC-154.CCMC.DOM,-,Win7,Online,Default Group,N/A
CCMC-155.CCMC.DOM,-,Win7,Online,Default Group,N/A
CCMC-156.CCMC.DOM,-,Win7,Online,Default Group,N/A
CCMC-157.CCMC.DOM,-,Win7,Online,Default Group,N/A
CCMC-159.COLEMAN.LOCAL,-,Win7,Online,Default Group,N/A
CCMC-161.CCMC.DOM,-,Win7,Online,Default Group,N/A
CCMC-162.CCMC.DOM,-,Win7,Online,Default Group,N/A
CCMC-163.CCMC.DOM,-,Win7,Online,Default Group,N/A
CCMC-167.CCMC.DOM,-,Win7,Online,Default Group,N/A
CCMC-170.COLEMAN.LOCAL,-,Win7,Online,Default Group,N/A
CCMC-171.COLEMAN.LOCAL,-,Win7,Online,Default Group,N/A
CCMC-172.CCMC.DOM,-,Win7,Online,Default Group,N/A
CCMC-173.CCMC.DOM,-,Win7,Online,Default Group,N/A
CCMC-174.CCMC.DOM,-,Win7,Online,Default Group,N/A
CCMC-175.CCMC.DOM,-,Win7,Online,Default Group,N/A
CCMC-176.CCMC.DOM,-,Win7,Online,Default Group,N/A
CCMC-177.CCMC.DOM,-,Win7,2/22/2020,Default Group,N/A
CCMC-180.COLEMAN.LOCAL,-,Win7,Online,Default Group,N/A
CCMC-181.CCMC.DOM,-,Win7,Online,Default Group,N/A
CCMC-183.CCMC.DOM,-,Win7,Online,Default Group,N/A
CCMC-185.CCMC.DOM,-,Win7,3/10/2020,Default Group,N/A
CCMC-186.CCMC.DOM,-,Win7,Online,Default Group,N/A
CCMC-187.CCMC.DOM,-,Win7,Online,Default Group,N/A
CCMC-201.CCMC.DOM,-,Win7,Online,Default Group,N/A
CCMC-210.CCMC.DOM,-,Win7,Online,Default Group,N/A
CCMC-211.COLEMAN.LOCAL,-,Win7,Online,Default Group,N/A
CCMC-214.COLEMAN.LOCAL,-,Win7,Online,Default Group,N/A
CCMC-216.CCMC.DOM,-,Win7,Online,Default Group,N/A
CCMC-218.CCMC.DOM,-,Win7,Online,Default Group,N/A
CCMC-219.CCMC.DOM,-,Win7,Online,Default Group,N/A
CCMC-220.CCMC.DOM,-,Win7,Online,Default Group,N/A
CCMC-221.CCMC.DOM,-,Win7,Online,Default Group,N/A
CCMC-222,-,Win7,Online,Default Group,N/A
CCMC-300.CCMC.DOM,Needs Restart,Win2008,Online,Default Group,N/A
CCMC-301.CCMC.DOM,-,Win7,Online,Default Group,N/A
CCMC-302.CCMC.DOM,-,Win7,Online,Default Group,N/A
CCMC-303,-,Win10,Online,Default Group,N/A
CCMC-303TABLET.CCMC.DOM,-,Win7,Online,Default Group,N/A
CCMC-304.CCMC.DOM,-,Win10,Online,Default Group,N/A
CCMC-305.CCMC.DOM,-,Win10,3/18/2020,Default Group,N/A
