Device Name,Machine Name,Domain/Workgroup,Last Seen,Last Logged User,Last Reboot Time,IP Address,Customer Name,OS Type,OS Edition,OS Version,OS Build,Office,AntiVirus,Vendor,Motherboard,Model,Serial Number,Processor,Memory,Display,Sound,Harddrive,CDRom,Network Adapter,System Drive,MAC Addresses,Port 21,Port 25,Port 80,Port 443,Port 3389,Critical Patch,Security Patch,Service Pack Patch,Upgrade Patch,Optional Patches
CGHMEDMANAGER,CGHMEDMANAGER,CGH.local,"August 3, 2020 5:20:05 PM","CGH\administrator (Since: Jan 21, 2020 12:16:17 PM)","January 21, 2020 1:15:55 PM",67.204.2.34/10.16.100.73;,Collingsworth General Hospital,Server,Microsoft Windows Server 2012 R2 Standard  x64,6.3,9600,N/A,Symantec Endpoint Protection,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,5617-7929-6767-3945-6788-1205-45,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz ,8 GB,Microsoft Hyper-V Video,N/A,Microsoft Virtual Disk (219GB),,Microsoft Hyper-V Network Adapter,C,00:15:5D:02:8B:0F (Primary),0,0,1,0,1,0,4,5,0,0
EMDS,EMDS,CGH.local,"August 3, 2020 5:20:07 PM","CGH\srwooster (Since: Jun 4, 2020 3:34:34 PM),CGH\administrator (Since: May 8, 2020 9:23:03 AM)","April 20, 2020 6:09:39 AM",67.204.2.34/10.16.100.16;,Collingsworth General Hospital,Server,Microsoft Windows Server 2016 Standard  x64,1607,14393.3630,N/A,Symantec Endpoint Protection,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,1218-0722-7502-6954-2620-6704-19,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz ,24 GB,Microsoft Hyper-V Video,N/A,Microsoft Virtual Disk (126GB),Microsoft Virtual DVD-ROM,Microsoft Hyper-V Network Adapter,C,00:15:5D:02:8B:0D (Primary),0,0,1,0,1,0,0,0,0,0
CGH213,CGH213,CGH.local,"August 3, 2020 5:20:03 PM","CGH\rmedlock (Since: Jul 3, 2020 6:57:27 AM)","July 3, 2020 6:49:18 AM",67.204.2.34/10.16.100.132;,Collingsworth General Hospital,Work Station,Microsoft Windows 10 Pro  x64,1903,18362.900,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Symantec Endpoint Protection,HP,HP 83F3 ,HP ProDesk 400 G4 DM,8CC8350MPP,Intel(R) Core(TM) i5-8500T CPU @ 2.10GHz ,7.85 GB,Intel(R) UHD Graphics 630,Intel(R) Display Audio,MTFDDAK256TBN-1AR1ZABHA (238GB),,"Realtek PCIe GbE Family Controller,Bluetooth Device (Personal Area Network),Intel(R) Wireless-AC 9560 160MHz",C,C0:B6:F9:BD:3D:0A (Primary)C0:B6:F9:BD:3D:0E C8:D9:D2:91:D3:D5 ,0,0,0,0,1,0,0,3,0,0
CGH215,CGH215,CGH.local,"August 3, 2020 2:10:10 PM","CGH\bpickard (Since: Jul 1, 2020 8:18:57 AM)","July 2, 2020 8:07:50 AM",67.204.2.34/127.0.0.1;,Collingsworth General Hospital,Work Station,Microsoft Windows 10 Pro  x64,1903,18362.900,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Symantec Endpoint Protection,HP,HP 83F3 ,HP ProDesk 400 G4 DM,8CC8350MK5,Intel(R) Core(TM) i5-8500T CPU @ 2.10GHz ,7.85 GB,Intel(R) UHD Graphics 630,Intel(R) Display Audio,MTFDDAK256TBN-1AR1ZABHA (238GB),,"Realtek PCIe GbE Family Controller,Bluetooth Device (Personal Area Network),Intel(R) Wireless-AC 9560 160MHz",C,C0:B6:F9:93:B2:A5 (Primary)C0:B6:F9:93:B2:A9 C8:D9:D2:91:6B:76 ,0,0,0,0,1,0,0,3,0,0
CGHVEEAM1,CGHVEEAM1,CGH.local,"August 3, 2020 5:20:04 PM","CGH\srwooster (Since: Aug 26, 2019 5:04:42 PM)","August 26, 2019 5:04:07 PM",67.204.2.34/10.16.100.113;,Collingsworth General Hospital,Server,Microsoft Windows Server 2016 Standard  x64,1607,14393.3181,N/A,,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,0245-1832-3844-6414-7806-9072-99,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz ,8 GB,Microsoft Hyper-V Video,N/A,Microsoft Virtual Disk (79GB),,Microsoft Hyper-V Network Adapter,C,00:15:5D:02:8B:0C (Primary),0,0,0,0,1,0,1,0,0,0
CGH214,CGH214,CGH.local,"August 3, 2020 5:20:06 PM","CGH\vikki (Since: Jul 2, 2020 2:52:50 PM)","July 2, 2020 2:52:06 PM",67.204.2.34/10.16.100.138;,Collingsworth General Hospital,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.900,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Symantec Endpoint Protection,HP,HP 83F3 ,HP ProDesk 400 G4 DM,8CC8350MQ6,Intel(R) Core(TM) i5-8500T CPU @ 2.10GHz ,7.85 GB,Intel(R) UHD Graphics 630,Intel(R) Display Audio,MTFDDAK256TBN-1AR1ZABHA (238GB),,"Intel(R) Wireless-AC 9560 160MHz,Realtek PCIe GbE Family Controller",C,C0:B6:F9:86:73:8D (Primary)C8:D9:D2:91:D3:CC ,0,0,0,0,1,0,0,2,0,0
CGHFILESHARE1,CGHFILESHARE1,CGH.local,"August 3, 2020 5:20:04 PM","CGH\administrator (Since: Jun 29, 2020 12:25:19 PM)","June 29, 2020 12:22:22 PM",67.204.2.34/10.16.100.17;169.254.247.136;,Collingsworth General Hospital,Server,Microsoft Windows Server 2012 R2 Datacenter  x64,6.3,9600,N/A,Symantec Endpoint Protection,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,2001-6964-0019-0457-0151-8318-92,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz ,4 GB,Microsoft Hyper-V Video,N/A,Microsoft Virtual Disk (126GB),,Microsoft Hyper-V Network Adapter,C,00:15:5D:02:8B:08 02:00:4C:4F:4F:50 (Primary),0,0,0,0,1,0,5,0,0,0
CGHTS,CGHTS,CGH.local,"August 3, 2020 5:20:05 PM","CGH\ShannaJames (Since: Jul 3, 2020 7:56:14 AM)","July 5, 2020 5:00:51 AM",67.204.2.34/10.16.100.123;169.254.235.61;,Collingsworth General Hospital,Server,Microsoft Windows Server 2008 R2 Enterprise SP1 x64,6.1,7601,"Microsoft Office Professional 2007 SP3, Build  12.0.6612.1000",Symantec Endpoint Protection,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,1351-1224-3179-0718-6658-8670-62,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz ,8 GB,LogMeIn Mirror Driver,N/A,Virtual HD ATA Device (126GB),Msft Virtual CD/ROM ATA Device,Microsoft Hyper-V Network Adapter,C,00:15:5D:02:8B:00 (Primary)02:00:4C:4F:4F:50 ,0,0,1,1,1,0,1,1,0,1
CGHVH1,CGHVH1,CGH.local,"August 3, 2020 5:20:07 PM","CGH\administrator (Since: Oct 8, 2018 4:13:49 AM)","October 8, 2018 3:05:10 AM",67.204.2.34/10.16.100.161;169.254.118.142;10.16.100.151;,Collingsworth General Hospital,Server,Microsoft Windows Server 2012 R2 Datacenter  x64,6.3,9600,N/A,,Dell Inc.,Dell Inc. 0975F3 ,PowerEdge T430,4670182,2x Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz ,127.91 GB,Microsoft Basic Display Adapter,N/A,"DELL PERC H730 Adp SCSI Disk Device (278GB),Microsoft Virtual Disk (126GB)",PLDS DVD+-RW DH-16AES,"Broadcom NetXtreme Gigabit Ethernet,Hyper-V Virtual Ethernet Adapter #2",C,02:00:4C:4F:4F:50 14:18:77:40:4B:8D (Primary)14:18:77:40:4B:8E ,0,0,0,0,1,0,5,1,0,1
ITAPPS,ITAPPS,CGH.local,"August 3, 2020 5:20:06 PM","CGH\tntbackup (Since: Apr 20, 2020 11:17:11 AM),CGH\administrator (Since: Jun 29, 2020 11:44:58 AM)","April 5, 2020 12:52:18 AM",67.204.2.34/10.16.100.74;169.254.154.244;,Collingsworth General Hospital,Server,Microsoft Windows Server 2008 R2 Enterprise SP1 x64,6.1,7601,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Symantec Endpoint Protection,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,5771-6592-8014-4519-8498-1685-01,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz ,16 GB,Microsoft Hyper-V Video,N/A,Virtual HD ATA Device (126GB),Msft Virtual CD/ROM ATA Device,Microsoft Hyper-V Network Adapter,C,00:15:5D:02:8B:05 (Primary)02:00:4C:4F:4F:50 ,0,0,1,1,1,0,0,1,0,1
