Computer Alias,Action Required,OS,Last Connected,Group,Local Update Host
CGH213,-,Win10,Online,Allow USB Drives,N/A
CGH214,-,Win10,Online,Default Group,N/A
CGH215,-,Win10,8/3/2020,Default Group,N/A
CGH216,-,Win10,Online,Default Group,N/A
CGH217,-,Win10,Online,Default Group,N/A
CGH218.CGH.local,-,Win10,8/3/2020,Allow USB Drives,N/A
CGH219.CGH.local,-,Win10,Online,Default Group,N/A
CGH220.CGH.local,-,Win10,Online,Default Group,N/A
CGH221.CGH.local,-,Win10,Online,Allow USB Drives,N/A
CGH222.CGH.local,-,Win10,Online,Allow USB Drives,N/A
CGH223,-,Win10,Online,Default Group,N/A
CGH224.CGH.local,-,Win10,Online,Default Group,N/A
CGH225.CGH.local,-,Win10,Online,Default Group,N/A
CGH226.CGH.local,-,Win10,5/25/2020,Default Group,N/A
CGH227.CGH.local,-,Win10,Online,Default Group,N/A
CGH228.CGH.local,-,Win10,Online,Default Group,N/A
CGH229.CGH.local,-,Win10,Online,Default Group,N/A
CGH230.CGH.local,-,Win10,Online,Default Group,N/A
CGH231.CGH.local,-,Win10,Online,Default Group,N/A
CGH232.CGH.local,-,Win10,Online,Allow USB Drives,N/A
CGH233.CGH.local,-,Win10,8/3/2020,Default Group,N/A
CGH234.CGH.local,-,Win10,8/3/2020,Default Group,N/A
CGH235.CGH.local,-,Win10,Online,Allow USB Drives,N/A
CGH236.CGH.local,-,Win10,Online,Default Group,N/A
CGH237.CGH.local,-,Win10,Online,Allow USB Drives,N/A
CGH238.CGH.local,-,Win10,8/3/2020,Allow USB Drives,N/A
CGH239.CGH.local,-,Win10,Online,Default Group,N/A
CGH240.CGH.local,-,Win10,7/31/2020,Default Group,N/A
CGH241,-,Win10,6/26/2020,Default Group,N/A
CGH242.CGH.local,-,Win10,Online,Default Group,N/A
CGH243.CGH.local,-,Win10,Online,Default Group,N/A
CGH244.CGH.local,-,Win10,Online,Default Group,N/A
CGH245.CGH.local,-,Win10,Online,Default Group,N/A
CGH246.CGH.local,-,Win10,Online,Allow USB Drives,N/A
CGH247.CGH.local,-,Win10,Online,Default Group,N/A
CGH248.CGH.local,-,Win10,Online,Allow USB Drives,N/A
CGH249.CGH.local,-,Win10,8/3/2020,Allow USB Drives,N/A
CGH250.CGH.local,-,Win10,8/3/2020,Allow USB Drives,N/A
CGH251.CGH.local,-,Win10,Online,Allow USB Drives,N/A
CGH253.CGH.local,-,Win10,Online,Allow USB Drives,N/A
CGH254.CGH.local,-,Win10,Online,Allow USB Drives,N/A
CGH255.CGH.local,-,Win10,Online,Default Group,N/A
CGH256.CGH.local,-,Win10,Online,Allow USB Drives,N/A
CGH257.CGH.local,-,Win10,Online,Default Group,N/A
CGH258.CGH.local,-,Win10,Online,Default Group,N/A
CGH259.CGH.local,-,Win10,Online,Default Group,N/A
CGH260.CGH.local,-,Win10,Online,Default Group,N/A
CGH263,-,Win10,6/26/2020,Default Group,N/A
CGH264.CGH.local,-,Win10,Online,Default Group,N/A
CGH265.CGH.local,-,Win10,Online,Default Group,N/A
CGH266.CGH.local,-,Win10,2/13/2020,Default Group,N/A
CGH267.CGH.local,-,Win10,Online,Default Group,N/A
CGH268.CGH.local,-,Win10,Online,Default Group,N/A
CGH269.CGH.local,-,Win10,Online,Default Group,N/A
CGH270.CGH.local,-,Win10,8/3/2020,Allow USB Drives,N/A
CGH271.CGH.local,-,Win10,Online,Default Group,N/A
CGH272.CGH.local,-,Win10,Online,Default Group,N/A
CGH273.CGH.local,-,Win10,Online,Default Group,N/A
CGH274.CGH.local,-,Win10,7/31/2020,Allow USB Drives,N/A
CGH275.CGH.local,-,Win10,Online,Default Group,N/A
CGH276,-,Win10,6/26/2020,Default Group,N/A
CGH277.CGH.local,-,Win10,7/1/2020,Default Group,N/A
CGH278.CGH.local,-,Win10,Online,Default Group,N/A
CGH279.CGH.local,-,Win10,Online,Default Group,N/A
CGH280.CGH.local,-,Win10,Online,Default Group,N/A
CGH281.CGH.local,-,Win10,Online,Allow USB Drives,N/A
CGH282,-,Win10,6/26/2020,Default Group,N/A
CGH283.CGH.local,-,Win10,8/3/2020,Default Group,N/A
CGH284.CGH.local,-,Win10,Online,Default Group,N/A
CGH285.CGH.local,-,Win10,4/16/2020,Allow USB Drives,N/A
CGH286.CGH.local,-,Win10,Online,Default Group,N/A
CGH287.CGH.local,-,Win10,7/28/2020,Default Group,N/A
CGH288.CGH.local,-,Win10,8/3/2020,Allow USB Drives,N/A
CGH289.CGH.local,-,Win10,Online,Allow USB Drives,N/A
CGHDC2.CGH.local,-,Win2003,Online,Allow USB Drives,N/A
CGHFILESHARE1.CGH.local,-,Win2012,Online,Default Group,N/A
CGHLP101.CGH.local,-,Win7,7/28/2020,Default Group,N/A
CGHLP102.CGH.local,-,Win7,6/19/2020,Allow USB Drives,N/A
CGHLP103.CGH.local,-,Win7,7/28/2020,Allow USB Drives,N/A
CGHLP106,-,Win7,6/20/2020,Allow USB Drives,N/A
CGHLP107,-,Win10,7/31/2020,Default Group,N/A
CGHLP108.CGH.local,-,Win10,8/3/2020,Default Group,N/A
CGHLP110,-,Win10,7/23/2020,Default Group,N/A
