Device Name,Machine Name,Domain/Workgroup,Last Seen,Last Logged User,Last Reboot Time,IP Address,Customer Name,OS Type,OS Edition,OS Version,OS Build,Office,AntiVirus,Vendor,Motherboard,Model,Serial Number,Processor,Memory,Display,Sound,Harddrive,CDRom,Network Adapter,System Drive,MAC Addresses,Port 21,Port 25,Port 80,Port 443,Port 3389,Critical Patch,Security Patch,Service Pack Patch,Upgrade Patch,Optional Patches
SRVRDP01,SRVRDP01,connallymmc.org,"January 19, 2021 2:50:26 PM","CMMC\srwooster (Since: Jan 16, 2021 7:19:45 PM),CMMC\jmorrison (Since: Jan 16, 2021 4:40:37 AM),CMMC\dbeavers (Since: Jan 16, 2021 2:52:59 PM),CMMC\csaldana (Since: Jan 18, 2021 7:11:27 AM),CMMC\tng (Since: Jan 18, 2021 7:11:48 AM),CMMC\sdeleon (Since: Jan 18, 2021 7:50:27 AM),CMMC\aortiz (Since: Jan 18, 2021 10:02:02 AM),CMMC\DEBCANTU (Since: Jan 18, 2021 12:19:04 PM),CMMC\smendoza (Since: Jan 18, 2021 5:26:06 PM),CMMC\ccomeaux (Since: Jan 18, 2021 9:58:33 PM)","January 14, 2021 5:41:46 AM",24.173.94.34/10.150.70.24;,Connally Memorial Medical Center,Server,Microsoft Windows Server 2016 Standard  x64,1607,14393.4169,"Microsoft Office Standard 2016, Build  16.0.4266.1001",Sophos Anti-Virus,"VMware, Inc.",Intel Corporation 440BX Desktop Reference Platform ,VMware Virtual Platform,VMware-42 35 bc 81 e0 3f 94 17-20 2c b1 f6 ad 59 57 c5,8x Intel(R) Xeon(R) Silver 4114 CPU @ 2.20GHz ,32 GB,VMware SVGA 3D,N/A,VMware Virtual disk SCSI Disk Device (149GB),NECVMWar VMware SATA CD00,Intel(R) 82574L Gigabit Network Connection,C,00:50:56:B5:12:95 (Primary),0,0,1,1,1,0,1,0,0,1
EXECCMPCEO,EXECCMPCEO,connallymmc.org,"January 19, 2021 2:50:28 PM","CMMC\rgillespie (Since: Jan 18, 2021 10:23:21 AM)","January 16, 2021 10:23:41 PM",24.173.94.34/10.150.71.126;,Connally Memorial Medical Center,Work Station,Microsoft Windows 10 Pro  x64,2009,19042.746,"Microsoft Office Standard 2016, Build  16.0.4266.1001",Sophos Anti-Virus,LENOVO,LENOVO 3135 ,30CF000BUS,MJ0972Z0,Intel(R) Core(TM) i7-8700T CPU @ 2.40GHz ,31.84 GB,NVIDIA Quadro P1000,Intel(R) Display Audio,WDC PC SN720 SDAQNTW-512G-1001 (476GB),,"Intel(R) Ethernet Connection (7) I219-LM,Intel(R) Wireless-AC 9560 160MHz,Bluetooth Device (Personal Area Network)",C,48:89:E7:87:BC:61 48:89:E7:87:BC:65 E8:6A:64:E6:2A:F1 (Primary),0,0,0,0,1,0,0,0,0,0
CMMCPATCH,CMMCPATCH,connallymmc.org,"January 19, 2021 2:50:25 PM","CMMC\tng (Since: Dec 18, 2020 8:44:54 AM),CMMC\cdunn (Since: Jan 11, 2021 3:46:03 PM)","January 14, 2021 4:31:06 AM",24.173.94.34/10.150.70.32;,Connally Memorial Medical Center,Server,Microsoft Windows Server 2016 Standard  x64,1607,14393.4169,"Microsoft Office Standard 2016, Build  16.0.4266.1001","@%ProgramFiles%\Windows Defender\MpAsDesc.dll,-390","VMware, Inc.",Intel Corporation 440BX Desktop Reference Platform ,VMware Virtual Platform,VMware-42 35 8b d4 11 fe cf 77-9c ba ea 02 06 05 53 b4,12x Intel(R) Xeon(R) Silver 4114 CPU @ 2.20GHz ,32 GB,VMware SVGA 3D,N/A,VMware Virtual disk SCSI Disk Device (949GB),NECVMWar VMware SATA CD00,vmxnet3 Ethernet Adapter,C,00:50:56:B5:ED:41 (Primary),0,0,1,0,1,0,1,0,0,0
CMMCPATCHWEB,CMMCPATCHWEB,connallymmc.org,"January 19, 2021 2:50:23 PM","CMMC\tng (Since: Dec 18, 2020 8:39:40 AM)","January 14, 2021 7:09:53 AM",24.173.94.34/10.150.70.33;,Connally Memorial Medical Center,Server,Microsoft Windows Server 2016 Standard  x64,1607,14393.4169,N/A,"@%ProgramFiles%\Windows Defender\MpAsDesc.dll,-390","VMware, Inc.",Intel Corporation 440BX Desktop Reference Platform ,VMware Virtual Platform,VMware-42 35 86 62 4b e6 d4 e7-16 5b 11 3c a0 a3 66 ba,4x Intel(R) Xeon(R) Silver 4114 CPU @ 2.20GHz ,12 GB,VMware SVGA 3D,N/A,VMware Virtual disk SCSI Disk Device (299GB),NECVMWar VMware SATA CD00,vmxnet3 Ethernet Adapter,C,00:50:56:B5:EF:8F (Primary),0,0,1,0,1,0,1,0,0,0
ADMCAMPC,ADMCAMPC,WORKGROUP,"January 19, 2021 2:50:25 PM","ADMCAMPC\ADM Camera (Since: Jan 13, 2021 1:42:04 AM)","January 13, 2021 1:25:57 AM",24.173.94.34/10.150.71.12;,Connally Memorial Medical Center,Work Station,Microsoft Windows 10 Pro  x64,2004,19041.746,N/A,Sophos Anti-Virus,LENOVO,LENOVO MAHOBAY ,2121D5U,MJ48Y6F,Intel(R) Core(TM) i5-3470T CPU @ 2.90GHz ,7.8 GB,Intel(R) HD Graphics,Intel(R) Display Audio,KINGSTON SUV500240G (223GB),,"Intel(R) 82579LM Gigabit Network Connection,Intel(R) Centrino(R) Wireless-N 105",C,00:23:24:53:9C:E9 (Primary)80:9B:20:A6:9F:70 ,0,0,0,0,1,0,0,0,0,0
SRVDC01,SRVDC01,connallymmc.org,"January 19, 2021 2:50:25 PM","CMMC\tng (Since: Dec 26, 2020 5:10:47 PM),CMMC\kschultz (Since: Dec 17, 2020 12:40:52 PM)","December 2, 2020 9:50:20 AM",24.173.94.34/10.150.70.90;,Connally Memorial Medical Center,Domain Controller,Microsoft Windows Server 2016 Standard  x64,1607,14393.4046,N/A,Sophos Anti-Virus,"VMware, Inc.",Intel Corporation 440BX Desktop Reference Platform ,VMware Virtual Platform,VMware-42 35 d6 f4 41 11 33 b4-0c 1d e2 8a a1 b5 d4 6e,2x Intel(R) Xeon(R) Silver 4114 CPU @ 2.20GHz ,8 GB,VMware SVGA 3D,N/A,VMware Virtual disk SCSI Disk Device (59GB),NECVMWar VMware SATA CD00,Intel(R) 82574L Gigabit Network Connection,C,00:50:56:B5:98:87 (Primary),0,0,0,0,1,0,4,0,0,2
CFHCMP01,CFHCMP01,connallymmc.org,"January 19, 2021 2:50:25 PM","CMMC\vguerra (Since: Jan 19, 2021 2:15:19 PM)","January 19, 2021 2:14:48 PM",24.173.94.34/10.150.73.51;,Connally Memorial Medical Center,Work Station,Microsoft Windows 10 Pro  x64,2009,19042.685,"Microsoft Office Standard 2016, Build  16.0.4266.1001",Sophos Anti-Virus,LENOVO,LENOVO 3111 ,10MR0004US,MJ08CXCQ,Intel(R) Core(TM) i5-7500T CPU @ 2.70GHz ,7.89 GB,Intel(R) HD Graphics 630,Intel(R) Display Audio,SAMSUNG MZVLB256HAHQ-000L7 (238GB),,"Intel(R) Dual Band Wireless-AC 8265,Intel(R) Ethernet Connection (2) I219-V,Bluetooth Device (Personal Area Network)",C,6C:4B:90:A5:44:6C 98:2C:BC:B1:C3:49 (Primary)98:2C:BC:B1:C3:4D ,0,0,0,0,1,4,7,1,0,16
ADMCMP02,ADMCMP02,connallymmc.org,"January 19, 2021 2:50:22 PM","CMMC\gmartinez (Since: Jan 18, 2021 9:22:40 AM)","January 18, 2021 9:14:34 AM",24.173.94.34/10.150.71.121;,Connally Memorial Medical Center,Work Station,Microsoft Windows 10 Pro  x64,2009,19042.746,"Microsoft Office Standard 2013, Build  15.0.4569.1506",Sophos Anti-Virus,LENOVO,LENOVO 3111 ,10MR0004US,MJ06UP0M,Intel(R) Core(TM) i5-7500T CPU @ 2.70GHz ,7.89 GB,Intel(R) HD Graphics 630,Intel(R) Display Audio,INTEL SSDPEKKF256G7L (238GB),,"Intel(R) Ethernet Connection (2) I219-V,Intel(R) Dual Band Wireless-AC 8265,Bluetooth Device (Personal Area Network)",C,6C:4B:90:5A:81:61 (Primary)7C:76:35:4A:6A:6E 7C:76:35:4A:6A:72 ,0,0,0,0,0,0,0,0,0,0
ADMCMP07,ADMCMP07,connallymmc.org,"August 21, 2020 11:05:06 AM","CMMC\CJENKINS (Since: Aug 21, 2020 7:31:19 AM)","August 15, 2020 9:18:21 PM",24.173.94.34/10.150.20.98;,Connally Memorial Medical Center,Work Station,Microsoft Windows 10 Pro  x64,2004,19041.450,"Microsoft Office Standard 2016, Build  16.0.4266.1001",Sophos Anti-Virus,LENOVO,LENOVO 3111 ,10MR0004US,MJ08CXWN,Intel(R) Core(TM) i5-7500T CPU @ 2.70GHz ,7.89 GB,Intel(R) HD Graphics 630,Intel(R) Display Audio,SAMSUNG MZVLB256HAHQ-000L7 (238GB),,"Intel(R) Ethernet Connection (2) I219-V,Intel(R) Dual Band Wireless-AC 8265,Bluetooth Device (Personal Area Network)",C,6C:4B:90:A3:D9:D7 (Primary)98:2C:BC:AE:A3:9E 98:2C:BC:AE:A3:A2 ,0,0,0,0,1,0,0,0,0,0
CFHCMP04,CFHCMP04,connallymmc.org,"March 16, 2020 6:45:05 AM","CMMC\kwiatrek (Since: Mar 11, 2020 7:55:05 AM)","March 10, 2020 4:17:55 PM",24.173.94.34/10.150.75.36;,Connally Memorial Medical Center,Work Station,Microsoft Windows 10 Pro  x64,1809,17763.973,"Microsoft Office Professional 2016, Build  16.0.4266.1001",Sophos Anti-Virus,LENOVO,LENOVO 3111 ,10MR0004US,MJ073AJS,Intel(R) Core(TM) i5-7500T CPU @ 2.70GHz ,7.89 GB,,Intel(R) Display Audio,INTEL SSDPEKKF256G7L (238GB),,"Intel(R) Dual Band Wireless-AC 8265,Intel(R) Ethernet Connection (2) I219-V,Bluetooth Device (Personal Area Network)",C,6C:4B:90:62:66:F4 C0:B6:F9:E4:7D:AC (Primary)C0:B6:F9:E4:7D:B0 ,0,0,0,0,0,0,0,0,0,0
