Health Status,Computer Name,Operating System,IPv4 Addresses,IPv6 Addresses,Last User,Groups,Last Active,InterceptX,Endpoint
Healthy,RADCMPQC,WIN10,10.150.71.43,fe80::58c2:7167:dbdd:2862,mpalomo,,"Jan 19, 2021 2:56 PM",assigned,assigned
Healthy,CFHLPT06,WIN10,10.150.41.38,fe80::3c60:d408:5008:85d4,brohrs,,"Jan 19, 2021 2:55 PM",assigned,assigned
Healthy,CCCFAXS01,WIN10,10.150.70.235,,ldixon,,"Jan 19, 2021 2:55 PM",assigned,assigned
Healthy,CSNLPT01,WIN10,10.150.60.113,fe80::5c20:9c45:575e:37eb,rguerrero,,"Jan 19, 2021 2:55 PM",assigned,assigned
Healthy,PEDCMP05,WIN10,10.150.79.21,,aespinoza,,"Jan 19, 2021 2:55 PM",assigned,assigned
Healthy,FACCMP01,WIN10,10.150.20.93,fe80::498e:b98d:9399:51d9,michaelg,,"Jan 19, 2021 2:54 PM",assigned,assigned
Healthy,ADMCMP07,WIN10,10.150.20.98,fe80::9007:f94e:3649:f356,cjenkins,,"Jan 19, 2021 2:54 PM",assigned,assigned
Healthy,MKTCMP02,WIN10,10.150.71.69,fe80::d9be:67ac:fd8:4c94,jshawker,,"Jan 19, 2021 2:54 PM",assigned,assigned
Healthy,UCCLPT03,WIN10,10.150.41.48,fe80::4d87:9679:6fb5:f913,mherrera,,"Jan 19, 2021 2:53 PM",assigned,assigned
Healthy,PSCCMP06,WIN10,10.150.77.39,fe80::449c:15d2:1e9a:2e95,ccollman,,"Jan 19, 2021 2:53 PM",assigned,assigned
Healthy,ADMCMP08,WIN10,10.150.71.132,fe80::d9a8:1fb2:5aa:37d9,sgarza,,"Jan 19, 2021 2:52 PM",assigned,assigned
Healthy,CBOCMP01,WIN10,10.150.71.2,fe80::9924:977e:8789:f679,default,,"Jan 19, 2021 2:52 PM",assigned,assigned
Healthy,SCCCMP01,WIN10,10.150.73.58,fe80::cd1a:e8af:6362:96fb,neshenroder,,"Jan 19, 2021 2:52 PM",assigned,assigned
Healthy,Barclnt013,WIN10,10.150.71.181,,jshawker,,"Jan 19, 2021 2:51 PM",assigned,assigned
Healthy,UCCCMP14,WIN10,10.150.74.71,,jgarcia1,,"Jan 19, 2021 2:51 PM",assigned,assigned
Healthy,FINCMP04,WIN10,10.150.71.50,fe80::957e:c839:13ea:41d7,tgraffeo,,"Jan 19, 2021 2:51 PM",assigned,assigned
Healthy,CSHCMP03,WIN10,10.150.73.61,,pholley,,"Jan 19, 2021 2:51 PM",assigned,assigned
Healthy,FINCMP05,WIN10,10.150.77.32,fe80::2c96:e49a:b337:de20,dmartinez,,"Jan 19, 2021 2:50 PM",assigned,assigned
Healthy,ORMGICMP01,WIN10,10.150.71.133,fe80::79b3:e26a:3e7:588a,mhasan,,"Jan 19, 2021 2:50 PM",assigned,assigned
Healthy,CSHCMP05,WIN10,10.150.41.71,fe80::bcd0:2164:ca3e:2c96,gvaldez,,"Jan 19, 2021 2:49 PM",assigned,assigned
Healthy,ADMCMP05,WIN10,10.150.20.46,fe80::4ce0:7d3e:fd77:9a54,tarms,,"Jan 19, 2021 2:49 PM",assigned,assigned
Healthy,UCCCMP03,WIN10,10.150.74.51,fe80::748c:975c:ff0d:3785,mcervera,,"Jan 19, 2021 2:49 PM",assigned,assigned
Healthy,DTYCL11053,WIN7,10.150.71.32,,Dietary,,"Jan 19, 2021 2:49 PM",assigned,assigned
Healthy,RADCMP01,WIN10,10.150.71.182,fe80::38de:3367:e8ee:8670,asalazar,,"Jan 19, 2021 2:46 PM",assigned,assigned
Healthy,QACMP09,WIN10,10.150.20.26,fe80::e034:315f:5085:35a,msutti,,"Jan 19, 2021 2:46 PM",assigned,assigned
Healthy,RADCT11364,WIN7,10.150.20.52,fe80::b43e:4f65:f62e:3f92,masanchez,,"Jan 19, 2021 2:46 PM",assigned,assigned
Healthy,MMCMP03,WIN10,10.150.20.71,fe80::145d:b62d:fec:ba89,salsobrook,,"Jan 19, 2021 2:46 PM",assigned,assigned
