Device Name,Machine Name,Domain/Workgroup,Last Seen,Last Logged User,Last Reboot Time,IP Address,Customer Name,OS Type,OS Edition,OS Version,OS Build,Office,AntiVirus,Vendor,Motherboard,Model,Serial Number,Processor,Memory,Display,Sound,Harddrive,CDRom,Network Adapter,System Drive,MAC Addresses,Port 21,Port 25,Port 80,Port 443,Port 3389,Critical Patch,Security Patch,Service Pack Patch,Upgrade Patch,Optional Patches
H-LABDIR2019,H-LABDIR2019,cranememorial.org,"May 26, 2020 11:33:50 PM","CRANEMEMORIAL\rkarki (Since: May 26, 2020 6:59:59 AM)","May 26, 2020 11:59:34 AM",66.102.228.98/192.168.3.125;,Crane Memorial Hospital,Work Station,Microsoft Windows 10 Pro  x64,1903,18362.836,"Microsoft Office Professional 2007 SP3, Build  12.0.6612.1000",Symantec Endpoint Protection,Dell Inc.,Dell Inc. 0654JC ,OptiPlex 5060,34J04Z2,Intel(R) Core(TM) i5-8500 CPU @ 3.00GHz ,7.8 GB,Intel(R) UHD Graphics 630,Realtek Audio,"TOSHIBA KSG60ZMV256G M.2 2280 256GB (238GB),SanDisk Cruzer Glide USB Device (14GB)",PLDS DVD+-RW DU-8A5LH,Intel(R) Ethernet Connection (7) I219-V,C,E4:54:E8:58:1C:22 (Primary),0,0,0,0,0,0,0,3,0,0
H-DR22019,H-DR22019,cranememorial.org,"May 26, 2020 11:33:53 PM","CRANEMEMORIAL\jgarcia (Since: May 8, 2020 6:26:19 PM)","May 26, 2020 4:09:54 AM",66.102.228.98/192.168.3.236;,Crane Memorial Hospital,Work Station,Microsoft Windows 10 Pro  x64,1903,18362.836,"Microsoft Office Professional 2007 SP3, Build  12.0.6612.1000",Symantec Endpoint Protection,Dell Inc.,Dell Inc. 0654JC ,OptiPlex 5060,34KKPY2,Intel(R) Core(TM) i5-8500 CPU @ 3.00GHz ,7.8 GB,LogMeIn Mirror Driver,Realtek Audio,TOSHIBA KSG60ZMV256G M.2 2280 256GB (238GB),PLDS DVD+-RW DU-8A5LH,Intel(R) Ethernet Connection (7) I219-V,C,E4:54:E8:58:22:32 (Primary),0,0,0,0,0,0,0,3,0,0
H-CFO4,H-CFO4,cranememorial.org,"May 26, 2020 11:33:52 PM","CRANEMEMORIAL\dibarra (Since: May 15, 2020 2:44:50 PM)","May 15, 2020 7:34:29 PM",66.102.228.98/192.168.3.134;,Crane Memorial Hospital,Work Station,Microsoft Windows 10 Pro  x64,1903,18362.778,"Microsoft Office Professional 2007 SP3, Build  12.0.6612.1000",Symantec Endpoint Protection,Dell Inc.,Dell Inc. 0654JC ,OptiPlex 5060,GSKZ7X2,Intel(R) Core(TM) i5-8500 CPU @ 3.00GHz ,7.8 GB,LogMeIn Mirror Driver,Realtek Audio,"TOSHIBA KSG60ZMV256G M.2 2280 256GB (238GB),Generic Flash Disk USB Device (0GB)",PLDS DVD+-RW DU-8A5LH,Intel(R) Ethernet Connection (7) I219-V,C,E4:54:E8:52:77:B2 (Primary),0,0,0,0,0,0,1,3,0,0
CMHDC2,CMHDC2,cranememorial.org,"May 26, 2020 11:33:52 PM","CRANEMEMORIAL\srwooster (Since: Dec 5, 2019 3:40:02 PM),CRANEMEMORIAL\jennifer (Since: Dec 17, 2019 1:43:34 PM)","November 13, 2019 11:32:24 PM",66.102.228.98/192.168.3.19;,Crane Memorial Hospital,Domain Controller,Microsoft Windows Server 2016 Standard  x64,1607,14393.3326,N/A,Symantec Endpoint Protection,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,6563-9351-5389-2716-3735-6737-95,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz ,8 GB,Microsoft Hyper-V Video,N/A,Microsoft Virtual Disk (80GB),Microsoft Virtual DVD-ROM,Microsoft Hyper-V Network Adapter,C,00:15:5D:02:7B:05 (Primary),0,0,0,0,1,0,1,2,0,0
P-DESKTOP2,P-DESKTOP2,cranememorial.org,"December 2, 2019 7:22:09 PM",CRANEMEMORIAL\di7 (Since: 12/2/2019 7:20:21 PM),"December 2, 2019 7:19:08 PM",66.102.228.98/192.168.3.137;,Crane Memorial Hospital,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Home & Business 2013, Build  15.0.4569.1506",,Dell Inc.,Dell Inc. 0WR7PY ,OptiPlex 7010,17N7V12,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz ,3.89 GB,Intel(R) HD Graphics,Realtek High Definition Audio,"WDC WD5000AAKX-75U6AA0 (465GB),Seagate BUP BK USB Device (4657GB)",MATSHITA DVD+-RW UJ8E1,Intel(R) 82579LM Gigabit Network Connection,C,34:17:EB:A6:D5:90 (Primary),0,0,0,0,0,0,2,17,0,1
P-DESKTOP2019A,P-DESKTOP2019A,cranememorial.org,"January 8, 2020 6:02:09 PM","CRANEMEMORIAL\di7 (Since: Jan 8, 2020 11:02:24 AM)","January 8, 2020 4:59:17 PM",66.102.228.98/192.168.3.123;,Crane Memorial Hospital,Work Station,Microsoft Windows 10 Pro  x64,1903,18362.535,"Microsoft Office Professional 2007 SP3, Build  12.0.6612.1000",Symantec Endpoint Protection,Dell Inc.,Dell Inc. 0FDY5C ,OptiPlex 5050,BSD9JL2,Intel(R) Core(TM) i5-6600 CPU @ 3.30GHz ,7.87 GB,LogMeIn Mirror Driver,Realtek Audio,ST500DM0 09-2F110A SCSI Disk Device (465GB),HL-DT-ST DVD+-RW GU90N SCSI CdRom Device,Intel(R) Ethernet Connection (5) I219-V,C,D8:9E:F3:14:35:DE (Primary),0,0,0,0,1,0,0,1,0,0
H-DR12019,H-DR12019,cranememorial.org,"May 26, 2020 4:55:46 PM","CRANEMEMORIAL\amedina (Since: May 26, 2020 11:54:11 AM)","May 26, 2020 4:53:48 PM",66.102.228.98/192.168.3.170;,Crane Memorial Hospital,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.836,"Microsoft Office Professional 2007 SP3, Build  16.0.12730.20270",Symantec Endpoint Protection,Dell Inc.,Dell Inc. 0654JC ,OptiPlex 5060,GRN18X2,Intel(R) Core(TM) i5-8500 CPU @ 3.00GHz ,7.8 GB,LogMeIn Mirror Driver,Realtek Audio,TOSHIBA KSG60ZMV256G M.2 2280 256GB (238GB),PLDS DVD+-RW DU-8A5LH,"Intel(R) Ethernet Connection (7) I219-V,Bluetooth Device (Personal Area Network)",C,00:15:83:FA:B8:9A E4:54:E8:4D:CC:9E (Primary),0,0,0,0,0,0,0,3,0,0
CMHTEMPDC,CMHTEMPDC,cranememorial.org,"May 26, 2020 11:33:52 PM","CRANEMEMORIAL\srwooster (Since: Dec 31, 2019 4:44:22 PM),CRANEMEMORIAL\stiolo (Since: Sep 26, 2019 11:24:43 AM),CRANEMEMORIAL\carson (Since: Apr 6, 2020 3:01:56 PM)","September 19, 2019 11:16:41 PM",66.102.228.98/192.168.3.18;,Crane Memorial Hospital,Domain Controller,Microsoft Windows Server 2016 Standard  x64,1607,14393.3204,N/A,,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,0197-0968-3504-8353-5104-6818-26,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz ,8 GB,Microsoft Hyper-V Video,N/A,Microsoft Virtual Disk (39GB),,Microsoft Hyper-V Network Adapter,C,00:15:5D:02:7B:03 (Primary),0,0,0,0,1,0,2,1,0,0
CMH-SRV2,CMH-SRV2,cranememorial.org,"May 26, 2020 11:33:51 PM","CRANEMEMORIAL\stiolo (Since: Sep 26, 2019 11:21:08 AM),CRANEMEMORIAL\di7 (Since: Dec 15, 2019 5:36:05 PM),CRANEMEMORIAL\srwooster (Since: Dec 31, 2019 4:52:49 PM),CRANEMEMORIAL\carson (Since: Apr 6, 2020 2:40:50 PM)","September 19, 2019 11:16:32 PM",66.102.228.98/192.168.3.17;,Crane Memorial Hospital,Server,Microsoft Windows Server 2016 Standard  x64,1607,14393.3204,N/A,Symantec Endpoint Protection,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,7551-3110-6750-8167-9421-7190-40,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz ,8 GB,Microsoft Hyper-V Video,N/A,"Microsoft Virtual Disk (1769GB),Microsoft Virtual Disk (80GB)",,Microsoft Hyper-V Network Adapter,C,00:15:5D:02:7B:08 (Primary),0,0,0,0,1,0,0,1,0,0
H-DON2019,H-DON2019,cranememorial.org,"May 26, 2020 11:33:52 PM","CRANEMEMORIAL\pattouchstone (Since: May 14, 2020 2:29:09 PM)","May 26, 2020 4:38:25 PM",66.102.228.98/192.168.3.189;,Crane Memorial Hospital,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.836,"Microsoft Office Home & Business 2010, Build  14.0.7015.1000",Symantec Endpoint Protection,Dell Inc.,Dell Inc. 0654JC ,OptiPlex 5060,GRM08X2,Intel(R) Core(TM) i5-8500 CPU @ 3.00GHz ,7.8 GB,LogMeIn Mirror Driver,Realtek Audio,TOSHIBA KSG60ZMV256G M.2 2280 256GB (238GB),PLDS DVD+-RW DU-8A5LH,Intel(R) Ethernet Connection (7) I219-V,C,E4:54:E8:4D:CC:A9 (Primary),0,0,0,0,0,0,0,3,0,0
