Device Name,Machine Name,Domain/Workgroup,Last Seen,Last Logged User,Last Reboot Time,IP Address,Customer Name,OS Type,OS Edition,OS Version,OS Build,Office,AntiVirus,Vendor,Motherboard,Model,Serial Number,Processor,Memory,Display,Sound,Harddrive,CDRom,Network Adapter,System Drive,MAC Addresses,Port 21,Port 25,Port 80,Port 443,Port 3389,Critical Patch,Security Patch,Service Pack Patch,Upgrade Patch,Optional Patches
CCH25,CCH25,cchdomain.local,"July 23, 2020 2:37:11 PM","CCHDOMAIN\knavarette (Since: Jul 20, 2020 10:11:06 AM)","July 20, 2020 10:09:24 AM",66.102.225.107/192.168.7.116;,Culberson Hospital,Work Station,Microsoft Windows 7 Professional SP1,6.1,7601.24544,"Microsoft Office Professional 2007 SP3, Build  12.0.6612.1000",Sentinel Agent,Dell Inc.,Dell Inc. 0M5DCD ,OptiPlex 390,JHZGMS1,Intel(R) Core(TM) i3-2120 CPU @ 3.30GHz ,3.16 GB,Intel(R) HD Graphics Family,Intel(R) Display Audio,ST3320413AS ATA Device (298GB),TSSTcorp DVD+-RW SH-216BB ATA Device,Realtek PCIe GBE Family Controller,C,D4:BE:D9:D0:B7:61 (Primary),0,0,0,0,1,0,0,1,0,3
CCHFILESHARE1,CCHFILESHARE1,cchdomain.local,"August 3, 2020 5:20:04 PM","CCHDOMAIN\administrator (Since: Jul 20, 2020 1:11:04 PM)","July 18, 2020 9:42:23 PM",66.102.225.107/192.168.7.54;,Culberson Hospital,Server,Microsoft Windows Server 2008 R2 Enterprise SP1 x64,6.1,7601,N/A,Symantec Endpoint Protection,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,7028-5166-8451-7884-6539-6900-38,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz ,4 GB,Microsoft Virtual Machine Bus Video Device,N/A,Virtual HD ATA Device (147GB),Msft Virtual CD/ROM ATA Device,Microsoft Virtual Machine Bus Network Adapter,C,00:15:5D:07:33:0C (Primary),0,0,0,0,1,0,0,0,0,0
CCHEMDSAPPS,CCHEMDSAPPS,cchdomain.local,"August 3, 2020 5:20:05 PM","CCHDOMAIN\administrator (Since: Apr 5, 2020 12:23:30 AM)","July 23, 2020 12:51:07 AM",66.102.225.107/192.168.7.17;,Culberson Hospital,Server,Microsoft Windows Server 2008 R2 Enterprise SP1 x64,6.1,7601,N/A,,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,2647-4447-3399-0900-2932-9270-06,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz ,6 GB,Microsoft Virtual Machine Bus Video Device,N/A,Virtual HD ATA Device (126GB),Msft Virtual CD/ROM ATA Device,Microsoft Virtual Machine Bus Network Adapter,C,00:15:5D:07:33:08 (Primary),0,0,1,0,1,0,0,0,0,0
CCHEMDSIMAGES,CCHEMDSIMAGES,cchdomain.local,"August 3, 2020 5:20:05 PM","CCHDOMAIN\srwooster (Since: Jul 21, 2020 9:22:15 PM),CCHDOMAIN\administrator (Since: Jul 28, 2020 3:06:20 PM)","July 21, 2020 9:21:22 PM",66.102.225.107/192.168.7.20;,Culberson Hospital,Server,Microsoft Windows Server 2008 R2 Enterprise SP1 x64,6.1,7601,N/A,,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,6292-1425-2842-0382-9714-1141-97,Intel(R) Xeon(R) CPU E5-2667 v4 @ 3.20GHz ,8 GB,Microsoft Hyper-V Video,N/A,Virtual HD ATA Device (126GB),Msft Virtual CD/ROM ATA Device,Microsoft Hyper-V Network Adapter #3,C,00:15:5D:07:45:02 (Primary),0,0,0,0,1,0,0,0,0,0
CCHDOORS1,CCHDOORS1,cchdomain.local,"August 3, 2020 5:20:04 PM","CCHDOMAIN\administrator (Since: Jul 1, 2020 12:04:06 PM)","July 18, 2020 11:48:23 PM",66.102.225.107/192.168.7.225;169.254.102.183;,Culberson Hospital,Server,Microsoft Windows Server 2008 R2 Enterprise SP1 x64,6.1,7601,N/A,,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,4064-9515-7736-2018-5162-1984-70,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz ,4 GB,Microsoft Virtual Machine Bus Video Device,N/A,Virtual HD ATA Device (126GB),Msft Virtual CD/ROM ATA Device,Microsoft Virtual Machine Bus Network Adapter,C,00:15:5D:07:33:10 (Primary)02:00:4C:4F:4F:50 ,0,0,1,1,1,0,0,0,0,0
EMDSTESTTS1,EMDSTESTTS1,cchdomain.local,"August 3, 2020 5:20:06 PM","CCHDOMAIN\dcummings (Since: Aug 3, 2020 8:11:04 AM),CCHDOMAIN\dcorrales (Since: Aug 3, 2020 8:21:14 AM),CCHDOMAIN\mramirez (Since: Aug 3, 2020 8:34:34 AM),CCHDOMAIN\lomartinez (Since: Aug 3, 2020 10:03:08 AM)","August 3, 2020 5:00:48 AM",66.102.225.107/192.168.7.19;192.168.77.30;,Culberson Hospital,Server,Microsoft Windows Server 2008 R2 Enterprise SP1 x64,6.1,7601,"Microsoft Office Professional 2007, Build  12.0.4518.1014",Symantec Endpoint Protection,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,3532-7436-5000-5982-8799-0829-51,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz ,16 GB,Microsoft Virtual Machine Bus Video Device,N/A,Virtual HD ATA Device (126GB),Msft Virtual CD/ROM ATA Device,Microsoft Virtual Machine Bus Network Adapter,C,00:15:5D:07:33:03 (Primary),0,0,0,0,1,0,0,1,0,0
CCHCLIN1LIS,CCHCLIN1LIS,cchdomain.local,"August 3, 2020 5:20:06 PM","CCHDOMAIN\administrator (Since: Jul 22, 2020 1:41:11 AM)","July 22, 2020 1:39:08 AM",66.102.225.107/192.168.7.30;,Culberson Hospital,Server,Microsoft Windows Server 2008 R2 Enterprise SP1 x64,6.1,7601,N/A,,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,6453-1971-2210-9733-2400-6414-30,Intel(R) Xeon(R) CPU E5-2667 v4 @ 3.20GHz ,8 GB,LogMeIn Mirror Driver,N/A,Virtual HD ATA Device (126GB),Msft Virtual CD/ROM ATA Device,Microsoft Hyper-V Network Adapter #2,C,00:15:5D:07:45:04 (Primary),0,0,0,0,1,0,0,3,0,0
CCHEMDSSQL,CCHEMDSSQL,cchdomain.local,"August 3, 2020 5:20:07 PM","CCHDOMAIN\administrator (Since: Jul 23, 2020 12:34:22 AM)","July 23, 2020 12:16:45 AM",66.102.225.107/192.168.7.16;169.254.251.241;,Culberson Hospital,Server,Microsoft Windows Server 2008 R2 Enterprise SP1 x64,6.1,7601,N/A,,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,4132-6194-6500-0206-9803-4591-03,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz ,24 GB,Microsoft Virtual Machine Bus Video Device,N/A,"Virtual HD ATA Device (199GB),Msft Virtual Disk SCSI Disk Device (199GB)",Msft Virtual CD/ROM ATA Device,Microsoft Virtual Machine Bus Network Adapter,C,00:15:5D:07:33:04 (Primary)02:00:4C:4F:4F:50 ,0,0,0,0,1,0,0,0,0,0
CCHITAPPS,CCHITAPPS,cchdomain.local,"August 3, 2020 5:20:07 PM","CCHDOMAIN\tntbackup (Since: Jul 22, 2020 8:18:34 AM),CCHDOMAIN\administrator (Since: Jul 28, 2020 12:12:07 PM)","July 22, 2020 4:35:36 AM",66.102.225.107/192.168.7.124;,Culberson Hospital,Server,Microsoft Windows Server 2008 R2 Enterprise SP1 x64,6.1,7601,"Microsoft Office Professional 2007 SP3, Build  12.0.6612.1000",Symantec Endpoint Protection,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,8090-1086-7717-5308-9677-0477-91,Intel(R) Xeon(R) CPU E5-2667 v4 @ 3.20GHz ,8 GB,LogMeIn Mirror Driver,N/A,Virtual HD ATA Device (126GB),Msft Virtual CD/ROM ATA Device,Microsoft Hyper-V Network Adapter #3,C,00:15:5D:07:45:06 (Primary),0,0,1,1,1,0,0,0,0,0
CCHDC2,CCHDC2,cchdomain.local,"August 3, 2020 5:20:07 PM","CCHDOMAIN\administrator (Since: Jul 22, 2020 5:32:38 AM)","July 22, 2020 5:18:24 AM",66.102.225.107/192.168.7.11;,Culberson Hospital,Domain Controller,Microsoft Windows Server 2008 R2 Enterprise SP1 x64,6.1,7601,N/A,,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,4541-2228-3744-6499-0928-8077-69,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz ,4 GB,Microsoft Virtual Machine Bus Video Device,N/A,Virtual HD ATA Device (126GB),Msft Virtual CD/ROM ATA Device,Microsoft Virtual Machine Bus Network Adapter,C,00:15:5D:07:33:0D (Primary),0,0,0,0,1,0,0,0,0,0
