Computer Alias,Action Required,OS,Last Connected,Group,Local Update Host
Agent03,-,Win7,Online,Default Group,N/A
Agent07,-,Win7,4/3/2020,Default Group,N/A
Agent08,-,Win7,1/13/2020,Default Group,N/A
AGENT09,-,Win10,5/15/2020,Default Group,N/A
AGENT11,-,Win10,5/15/2020,Default Group,N/A
AGENT12,-,Win10,Online,Default Group,N/A
Carol_Office,-,Win10,5/15/2020,Default Group,N/A
CDR-Laptop,-,Win10,4/3/2020,Default Group,N/A
DOCHENSERVER,-,Win7,Online,Default Group,N/A
NewConferanceRm,-,Win7,5/13/2020,Default Group,N/A
