Device Name,Machine Name,Domain/Workgroup,Last Seen,Last Logged User,Last Reboot Time,IP Address,Customer Name,OS Type,OS Edition,OS Version,OS Build,Office,AntiVirus,Vendor,Motherboard,Model,Serial Number,Processor,Memory,Display,Sound,Harddrive,CDRom,Network Adapter,System Drive,MAC Addresses,Port 21,Port 25,Port 80,Port 443,Port 3389,Critical Patch,Security Patch,Service Pack Patch,Upgrade Patch,Optional Patches
ECMHVH1,ECMHVH1,WORKGROUP,"May 27, 2020 10:53:46 PM","ECMHVH1\Administrator (Since: May 19, 2020 11:57:53 AM)","May 19, 2020 6:06:54 AM",199.66.150.227/10.12.1.95;10.12.11.170;10.12.12.74;10.12.11.96;,El Campo Memorial Hospital,Server,Microsoft Windows Server 2012 R2 Standard  x64,6.3,9600,N/A,Symantec Endpoint Protection,Dell Inc.,Dell Inc. 0599V5 ,PowerEdge R730xd,9C8BC42,2x Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz ,383.91 GB,Microsoft Basic Display Adapter,N/A,"DELL PERC H730P Mini SCSI Disk Device (2233GB),DELL PERC H730P Mini SCSI Disk Device (558GB)",,"Broadcom NetXtreme Gigabit Ethernet,Broadcom NetXtreme Gigabit Ethernet #3,Intel(R) Gigabit 4P I350-t Adapter,Intel(R) Gigabit 4P I350-t Adapter #2,Intel(R) Gigabit 4P I350-t Adapter #3,Intel(R) Gigabit 4P I350-t Adapter #4,Hyper-V Virtual Ethernet Adapter #2,Hyper-V Virtual Ethernet Adapter #3,Hyper-V Virtual Ethernet Adapter #4",C,44:A8:42:43:1E:4F 44:A8:42:43:1E:50 44:A8:42:43:1E:51 (Primary)44:A8:42:43:1E:52 A0:36:9F:5C:ED:BC A0:36:9F:5C:ED:BD A0:36:9F:5C:ED:BE A0:36:9F:5C:ED:BF ,0,0,0,0,1,0,5,1,0,0
ECMHVH2,ECMHVH2,WORKGROUP,"May 27, 2020 10:53:47 PM","ECMHVH2\tntadmin (Since: May 19, 2020 11:57:55 AM)","May 19, 2020 6:04:26 AM",199.66.150.227/10.12.1.94;10.12.11.42;10.12.11.92;10.12.11.57;,El Campo Memorial Hospital,Server,Microsoft Windows Server 2012 R2 Standard  x64,6.3,9600,N/A,Symantec Endpoint Protection,Dell Inc.,Dell Inc. 0599V5 ,PowerEdge R730xd,CC9XS52,2x Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz ,383.91 GB,Microsoft Basic Display Adapter,N/A,"DELL PERC H730P Mini SCSI Disk Device (2233GB),DELL PERC H730P Mini SCSI Disk Device (558GB)",,"Intel(R) Gigabit 4P I350-t Adapter,Broadcom NetXtreme Gigabit Ethernet,Intel(R) Gigabit 4P I350-t Adapter #2,Intel(R) Gigabit 4P I350-t Adapter #3,Intel(R) Gigabit 4P I350-t Adapter #4,Broadcom NetXtreme Gigabit Ethernet #3,Hyper-V Virtual Ethernet Adapter #2,Hyper-V Virtual Ethernet Adapter #3,Hyper-V Virtual Ethernet Adapter #4",C,44:A8:42:0C:46:1C 44:A8:42:0C:46:1D 44:A8:42:0C:46:1E 44:A8:42:0C:46:1F A0:36:9F:13:74:88 A0:36:9F:13:74:89 (Primary)A0:36:9F:13:74:8A A0:36:9F:13:74:8B ,0,0,0,0,1,0,5,1,0,0
ADM-IRMA,ADM-IRMA,local.ecmh.org,"May 27, 2020 10:53:47 PM","LOCAL\irocha (Since: May 19, 2020 2:17:17 PM)","May 19, 2020 1:04:36 PM",199.66.150.227/10.12.12.231;,El Campo Memorial Hospital,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.836,"Microsoft Office Standard 2016, Build  16.0.4266.1001",Symantec Endpoint Protection,,ASUSTeK COMPUTER INC. PRIME B360M-A ,N/A,N/A,Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz ,15.85 GB,Intel(R) UHD Graphics 630,Intel(R) Display Audio,WDC WD10EZEX-08WN4A0 (931GB),ASUS DRW-24F1ST   d,Realtek PCIe GBE Family Controller,C,0C:9D:92:64:46:BA (Primary),0,0,0,0,0,0,0,3,0,0
CD-ANITA,CD-ANITA,local.ecmh.org,"May 27, 2020 10:53:45 PM","LOCAL\acrisp (Since: Mar 13, 2020 2:14:39 PM)","March 13, 2020 7:13:27 PM",199.66.150.227/10.12.13.76;,El Campo Memorial Hospital,Work Station,Microsoft Windows 10 Pro  x64,1903,18362.720,"Microsoft Office Standard 2010, Build  14.0.7015.1000",Symantec Endpoint Protection,,ASUSTeK COMPUTER INC. PRIME B360M-A ,N/A,N/A,Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz ,15.85 GB,Intel(R) UHD Graphics 630,Intel(R) Display Audio,WDC WD10EZEX-22MFCA0 (931GB),ASUS DRW-24B1ST   j,Realtek PCIe GBE Family Controller,C,0C:9D:92:64:4F:3F (Primary),0,0,0,0,0,0,1,3,0,0
SC-REG-C2,SC-REG-C2,local.ecmh.org,"May 27, 2020 10:53:49 PM","LOCAL\hpreg2 (Since: May 27, 2020 5:58:07 AM)","May 15, 2020 3:25:39 AM",199.66.150.227/10.12.11.242;,El Campo Memorial Hospital,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.836,"Microsoft Office Standard 2010, Build  15.0.4693.1005",Symantec Endpoint Protection,,ASUSTeK COMPUTER INC. PRIME B360M-A ,N/A,N/A,Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz ,15.85 GB,Intel(R) UHD Graphics 630,Intel(R) Display Audio,WDC WD10EZEX-08WN4A0 (931GB),ASUS DRW-24F1ST   d,"Realtek PCIe GbE Family Controller,Qualcomm Atheros AR5B91 Wireless Network Adapter",C,00:17:C4:7C:8B:18 0C:9D:92:65:0A:BC (Primary),0,0,1,0,0,0,0,3,0,0
CLINIC001,CLINIC001,local.ecmh.org,"May 27, 2020 10:53:47 PM","LOCAL\macuna (Since: May 27, 2020 7:49:19 AM)","May 27, 2020 12:46:51 PM",199.66.150.227/10.12.3.168;10.12.11.129;,El Campo Memorial Hospital,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Standard 2010, Build  15.0.4693.1005",Symantec Endpoint Protection,,ASUSTeK COMPUTER INC. H110M-A/M.2 ,N/A,N/A,Intel(R) Core(TM) i5-7400 CPU @ 3.00GHz ,7.87 GB,Intel(R) HD Graphics 630,Realtek High Definition Audio,WDC WD10EZEX-08WN4A0 SCSI Disk Device (931GB),ASUS DRW-24F1ST   c SCSI CdRom Device,"Intel(R) Ethernet Connection (2) I219-V,Qualcomm Atheros AR5B91 Wireless Network Adapter,Microsoft Virtual WiFi Miniport Adapter,TP-Link Wireless USB Adapter",C,50:3E:AA:CF:B9:13 60:45:CB:60:B4:DB (Primary),0,0,0,0,0,0,0,1,0,1
SC-REG-C1,SC-REG-C1,local.ecmh.org,"May 27, 2020 10:53:49 PM","LOCAL\hpreg1 (Since: May 20, 2020 1:04:14 PM)","May 14, 2020 9:32:29 AM",199.66.150.227/10.12.11.208;,El Campo Memorial Hospital,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.836,"Microsoft Office Standard 2010, Build  15.0.4693.1005",Symantec Endpoint Protection,,ASUSTeK COMPUTER INC. PRIME B360M-A ,N/A,N/A,Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz ,15.85 GB,Intel(R) UHD Graphics 630,Intel(R) Display Audio,WDC WD10EZEX-08WN4A0 (931GB),ASUS DRW-24F1ST   d,"Realtek PCIe GBE Family Controller,Qualcomm Atheros AR9281 Wireless Network Adapter",C,00:24:2B:9A:ED:34 0C:9D:92:65:0B:AA (Primary),0,0,1,0,0,0,0,3,0,0
CFO-C1,CFO-C1,local.ecmh.org,"May 27, 2020 10:53:48 PM","LOCAL\dmak (Since: May 19, 2020 8:37:15 AM)","May 19, 2020 1:35:43 PM",199.66.150.227/10.12.12.229;,El Campo Memorial Hospital,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.836,"Microsoft Office Standard 2010, Build  15.0.4693.1005",Symantec Endpoint Protection,,ASUSTeK COMPUTER INC. PRIME B360M-A ,N/A,N/A,Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz ,15.85 GB,Intel(R) UHD Graphics 630,Intel(R) Display Audio,WDC WD10EZEX-08WN4A0 (931GB),ASUS DRW-24F1ST   d,Realtek PCIe GBE Family Controller,C,0C:9D:92:64:4F:29 (Primary),0,0,0,0,0,0,0,3,0,0
NP-COOK,NP-COOK,local.ecmh.org,"April 7, 2020 8:43:14 PM","LOCAL\charris (Since: Mar 24, 2020 12:17:25 PM)","March 24, 2020 5:15:42 PM",12.244.43.70/127.0.0.1;,El Campo Memorial Hospital,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.720,"Microsoft Office Standard 2016, Build  16.0.4266.1001",Symantec Endpoint Protection,LENOVO,LENOVO 20NB005MUS ,20NB005MUS,PF1K3NKC,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz ,7.85 GB,Intel(R) UHD Graphics 620,Intel(R) Display Audio,WDC WDS240G2G0A-00JH30 (223GB),,"Bluetooth Device (Personal Area Network),Realtek PCIe GbE Family Controller,Intel(R) Wireless-AC 9260 160MHz",C,98:FA:9B:4A:4E:8A D4:D2:52:AF:E8:E4 D4:D2:52:AF:E8:E8 (Primary),0,0,0,0,0,0,0,3,0,0
ECMHAVAYA,ECMHAVAYA,local.ecmh.org,"May 27, 2020 10:53:48 PM","LOCAL\srwooster (Since: May 26, 2020 4:30:55 PM)","May 22, 2020 2:48:01 AM",199.66.150.227/10.12.1.80;,El Campo Memorial Hospital,Server,Microsoft Windows Server 2012 R2 Standard  x64,6.3,9600,N/A,Symantec Endpoint Protection,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,6455-8933-0599-2240-7902-2929-96,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz ,8 GB,Microsoft Hyper-V Video,N/A,Microsoft Virtual Disk (199GB),,Microsoft Hyper-V Network Adapter,C,00:15:5D:01:24:02 (Primary),0,0,0,0,1,0,0,1,0,1
