Computer Alias,Action Required,OS,Last Connected,Group,Local Update Host
ADM-IRMA.local.ecmh.org,-,Win10,Online,No Firewall,N/A
ATORRES.local.ecmh.org,-,Win10,5/26/2020,Default Group,N/A
BC-CLINIC-D.local.ecmh.org,-,Win10,Online,Default Group,N/A
BC-PT-01.local.ecmh.org,-,Win10,Online,Default Group,N/A
bill-HP.local.ecmh.org,-,Win7,5/19/2020,Default Group,N/A
BLESSING-CLINIC.local.ecmh.org,-,Win10,Online,Default Group,N/A
BLESSING-NURSE.local.ecmh.org,-,Win10,5/26/2020,Default Group,N/A
Business-Office.local.ecmh.org,-,Win10,5/20/2020,Default Group,N/A
C-BACCAM-LAPTOP.local.ecmh.org,-,Win10,5/25/2020,Default Group,N/A
C-BO-022.local.ecmh.org,-,Win10,Online,Default Group,N/A
C-BO-ALFORD.local.ecmh.org,-,Win10,Online,Default Group,N/A
C-BO-STEHNO.local.ecmh.org,-,Win10,5/22/2020,Default Group,N/A
C-CC-C1.local.ecmh.org,-,Win10,Online,Default Group,N/A
C-DOC1-C1.local.ecmh.org,-,Win7,5/26/2020,Default Group,N/A
C-DOC2-C1.local.ecmh.org,-,Win10,5/25/2020,Default Group,N/A
C-DOC5-C2.local.ecmh.org,-,Win7,3/17/2020,Default Group,N/A
C-DOC6-C3.local.ecmh.org,-,Win10,Online,Default Group,N/A
C-DOC6-C4.local.ecmh.org,-,Win10,Online,Default Group,N/A
C-DOC7-C2.local.ecmh.org,Agent Update,Win7,12/30/2019,Default Group,N/A
C-DOC8-C2.local.ecmh.org,-,Win10,3/18/2020,Default Group,N/A
c-fc1-c20.local.ecmh.org,-,Win7,Online,Default Group,N/A
C-FCI-02.local.ecmh.org,-,Win10,5/26/2020,Default Group,N/A
C-FCI-C3.local.ecmh.org,-,Win10,Online,Default Group,N/A
C-FCI-C4.local.ecmh.org,-,Win10,Online,Default Group,N/A
C-FCI-C5.local.ecmh.org,-,Win10,Online,Default Group,N/A
C-FCI-C7.local.ecmh.org,-,Win10,Online,Default Group,N/A
c-foster.local.ecmh.org,-,Win10,4/24/2020,Default Group,N/A
C-ICU-C4.local.ecmh.org,-,Win10,4/30/2020,Default Group,N/A
C-LAB-C4.local.ecmh.org,-,Win7,Online,Default Group,N/A
C-LAB-C5.local.ecmh.org,-,Win7,Online,Default Group,N/A
C-MB-C06.local.ecmh.org,-,Win7,Online,Default Group,N/A
C-MB-C1.local.ecmh.org,-,Win10,5/21/2020,Default Group,N/A
C-MB-C10.local.ecmh.org,-,Win10,5/20/2020,Default Group,N/A
C-MB-C2.local.ecmh.org,-,Win10,5/24/2020,Default Group,N/A
C-MB-C4.local.ecmh.org,-,Win10,Online,Default Group,N/A
C-MB-C5.local.ecmh.org,-,Win10,5/20/2020,Default Group,N/A
