Device Name,Machine Name,Domain/Workgroup,Last Seen,Last Logged User,Last Reboot Time,IP Address,Customer Name,OS Type,OS Edition,OS Version,OS Build,Office,AntiVirus,Vendor,Motherboard,Model,Serial Number,Processor,Memory,Display,Sound,Harddrive,CDRom,Network Adapter,System Drive,MAC Addresses,Port 21,Port 25,Port 80,Port 443,Port 3389,Critical Patch,Security Patch,Service Pack Patch,Upgrade Patch,Optional Patches
IGH-1,IGH-1,IGH.local,"May 28, 2020 1:33:51 AM","IGH\rtwanabasu (Since: May 21, 2020 10:25:33 AM)","May 21, 2020 3:25:10 PM",159.117.60.210/10.4.89.209;,Iraan General Hospital,Work Station,Microsoft Windows 10 Pro  x64,1903,18362.836,"Microsoft Office 365 Business, Build  16.0.12730.20270",Symantec Endpoint Protection,To Be Filled By O.E.M.,ASRock H310M-STX ,To Be Filled By O.E.M.,To Be Filled By O.E.M.,Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz ,7.66 GB,Intel(R) UHD Graphics 630,Realtek High Definition Audio,CT500MX500SSD4 (465GB),,"Intel(R) Dual Band Wireless-AC 3168,Intel(R) Ethernet Connection (7) I219-V,Bluetooth Device (Personal Area Network)",C,70:85:C2:C5:FE:02 A4:C3:F0:F9:E6:A1 (Primary)A4:C3:F0:F9:E6:A5 ,0,0,0,0,1,0,0,3,0,0
IGH-11,IGH-11,IGH.local,"May 28, 2020 1:33:53 AM","IGH\cclifton (Since: May 27, 2020 7:04:28 AM)","May 27, 2020 9:17:27 PM",159.117.60.210/10.4.89.155;,Iraan General Hospital,Work Station,Microsoft Windows 10 Pro  x64,1903,18362.836,"Microsoft Office Professional 2007 SP3, Build  12.0.6612.1000",Symantec Endpoint Protection,To Be Filled By O.E.M.,ASRock H310M-STX ,To Be Filled By O.E.M.,To Be Filled By O.E.M.,Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz ,7.66 GB,Intel(R) UHD Graphics 630,Realtek High Definition Audio,CT500MX500SSD4 (465GB),,"Intel(R) Ethernet Connection (7) I219-V,Intel(R) Dual Band Wireless-AC 3168,Bluetooth Device (Personal Area Network)",C,70:85:C2:C5:FD:6D (Primary)A4:C3:F0:F5:6F:90 A4:C3:F0:F5:6F:94 ,0,0,0,0,1,0,0,3,0,0
IGH-5,IGH-5,IGH.local,"May 28, 2020 1:33:51 AM","IGH\rgarcia (Since: Mar 20, 2020 9:20:41 PM),IGH\tcallahan (Since: Mar 31, 2020 12:26:35 PM),IGH\garmen (Since: Apr 3, 2020 10:25:55 AM)","May 27, 2020 8:45:37 PM",159.117.60.210/10.4.89.206;,Iraan General Hospital,Work Station,Microsoft Windows 10 Pro  x64,1809,17763.1158,"Microsoft Office 365 Business, Build  16.0.12730.20270",Symantec Endpoint Protection,To Be Filled By O.E.M.,ASRock H310M-STX ,To Be Filled By O.E.M.,To Be Filled By O.E.M.,Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz ,7.66 GB,Intel(R) UHD Graphics 630,High Definition Audio Device,CT500MX500SSD4 (465GB),,"Intel(R) Dual Band Wireless-AC 3168,Bluetooth Device (Personal Area Network),Intel(R) Ethernet Connection (7) I219-V",C,70:85:C2:C5:FD:F4 A4:C3:F0:F5:E0:6F (Primary)A4:C3:F0:F5:E0:73 ,0,0,0,0,1,0,1,3,0,0
IGH-4,IGH-4,IGH.local,"May 28, 2020 1:33:53 AM","IGH\cmiles (Since: May 20, 2020 9:39:40 AM)","May 20, 2020 2:06:11 PM",159.117.60.210/10.4.89.138;,Iraan General Hospital,Work Station,Microsoft Windows 10 Pro  x64,1809,17763.1217,"Microsoft Office 365 Business, Build  16.0.12730.20270",Symantec Endpoint Protection,To Be Filled By O.E.M.,ASRock H310M-STX ,To Be Filled By O.E.M.,To Be Filled By O.E.M.,Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz ,7.66 GB,Intel(R) UHD Graphics 630,High Definition Audio Device,CT500MX500SSD4 (465GB),,"Bluetooth Device (Personal Area Network),Intel(R) Dual Band Wireless-AC 3168,Intel(R) Ethernet Connection (7) I219-V",C,00:FF:86:6B:5A:CF 70:85:C2:C5:FD:F2 A4:C3:F0:F5:EE:E3 A4:C3:F0:F5:EE:E7 (Primary),0,0,0,0,1,0,0,3,0,0
IRAAN109,IRAAN109,IGH.local,"May 28, 2020 1:33:51 AM","IGH\nhernandez (Since: May 27, 2020 8:03:41 AM)","May 20, 2020 10:03:02 PM",159.117.60.210/10.4.89.213;,Iraan General Hospital,Work Station,Microsoft Windows 10 Pro  x64,1903,18362.836,"Microsoft Office 365 Business, Build  16.0.12730.20270",Symantec Endpoint Protection,To Be Filled By O.E.M.,ASRock H310M-STX ,To Be Filled By O.E.M.,To Be Filled By O.E.M.,Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz ,7.66 GB,Intel(R) UHD Graphics 630,Realtek High Definition Audio,"CT500MX500SSD4 (465GB),TOSHIBA External USB 3.0 USB Device (931GB)",,"Intel(R) Dual Band Wireless-AC 3168,Intel(R) Ethernet Connection (7) I219-V,Bluetooth Device (Personal Area Network)",C,70:85:C2:C5:FC:78 A4:C3:F0:F5:E0:42 (Primary)A4:C3:F0:F5:E0:46 ,0,0,0,0,1,0,0,2,0,0
IRAAN97,IRAAN97,IGH.local,"May 28, 2020 1:33:51 AM","IGH\garmen (Since: May 22, 2020 6:23:05 PM)","May 22, 2020 11:22:25 PM",159.117.60.210/10.4.89.197;10.4.88.197;,Iraan General Hospital,Work Station,Microsoft Windows 10 Pro  x64,1903,18362.836,"Microsoft Office 365 Business, Build  16.0.12730.20270",Symantec Endpoint Protection,Dell Inc.,Dell Inc. 08NPPY ,OptiPlex 3050,21C2YM2,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz ,7.89 GB,Intel(R) HD Graphics 630,Intel(R) Display Audio,CT500MX500SSD1 (465GB),HL-DT-ST DVD+-RW GU90N,Realtek PCIe GBE Family Controller,C,D8:9E:F3:31:43:AA (Primary),0,0,0,0,1,0,0,2,0,0
IRAAN79,IRAAN79,IGH.local,"April 23, 2020 6:45:08 PM","IGH\administrator (Since: Apr 23, 2020 1:41:28 PM)","April 23, 2020 6:38:42 PM",12.161.91.34/10.4.89.49;,Iraan General Hospital,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Professional 2007 SP3, Build  15.0.4569.1506",Symantec Endpoint Protection,Dell Inc.,Dell Inc. 0D6H9T ,OptiPlex 990,BCJXMS1,Intel(R) Core(TM) i5-2400 CPU @ 3.10GHz ,11.88 GB,Intel(R) HD Graphics,Intel(R) Display Audio,ST250DM000-1BD141 (232GB),HL-DT-ST DVD+-RW GT60N,Intel(R) 82579LM Gigabit Network Connection #2,C,18:03:73:16:44:9E (Primary),0,0,0,0,1,0,0,1,0,0
IGH-7,IGH-7,IGH.local,"May 28, 2020 1:33:54 AM","IGH\ktucker (Since: May 26, 2020 7:56:21 AM)","May 26, 2020 10:02:14 PM",159.117.60.210/10.4.89.188;,Iraan General Hospital,Work Station,Microsoft Windows 10 Pro  x64,1903,18362.836,"Microsoft Office 365 Business, Build  16.0.12730.20270",Symantec Endpoint Protection,To Be Filled By O.E.M.,ASRock H310M-STX ,To Be Filled By O.E.M.,To Be Filled By O.E.M.,Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz ,7.66 GB,Intel(R) UHD Graphics 630,Realtek High Definition Audio,CT500MX500SSD4 (465GB),,"Intel(R) Dual Band Wireless-AC 3168,Intel(R) Ethernet Connection (7) I219-V,Bluetooth Device (Personal Area Network)",C,70:85:C2:C5:FE:F5 A4:C3:F0:F5:63:BA (Primary)A4:C3:F0:F5:63:BE ,0,0,0,0,1,0,0,3,0,0
IRAAN104,IRAAN104,IGH.local,"May 27, 2020 6:15:32 PM","IGH\lsantana (Since: May 26, 2020 8:07:05 AM)","May 27, 2020 2:34:54 PM",159.117.60.210/10.4.89.172;,Iraan General Hospital,Work Station,Microsoft Windows 10 Pro  x64,1809,17763.1217,"Microsoft Office 365 Business, Build  16.0.12730.20270",Symantec Endpoint Protection,Dell Inc.,Dell Inc. 04Y8V0 ,OptiPlex 3060,FM0WYQ2,Intel(R) Core(TM) i5-8500 CPU @ 3.00GHz ,7.83 GB,Intel(R) UHD Graphics 630,Realtek Audio,ST500DM009-2F110A (465GB),HL-DT-ST DVD+-RW GU90N,Realtek PCIe GbE Family Controller,C,54:BF:64:78:BB:69 (Primary),0,0,0,0,1,0,0,3,0,1
IRAAN100,IRAAN100,IGH.local,"May 28, 2020 1:33:54 AM","IGH\wsheen (Since: May 24, 2020 4:35:19 AM)","May 27, 2020 12:04:16 PM",159.117.60.210/10.4.89.144;,Iraan General Hospital,Work Station,Microsoft Windows 10 Pro  x64,1809,17763.1217,"Microsoft Office Professional 2007 SP3, Build  12.0.6612.1000",Symantec Endpoint Protection,Dell Inc.,Dell Inc. 04Y8V0 ,OptiPlex 3060,FML1ZQ2,Intel(R) Core(TM) i5-8500 CPU @ 3.00GHz ,7.83 GB,Intel(R) UHD Graphics 630,Realtek Audio,ST500DM009-2F110A (465GB),HL-DT-ST DVD+-RW GU90N,"Realtek PCIe GbE Family Controller #2,Bluetooth Device (Personal Area Network) #2",C,00:1A:7D:DA:71:13 54:BF:64:78:3E:39 (Primary),0,0,0,0,1,0,0,3,0,0
