Computer Alias,Action Required,OS,Last Connected,Group,Local Update Host
CLINC4.IGH.local,-,Win8.1,4/23/2020,Default Group,N/A
CLINIC1.IGH.local,Needs Restart,Win8.1,3/3/2020,Default Group,N/A
CLINIC3.IGH.local,-,Win8.1,5/14/2020,Default Group,N/A
CLINIC5.IGH.local,-,Win8.1,5/19/2020,Default Group,N/A
IGH-1,-,Win10,Online,Default Group,N/A
IGH-10,-,Win10,4/3/2020,Default Group,N/A
IGH-11,-,Win10,Online,Default Group,N/A
IGH-12,-,Win10,5/26/2020,Default Group,N/A
IGH-13,-,Win10,Online,Default Group,N/A
IGH-14,-,Win10,5/26/2020,Default Group,N/A
IGH-17,-,Win10,Online,Default Group,N/A
IGH-2,-,Win10,Online,Default Group,N/A
IGH-3,-,Win10,Online,Default Group,N/A
IGH-4,-,Win10,Online,Default Group,N/A
IGH-5,-,Win10,5/20/2020,Default Group,N/A
IGH-6,-,Win10,Online,Default Group,N/A
IGH-7,-,Win10,Online,Default Group,N/A
IGH-8,-,Win10,12/23/2019,Default Group,N/A
IGH-9,-,Win10,Online,Default Group,N/A
IGHPACSVIEW.IGH.local,-,Win2016,Online,Default Group,N/A
IRAAN-CPCART.IGH.local,-,Win10,Online,Default Group,N/A
IRAAN100,-,Win10,Online,Default Group,N/A
IRAAN101,-,Win10,5/20/2020,Default Group,N/A
IRAAN102.IGH.local,-,Win10,Online,Default Group,N/A
IRAAN103.IGH.local,-,Win10,Online,Default Group,N/A
IRAAN104,-,Win10,Online,Default Group,N/A
IRAAN105.IGH.local,-,Win10,5/26/2020,Default Group,N/A
IRAAN106.IGH.local,-,Win10,5/21/2020,Default Group,N/A
IRAAN107.IGH.local,-,Win10,Online,Default Group,N/A
IRAAN41.IGH.local,-,Win10,2/28/2020,Default Group,N/A
IRAAN42.IGH.local,-,Win7,5/14/2020,Default Group,N/A
IRAAN46.IGH.local,-,Win10,Online,Default Group,N/A
IRAAN52.IGH.local,-,Win10,Online,Default Group,N/A
IRAAN53,-,Win7,2/8/2020,Default Group,N/A
IRAAN55.IGH.local,-,Win7,5/28/2019,Default Group,N/A
IRAAN57.IGH.local,-,Win7,7/31/2019,Default Group,N/A
IRAAN58.IGH.local,-,Win7,7/29/2019,Default Group,N/A
IRAAN59.IGH.local,-,Win7,12/6/2019,Default Group,N/A
IRAAN66.IGH.local,-,Win10,Online,Default Group,N/A
IRAAN68.IGH.local,-,Win10,Online,Default Group,N/A
IRAAN7.IGH.local,-,Win7,Online,Default Group,N/A
IRAAN70.IGH.local,-,Win7,7/31/2019,Default Group,N/A
IRAAN73.IGH.local,-,Win10,Online,Default Group,N/A
IRAAN75.IGH.local,-,Win10,Online,Default Group,N/A
IRAAN76.IGH.local,-,Win7,9/6/2019,Default Group,N/A
IRAAN79.IGH.local,-,Win7,4/23/2020,Default Group,N/A
IRAAN80.IGH.local,-,Win7,Online,Default Group,N/A
IRAAN81.IGH.local,-,Win7,Online,Default Group,N/A
IRAAN82,-,Win10,Online,Default Group,N/A
IRAAN83,-,Win10,Online,Default Group,N/A
IRAAN86.IGH.local,-,Win10,Online,Default Group,N/A
IRAAN89.IGH.local,-,Win10,Online,Default Group,N/A
IRAAN91.IGH.local,-,Win10,Online,Default Group,N/A
IRAAN93.IGH.local,-,Win10,9/6/2019,Default Group,N/A
IRAAN94.IGH.local,-,Win10,9/27/2019,Default Group,N/A
IRAAN95.IGH.local,-,Win10,9/6/2019,Default Group,N/A
IRAAN96.IGH.local,-,Win10,Online,Default Group,N/A
IRAAN97.IGH.local,-,Win10,Online,Default Group,N/A
IRAAN98.IGH.local,-,Win10,5/23/2020,Default Group,N/A
IRAAN99.IGH.local,-,Win10,Online,Default Group,N/A
IRAANDC.IGH.local,-,Win2012,Online,Default Group,N/A
IRAANLPT101,-,Win10,5/22/2020,Default Group,N/A
PC.IGH.local,-,Win10,Online,Default Group,N/A
Well1-PC.IGH.local,-,Win7,Online,Default Group,N/A
WELL3.IGH.local,-,Win10,Online,Default Group,N/A
Well4.IGH.local,-,Win10,3/10/2020,Default Group,N/A
WIN-CA7QBSLT1IS,-,Win2016,Online,Default Group,N/A
