Device Name,Machine Name,Domain/Workgroup,Last Seen,Last Logged User,Last Reboot Time,IP Address,Customer Name,OS Type,OS Edition,OS Version,OS Build,Office,AntiVirus,Vendor,Motherboard,Model,Serial Number,Processor,Memory,Display,Sound,Harddrive,CDRom,Network Adapter,System Drive,MAC Addresses,Port 21,Port 25,Port 80,Port 443,Port 3389,Critical Patch,Security Patch,Service Pack Patch,Upgrade Patch,Optional Patches
KIMBLEVH2,KIMBLEVH2,WORKGROUP,"August 3, 2020 5:20:06 PM","KIMBLEVH2\tntadmin (Since: Jul 30, 2020 10:03:02 AM)","July 14, 2020 11:05:26 PM",72.12.127.66/169.254.42.168;10.141.48.156;10.141.48.160;,Kimble Hospital,Server,Microsoft Windows Server 2012 R2 Datacenter  x64,6.3,9600,N/A,,Dell Inc.,Dell Inc. 0975F3 ,PowerEdge T430,330X282,2x Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz ,127.91 GB,Microsoft Basic Display Adapter,N/A,DELL PERC H730 Adp SCSI Disk Device (278GB),HL-DT-ST DVD+-RW GHB0N,"Broadcom NetXtreme Gigabit Ethernet,Hyper-V Virtual Ethernet Adapter #2",C,02:00:4C:4F:4F:50 (Primary)14:18:77:45:01:DD 14:18:77:45:01:DE ,0,0,0,0,1,0,6,66,0,2
SERVER1,SERVER1,kimble.local,"August 3, 2020 5:20:07 PM","KIMBLE\clee (Since: Jul 21, 2020 1:55:15 PM)","July 15, 2020 1:59:34 AM",72.12.127.66/10.141.48.15;169.254.192.111;,Kimble Hospital,Server,Microsoft Windows Server 2016 Standard  x64,1607,14393.3808,N/A,Symantec Endpoint Protection,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,1976-8426-8204-9422-1008-5358-39,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz ,8 GB,Microsoft Hyper-V Video,N/A,Microsoft Virtual Disk (299GB),,Microsoft Hyper-V Network Adapter,C,00:15:5D:02:A6:11 (Primary)02:00:4C:4F:4F:50 ,0,0,0,0,1,0,0,0,0,0
SERVER2,SERVER2,kimble.local,"August 3, 2020 5:20:04 PM","KIMBLE\admin2 (Since: Feb 24, 2020 12:31:15 PM)","July 15, 2020 1:57:09 AM",72.12.127.66/10.141.48.11;,Kimble Hospital,Server,Microsoft Windows Server 2016 Standard  x64,1607,14393.3808,N/A,Symantec Endpoint Protection,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,5942-1776-3469-4930-1042-0884-09,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz ,6 GB,Microsoft Hyper-V Video,N/A,Microsoft Virtual Disk (219GB),,Microsoft Hyper-V Network Adapter,C,00:15:5D:02:A6:12 (Primary),0,0,0,0,1,0,0,1,0,0
KIMBLEITAPPS1,KIMBLEITAPPS1,kimble.local,"August 3, 2020 5:20:04 PM","KIMBLE\tntbackup (Since: Jul 16, 2020 9:59:22 AM),KIMBLE\srwooster (Since: Jul 22, 2020 10:41:43 PM),KIMBLE\admin2 (Since: Jul 29, 2020 11:29:18 AM)","July 15, 2020 1:14:26 AM",72.12.127.66/10.141.48.129;169.254.179.254;,Kimble Hospital,Server,Microsoft Windows Server 2012 R2 Datacenter  x64,6.3,9600,N/A,,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,8176-0955-4137-9436-2451-9830-43,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz ,8 GB,Microsoft Hyper-V Video,N/A,Microsoft Virtual Disk (126GB),,Microsoft Hyper-V Network Adapter,C,00:15:5D:02:A6:0D 02:00:4C:4F:4F:50 (Primary),0,0,1,1,1,0,0,0,0,0
KIMBLEEMDSAPP,KIMBLEEMDSAPP,kimble.local,"August 3, 2020 5:20:07 PM","KIMBLE\admin2 (Since: Aug 2, 2020 11:57:40 PM)","August 2, 2020 11:57:24 PM",72.12.127.66/10.141.48.170;169.254.7.117;,Kimble Hospital,Server,Microsoft Windows Server 2012 R2 Datacenter  x64,6.3,9600,N/A,,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,2078-6449-3961-9759-8206-4712-52,Intel(R) Xeon(R) CPU E5-2667 v4 @ 3.20GHz ,6 GB,Microsoft Hyper-V Video,N/A,Microsoft Virtual Disk (126GB),,Microsoft Hyper-V Network Adapter,C,00:15:5D:30:78:05 (Primary)02:00:4C:4F:4F:50 ,0,0,1,0,1,0,0,0,0,0
KIMBLE200,KIMBLE200,kimble.local,"August 3, 2020 5:20:07 PM","KIMBLE\mdennis (Since: Jun 16, 2020 11:29:04 AM)","June 11, 2020 7:18:07 AM",72.12.127.66/10.141.48.49;,Kimble Hospital,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Symantec Endpoint Protection,Dell Inc.,Dell Inc. 05XGC8 ,OptiPlex 3040,2ZHSFB2,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz ,7.88 GB,Intel(R) HD Graphics 530,Realtek High Definition Audio,SK hynix SC300 2.5 SCSI Disk Device (238GB),HL-DT-ST DVD-ROM DU90N SCSI CdRom Device,Realtek PCIe GBE Family Controller,C,18:66:DA:01:60:C4 (Primary),0,0,0,0,1,0,1,1,0,3
KIMBLELPT107,KIMBLELPT107,kimble.local,"August 3, 2020 5:20:05 PM","KIMBLE\adrian.martinez (Since: Jul 29, 2020 9:01:13 PM),KIMBLE\mwilliamson (Since: Jul 30, 2020 12:07:48 AM),KIMBLE\hnorthrup (Since: Jul 30, 2020 1:56:22 AM)","July 29, 2020 2:04:15 PM",72.12.127.66/10.141.48.112;,Kimble Hospital,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.959,"Microsoft Office Standard 2010, Build  14.0.7015.1000",Symantec Endpoint Protection,HP,HP 837F ,HP ProBook 470 G5,5CD842499W,Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz ,15.9 GB,Intel(R) UHD Graphics 620,Conexant ISST Audio,WDC PC SN520 SDAPNUW-256G-1006 (238GB),,"Realtek RTL8822BE 802.11ac PCIe Adapter,Realtek PCIe GbE Family Controller,Bluetooth Device (Personal Area Network)",C,80:2B:F9:7B:08:39 (Primary)80:2B:F9:7B:08:3A 84:A9:3E:12:C8:E9 ,0,0,0,0,1,0,0,3,0,0
KIMBLEEMDSIMAGE,KIMBLEEMDSIMAGE,kimble.local,"August 3, 2020 5:20:07 PM","KIMBLE\admin2 (Since: Nov 7, 2019 10:41:39 AM)","August 2, 2020 11:07:16 PM",72.12.127.66/10.141.48.165;169.254.62.70;,Kimble Hospital,Server,Microsoft Windows Server 2012 R2 Datacenter  x64,6.3,9600,N/A,,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,7146-2639-2927-6192-0070-7747-38,Intel(R) Xeon(R) CPU E5-2667 v4 @ 3.20GHz ,8 GB,Microsoft Hyper-V Video,N/A,Microsoft Virtual Disk (126GB),,Microsoft Hyper-V Network Adapter,C,00:15:5D:30:78:01 02:00:4C:4F:4F:50 (Primary),0,0,0,0,1,0,0,0,0,0
KIMBLE201,KIMBLE201,kimble.local,"August 3, 2020 5:20:06 PM","KIMBLE\cdavis (Since: Jul 24, 2020 1:08:11 PM)","July 2, 2020 3:32:53 PM",72.12.127.66/10.141.48.115;,Kimble Hospital,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Symantec Endpoint Protection,Dell Inc.,Dell Inc. 05XGC8 ,OptiPlex 3040,2ZHNFB2,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz ,7.88 GB,Intel(R) HD Graphics 530,Realtek High Definition Audio,SK hynix SC300 2.5 SCSI Disk Device (238GB),HL-DT-ST DVD-ROM DU90N SCSI CdRom Device,Realtek PCIe GBE Family Controller,C,18:66:DA:01:5F:19 (Primary),0,0,0,0,1,0,0,1,0,0
KIMBLE148,KIMBLE148,kimble.local,"August 3, 2020 5:20:05 PM","KIMBLE\admin2 (Since: Jul 23, 2020 1:10:15 AM)","July 23, 2020 1:08:23 AM",72.12.127.66/10.141.48.111;,Kimble Hospital,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Symantec Endpoint Protection,Hewlett-Packard,Hewlett-Packard 3031h ,HP Compaq dc7900 Small Form Factor,2UA94603VM,Intel(R) Core(TM)2 Duo CPU E8400 @ 3.00GHz ,7.81 GB,Intel(R) Q45/Q43 Express Chipset,High Definition Audio Device,WDC WD5000AZLX-00ZR6A0 ATA Device (465GB),hp DVD D  DH16D5S ATA Device,Intel(R) 82567LM-3 Gigabit Network Connection,C,00:25:B3:12:95:5F (Primary),0,0,0,0,1,0,0,1,0,0
KIMBLE218,KIMBLE218,kimble.local,"August 3, 2020 5:20:05 PM","KIMBLE\lmartin (Since: Aug 3, 2020 8:40:48 AM)","July 15, 2020 1:33:43 AM",72.12.127.66/10.141.48.137;,Kimble Hospital,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.959,"Microsoft Office Professional 2007 SP3, Build  12.0.6612.1000",Symantec Endpoint Protection,MINIX,MINIX N42C-4 ,N42C-4,Default string,Intel(R) Pentium(R) CPU J4205 @ 1.50GHz ,7.85 GB,Intel(R) HD Graphics 505,Intel(R) Display Audio,"Samsung BJTD4R (29GB),SSD (223GB)",,"Intel(R) Dual Band Wireless-AC 3168,Realtek PCIe GBE Family Controller,Bluetooth Device (Personal Area Network)",C,20:79:18:B5:F8:06 (Primary)20:79:18:B5:F8:0A A0:1E:0B:0D:69:1A ,0,0,0,0,1,0,0,2,0,0
KIMBLELPT114,KIMBLELPT114,kimble.local,"August 3, 2020 5:20:04 PM","KIMBLE\Kbowers (Since: Jul 30, 2020 3:31:32 PM),KIMBLE\dyoung (Since: Jul 31, 2020 8:22:12 AM)","July 30, 2020 3:30:52 PM",72.12.127.66/10.141.48.142;192.168.137.1;,Kimble Hospital,Work Station,Microsoft Windows 10 Pro  x64,1809,17763.1282,"Microsoft Office Standard 2010, Build  14.0.7015.1000",Symantec Endpoint Protection,Microsoft Corporation,Microsoft Corporation Surface Laptop ,Surface Laptop,003535581457,Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz ,7.92 GB,DameWare Development Mirror Driver 64-bit,Intel(R) Display Audio,KBG30ZPZ256G TOSHIBA (238GB),,"Marvell AVASTAR Wireless-AC Network Controller,Bluetooth Device (Personal Area Network),Microsoft Wi-Fi Direct Virtual Adapter #2",C,C4:9D:ED:A5:0B:7E (Primary)C4:9D:ED:A5:0B:7F C6:9D:ED:A5:0F:7F ,0,0,0,0,1,0,0,3,1,0
