Device Name,Machine Name,Domain/Workgroup,Last Seen,Last Logged User,Last Reboot Time,IP Address,Customer Name,OS Type,OS Edition,OS Version,OS Build,Office,AntiVirus,Vendor,Motherboard,Model,Serial Number,Processor,Memory,Display,Sound,Harddrive,CDRom,Network Adapter,System Drive,MAC Addresses,Port 21,Port 25,Port 80,Port 443,Port 3389,Critical Patch,Security Patch,Service Pack Patch,Upgrade Patch,Optional Patches
MAHHOSPPHONE,MAHHOSPPHONE,WORKGROUP,"May 25, 2020 12:26:04 AM","MAHHOSPPHONE\tntadmin (Since: May 12, 2020 4:16:33 PM)","May 12, 2020 9:14:58 PM",66.252.219.66/172.16.173.19;,Mulshoe Area Medical Center,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.476,N/A,Sentinel Agent,MINIX,MINIX N42C-4 ,N42C-4,Default string,Intel(R) Pentium(R) CPU J4205 @ 1.50GHz ,7.85 GB,Intel(R) HD Graphics 505,Intel(R) Display Audio,"NEO-N4-SSD-240GB (223GB),Samsung BJTD4R (29GB)",,"Intel(R) Dual Band Wireless-AC 3168,Realtek PCIe GBE Family Controller #3,Bluetooth Device (Personal Area Network)",C,A0:1E:0B:0D:6F:01 F4:D1:08:D5:E3:28 (Primary)F4:D1:08:D5:E3:2C ,0,0,0,0,1,0,3,2,0,1
MAMC-HIM1,MAMC-HIM1,mahdtx.org,"March 17, 2020 8:52:00 PM",MAMC-HIM1\tntadmin (Since: 11/6/2019 3:55:46 PM),"January 15, 2020 9:38:58 AM",66.252.219.66/172.16.173.154;,Mulshoe Area Medical Center,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Standard 2013, Build  15.0.4569.1506",Symantec Endpoint Protection,LENOVO,LENOVO   ,10AU002PUS,PB00502H,Intel(R) Core(TM) i3-4130 CPU @ 3.40GHz ,3.82 GB,Intel(R) HD Graphics 4400,Realtek High Definition Audio,WDC WD5000AAKX-08U6AA0 ATA Device (465GB),PLDS DVD-RW DH16AESH ATA Device,Realtek PCIe GBE Family Controller,C,44:8A:5B:08:57:F8 (Primary),0,0,0,0,1,0,0,2,0,0
MAHPURDYPHONE,MAHPURDYPHONE,WORKGROUP,"April 28, 2020 7:15:59 AM","MAHPURDYPHONE\PhoneAdmin (Since: Nov 22, 2019 1:42:03 PM),MAHPURDYPHONE\Tntadmin (Since: Nov 25, 2019 2:13:53 PM)","November 22, 2019 7:48:20 PM",66.252.219.171/192.168.127.19;,Mulshoe Area Medical Center,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.476,N/A,Symantec Endpoint Protection,MINIX,MINIX N42C-4 ,N42C-4,Default string,Intel(R) Pentium(R) CPU J4205 @ 1.50GHz ,7.85 GB,Intel(R) HD Graphics 505,Intel(R) Display Audio,"NEO-N4-SSD-240GB (223GB),Samsung BJTD4R (29GB)",,"Intel(R) Dual Band Wireless-AC 3168,Realtek PCIe GBE Family Controller #3,Bluetooth Device (Personal Area Network)",C,A0:1E:0B:0D:6D:E1 F4:D1:08:D6:ED:9A (Primary)F4:D1:08:D6:ED:9E ,0,0,0,0,1,0,3,3,0,1
REDOC,REDOC,mahdtx.org,"May 28, 2020 2:55:52 AM","MAHDTX\carson (Since: May 6, 2020 12:55:47 PM)","May 6, 2020 5:51:41 PM",66.252.219.66/10.173.0.26;,Mulshoe Area Medical Center,Server,Microsoft Windows Server 2008 R2 Standard SP1 x64,6.1,7601,N/A,,"VMware, Inc.",Intel Corporation 440BX Desktop Reference Platform ,VMware Virtual Platform,VMware-56 4d f7 a2 6d 22 7f 41-1e e7 e9 72 74 04 1a a5,2x Intel(R) Xeon(R) CPU E5645 @ 2.40GHz ,8 GB,Standard VGA Graphics Adapter,N/A,VMware Virtual disk SCSI Disk Device (99GB),NECVMWar VMware IDE CDR10 ATA Device,Intel(R) PRO/1000 MT Network Connection,C,00:0C:29:04:1A:A5 (Primary),0,0,1,0,1,0,1,1,0,0
MAMCBILLING2,MAMCBILLING2,mahdtx.org,"May 27, 2020 6:15:31 PM","MAHDTX\mvoss (Since: May 27, 2020 8:04:53 AM)","May 27, 2020 1:03:13 PM",66.252.219.66/10.173.0.108;,Mulshoe Area Medical Center,Work Station,Microsoft Windows 7 Professional SP1,6.1,7601.24544,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Symantec Endpoint Protection,LENOVO,LENOVO   ,10AU002PUS,PB002FWJ,Intel(R) Core(TM) i3-4130 CPU @ 3.40GHz ,3.32 GB,LogMeIn Mirror Driver,Realtek High Definition Audio,ATA ST500DM002-1BD14 SCSI Disk Device (465GB),TSSTcorp DVD-RW SH-216DB SCSI CdRom Device,Realtek PCIe GBE Family Controller,C,44:8A:5B:00:C5:46 (Primary),0,0,0,0,1,0,0,1,0,5
XLEGACY-PC,XLEGACY-PC,mahdtx.org,"May 28, 2020 2:55:51 AM","XLegacy-PC\Administrator (Since: May 22, 2020 1:48:12 AM)","May 22, 2020 6:47:38 AM",66.252.219.66/10.173.0.119;192.168.28.150;,Mulshoe Area Medical Center,Work Station,Microsoft Windows Embedded Standard SP1,6.1,7601.24554,N/A,Windows Defender,BCM,BCM MX67QMD ,MX67QMD,To be filled by O.E.M.,Intel(R) Celeron(R) CPU B810 @ 1.60GHz ,3.41 GB,Intel(R) HD Graphics Family,Realtek High Definition Audio,"INTEL SSDSC2CW120A3 (111GB),Kingston DataTraveler 2.0 USB Device (7GB)",TSSTcorp CDDVDW SN-208DB,"Intel(R) 82579LM Gigabit Network Connection,Intel(R) 82574L Gigabit Network Connection",C,00:04:5F:B4:5B:02 (Primary)00:04:5F:B4:5B:E6 ,0,0,0,0,0,0,0,0,0,0
HERMES,HERMES,mahdtx.org,"May 28, 2020 2:55:52 AM","MAHDTX\srwooster (Since: May 12, 2020 8:57:40 PM)","May 13, 2020 1:54:11 AM",66.252.219.73/10.173.0.29;,Mulshoe Area Medical Center,Server,Microsoft Windows Server 2008 R2 Standard SP1 x64,6.1,7601,N/A,Symantec Endpoint Protection,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,1666-6269-9292-0990-5998-2964-55,Intel(R) Xeon(R) CPU E5-2667 v4 @ 3.20GHz ,16 GB,Microsoft Hyper-V Video,N/A,Virtual HD ATA Device (750GB),"Msft Virtual CD/ROM ATA Device,DTSOFT Virtual CdRom Device",Microsoft Hyper-V Network Adapter,C,00:15:5D:00:95:08 (Primary),0,1,1,1,1,0,0,1,0,0
MAMCHLSQL1,MAMCHLSQL1,mahdtx.org,"May 28, 2020 2:55:50 AM","MAHDTX\healthland (Since: Apr 27, 2020 3:22:04 AM)","May 27, 2020 12:13:58 PM",64.20.236.4/10.21.31.196;,Mulshoe Area Medical Center,Server,Microsoft Windows Server 2008 R2 Enterprise SP1 x64,6.1,7601,N/A,,"VMware, Inc.",Intel Corporation 440BX Desktop Reference Platform ,VMware Virtual Platform,VMware-42 38 95 c7 06 d3 b7 07-ab 38 1c be f0 3c f6 cb,2x Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz ,32 GB,VMware SVGA 3D,N/A,"VMware Virtual disk SCSI Disk Device (74GB),VMware Virtual disk SCSI Disk Device (99GB),VMware Virtual disk SCSI Disk Device (399GB),VMware Virtual disk SCSI Disk Device (199GB)","NECVMWar VMware IDE CDR10 ATA Device,ELBY CLONEDRIVE SCSI CdRom Device",vmxnet3 Ethernet Adapter,C,00:50:56:B8:D8:37 (Primary),0,0,1,0,1,0,1,2,0,0
MULESHOEDC2,MULESHOEDC2,mahdtx.org,"May 28, 2020 2:55:53 AM","MAHDTX\jennifer (Since: Dec 26, 2019 10:52:54 AM),MAHDTX\srwooster (Since: Mar 11, 2020 10:47:17 PM),MAHDTX\carson (Since: Mar 12, 2020 12:55:50 PM)","December 11, 2019 9:07:55 AM",64.20.236.4/10.21.31.213;,Mulshoe Area Medical Center,Domain Controller,Microsoft Windows Server 2008 R2 Standard SP1 x64,6.1,7601,N/A,,"VMware, Inc.",Intel Corporation 440BX Desktop Reference Platform ,VMware Virtual Platform,VMware-42 38 66 b0 3b c8 49 0c-a9 35 b3 84 a3 89 58 be,Intel(R) Xeon(R) CPU E5-2640 0 @ 2.50GHz ,4 GB,VMware SVGA 3D,N/A,VMware Virtual disk SCSI Disk Device (74GB),NECVMWar VMware IDE CDR10 ATA Device,Intel(R) PRO/1000 MT Network Connection,C,00:50:56:B8:C8:43 (Primary),0,0,0,0,1,0,1,1,0,0
MAMCHLWTS3,MAMCHLWTS3,mahdtx.org,"May 28, 2020 2:55:51 AM","MAHDTX\sgarcia (Since: May 27, 2020 6:53:32 PM)","May 27, 2020 12:47:14 PM",64.20.236.4/10.21.31.201;,Mulshoe Area Medical Center,Server,Microsoft Windows Server 2008 R2 Standard SP1 x64,6.1,7601,"Microsoft Office Standard 2010, Build  14.0.7015.1000",Symantec Endpoint Protection,"VMware, Inc.",Intel Corporation 440BX Desktop Reference Platform ,VMware Virtual Platform,VMware-42 38 5f 7d 6c e2 3e ce-f7 45 9f 1e 79 25 2f d3,2x Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz ,16 GB,VMware SVGA 3D,N/A,"VMware Virtual disk SCSI Disk Device (59GB),VMware Virtual disk SCSI Disk Device (24GB),VMware Virtual disk SCSI Disk Device (139GB)",NECVMWar VMware IDE CDR10 ATA Device,Intel(R) PRO/1000 MT Network Connection,C,00:50:56:B8:69:E4 (Primary),0,0,1,0,1,0,0,2,0,2
