Device Name,Machine Name,Domain/Workgroup,Last Seen,Last Logged User,Last Reboot Time,IP Address,Customer Name,OS Type,OS Edition,OS Version,OS Build,Office,AntiVirus,Vendor,Motherboard,Model,Serial Number,Processor,Memory,Display,Sound,Harddrive,CDRom,Network Adapter,System Drive,MAC Addresses,Port 21,Port 25,Port 80,Port 443,Port 3389,Critical Patch,Security Patch,Service Pack Patch,Upgrade Patch,Optional Patches
OKMHVH3,OKMHVH3,OKMH.local,"May 8, 2020 2:11:08 AM","OKMH\administrator (Since: Apr 3, 2020 7:50:57 PM)","April 4, 2020 12:12:55 AM",12.234.245.218/10.24.0.183;10.24.0.168;10.24.0.181;10.24.0.223;,Otto Kaiser Memorial Hospital,Server,Microsoft Windows Server 2012 R2 Datacenter  x64,6.3,9600,N/A,,Dell Inc.,Dell Inc. 0599V5 ,PowerEdge R730,4KB2082,2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz ,383.91 GB,Microsoft Basic Display Adapter,N/A,"DELL PERC H730 Mini SCSI Disk Device (558GB),DELL PERC H730 Mini SCSI Disk Device (1675GB),DELL PERC H730 Mini SCSI Disk Device (2681GB)",HL-DT-ST DVD+-RW GTA0N,"Broadcom NetXtreme Gigabit Ethernet,Broadcom NetXtreme Gigabit Ethernet #4,Hyper-V Virtual Ethernet Adapter #2,Hyper-V Virtual Ethernet Adapter #3,Hyper-V Virtual Ethernet Adapter #4",C,14:18:77:27:8C:7B 14:18:77:27:8C:7C 14:18:77:27:8C:7D 14:18:77:27:8C:7E (Primary),0,0,0,0,1,0,6,6,0,1
LAB-OKMH00487,LAB-OKMH00487,OKMH.local,"May 6, 2020 10:11:10 PM","OKMH\vickir (Since: May 6, 2020 7:51:43 AM)","April 16, 2020 12:45:15 PM",12.234.245.218/10.24.1.141;,Otto Kaiser Memorial Hospital,Work Station,Microsoft Windows 10 Pro  x64,1809,17763.1158,"Microsoft Office Professional 2007, Build  12.0.4518.1014",Symantec Endpoint Protection,LENOVO,LENOVO 3123 ,10SC0013US,MJ09KTWQ,Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz ,7.87 GB,Intel(R) UHD Graphics 630,Intel(R) Display Audio,SAMSUNG MZVLB256HAHQ-000L7 (238GB),PLDS DVD-RW DA8AESH,"Intel(R) Dual Band Wireless-AC 8265,Realtek PCIe GbE Family Controller,Bluetooth Device (Personal Area Network)",C,5C:87:9C:17:12:E4 98:EE:CB:9F:BC:73 ,0,0,0,0,1,0,0,2,0,0
OKMH0192,OKMH0192,OKMH.local,"May 8, 2020 2:11:04 AM","OKMH\patriciab (Since: May 5, 2020 6:58:54 PM)","May 5, 2020 11:34:22 AM",12.234.245.218/10.24.1.31;,Otto Kaiser Memorial Hospital,Work Station,Microsoft Windows 10 Pro ,1903,18362.778,"Microsoft Office Professional 2007, Build  14.0.6120.5004",Windows Defender,Dell Inc.,Dell Inc. 05GRXT ,Latitude E5530 non-vPro,2W0CCW1,Intel(R) Core(TM) i5-3210M CPU @ 2.50GHz ,3.4 GB,Intel(R) HD Graphics 4000,High Definition Audio Device,WDC WD3200BEKT-75PVMT1 (298GB),TSSTcorp DVD-ROM SN-108BB,"Broadcom NetXtreme 57xx Gigabit Controller,Dell Wireless 1504 802.11b/g/n (2.4GHz)",C,B8:CA:3A:C8:3F:29 (Primary)F4:B7:E2:2A:EB:D5 ,0,0,0,0,1,0,0,2,0,0
IT-OKMH00504,IT-OKMH00504,OKMH.local,"May 8, 2020 2:11:05 AM","OKMH\josephw (Since: May 6, 2020 12:12:35 PM)","May 5, 2020 10:21:53 PM",12.234.245.218/10.24.1.150;,Otto Kaiser Memorial Hospital,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.778,"Microsoft Office Home & Business 2019, Build  16.0.12730.20236",Symantec Endpoint Protection,LENOVO,LENOVO 3123 ,10SC0013US,MJ09KVHZ,Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz ,7.87 GB,Intel(R) UHD Graphics 630,Intel(R) Display Audio,SAMSUNG MZVLB256HAHQ-000L7 (238GB),PLDS DVD-RW DA8AESH,"Intel(R) Dual Band Wireless-AC 8265,Realtek PCIe GbE Family Controller,Bluetooth Device (Personal Area Network)",C,5C:87:9C:17:B5:79 (Primary)5C:87:9C:17:B5:7D 98:EE:CB:9F:79:59 ,0,0,0,0,1,0,0,2,0,0
LAB-OKMH00502,LAB-OKMH00502,OKMH.local,"May 8, 2020 2:11:07 AM","OKMH\jessicam (Since: May 1, 2020 8:06:33 AM)","April 15, 2020 11:33:41 PM",12.234.245.218/10.24.0.197;,Otto Kaiser Memorial Hospital,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.778,"Microsoft Office Professional 2007, Build  12.0.4518.1014",Symantec Endpoint Protection,LENOVO,LENOVO 3123 ,10SC0013US,MJ09KTVE,Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz ,7.87 GB,Intel(R) UHD Graphics 630,Intel(R) Display Audio,SAMSUNG MZVLB256HAHQ-000L7 (238GB),PLDS DVD-RW DA8AESH,"Intel(R) Dual Band Wireless-AC 8265,Realtek PCIe GbE Family Controller,Bluetooth Device (Personal Area Network)",C,5C:87:9C:17:12:7C (Primary)5C:87:9C:17:12:80 98:EE:CB:9F:BD:94 ,0,0,0,0,1,0,0,3,0,0
OKMHAP2,OKMHAP2,OKMH.local,"May 8, 2020 2:11:05 AM","OKMH\administrator (Since: Apr 22, 2020 10:30:00 AM)","April 22, 2020 3:29:23 PM",12.234.245.218/10.24.1.21;,Otto Kaiser Memorial Hospital,Server,Microsoft Windows Server 2012 R2 Datacenter  x64,6.3,9600,N/A,,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,8731-1724-3260-3914-3535-5410-65,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz ,8 GB,Microsoft Hyper-V Video,N/A,Microsoft Virtual Disk (126GB),,Microsoft Hyper-V Network Adapter,C,00:15:5D:02:72:04 (Primary),0,0,0,0,1,0,4,5,0,0
LAB-OKMH00488,LAB-OKMH00488,OKMH.local,"May 8, 2020 2:11:08 AM","OKMH\lauram (Since: Apr 18, 2020 6:16:24 AM),OKMH\larryb (Since: Apr 23, 2020 6:20:11 PM),OKMH\crystalr (Since: May 4, 2020 6:17:42 AM),OKMH\skyea (Since: May 7, 2020 5:18:50 PM)","April 18, 2020 10:59:51 AM",12.234.245.218/10.24.1.154;,Otto Kaiser Memorial Hospital,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.778,"Microsoft Office Home & Business 2019, Build  16.0.12730.20236",Symantec Endpoint Protection,LENOVO,LENOVO 3123 ,10SC0013US,MJ09KTV3,Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz ,7.87 GB,Intel(R) UHD Graphics 630,Intel(R) Display Audio,SAMSUNG MZVLB256HAHQ-000L7 (238GB),PLDS DVD-RW DA8AESH,"Intel(R) Dual Band Wireless-AC 8265,Realtek PCIe GbE Family Controller,Bluetooth Device (Personal Area Network)",C,5C:87:9C:17:12:81 (Primary)5C:87:9C:17:12:85 98:EE:CB:9F:A8:DE (Primary),0,0,0,0,1,0,0,3,0,0
HIM-OKMH00503,HIM-OKMH00503,OKMH.local,"May 8, 2020 2:11:04 AM","OKMH\clydeenj (Since: May 7, 2020 7:21:39 AM)","April 15, 2020 11:12:03 PM",12.234.245.218/10.24.1.11;,Otto Kaiser Memorial Hospital,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.778,"Microsoft Office Home & Business 2019, Build  16.0.12730.20236",Symantec Endpoint Protection,LENOVO,LENOVO 3123 ,10SC0013US,MJ09KTTL,Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz ,7.87 GB,Intel(R) UHD Graphics 630,Intel(R) Display Audio,SAMSUNG MZVLB256HAHQ-000L7 (238GB),PLDS DVD-RW DA8AESH,"Intel(R) Dual Band Wireless-AC 8265,Realtek PCIe GbE Family Controller,Bluetooth Device (Personal Area Network)",C,5C:87:9C:17:D9:7D (Primary)5C:87:9C:17:D9:81 98:EE:CB:9F:A8:DF ,0,0,0,0,1,0,0,2,0,0
OKMH0141,OKMH0141,OKMH.local,"May 8, 2020 2:11:07 AM","OKMH\eugenez (Since: May 5, 2020 1:37:52 PM)","April 28, 2020 8:16:10 PM",12.234.245.218/10.24.0.125;,Otto Kaiser Memorial Hospital,Work Station,Microsoft Windows 10 Pro ,1903,18362.778,"Microsoft Office Professional 2007 SP3, Build  12.0.6612.1000",Windows Defender,Dell Inc.,Dell Inc. 042P49 ,OptiPlex 3010,BS92RW1,Intel(R) Core(TM) i3-3220 CPU @ 3.30GHz ,3.41 GB,Intel(R) HD Graphics,Intel(R) Display Audio,WDC WD2500AAKX-75U6AA0 (232GB),HL-DT-ST DVD-ROM DH50N,Realtek PCIe GbE Family Controller,C,78:45:C4:3A:A8:79 (Primary),0,0,0,0,1,0,1,2,0,1
OKMHVOICEMAIL2,OKMHVOICEMAIL2,OKMH.local,"May 8, 2020 2:11:06 AM","OKMHVOICEMAIL2\Dods (Since: Apr 3, 2020 8:06:29 PM),OKMH\administrator (Since: Apr 6, 2020 11:48:04 AM)","April 4, 2020 12:14:57 AM",12.234.245.218/10.24.1.163;,Otto Kaiser Memorial Hospital,Server,Microsoft Windows Server 2012 R2 Datacenter  x64,6.3,9600,N/A,,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,5464-4305-6477-9672-5994-1874-47,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz ,6 GB,LogMeIn Mirror Driver,N/A,Microsoft Virtual Disk (126GB),,Microsoft Hyper-V Network Adapter,C,00:15:5D:02:6E:05 (Primary),0,0,0,0,1,0,8,8,0,1
