Computer Alias,Action Required,OS,Last Connected,Group,Local Update Host
ADMIN-PC.OKMH.local,-,Win10,Online,Default Group,N/A
BO-OKMH00490.OKMH.local,-,Win10,5/7/2020,Default Group,N/A
BO-OKMH00496.OKMH.local,-,Win10,Online,Default Group,N/A
BO-OKMH00498.OKMH.local,-,Win10,5/7/2020,Default Group,N/A
BO-OKMH00508.OKMH.local,-,Win10,Online,Default Group,N/A
BO-OKMH00509.OKMH.local,-,Win10,Online,Default Group,N/A
BO-OKMH00514.OKMH.local,-,Win10,Online,Default Group,N/A
CARDIO-OKMH0183.OKMH.local,-,Win10,Online,Default Group,N/A
DIET-OKMH00489.OKMH.local,-,Win10,Online,Default Group,N/A
ERWOW-OKMH00552.OKMH.local,-,Win10,Online,Default Group,N/A
ERWOW-OKMH0510.OKMH.local,-,Win10,Online,Default Group,N/A
ERWOW-OKMH0511.OKMH.local,-,Win10,5/7/2020,Default Group,N/A
FTDESK-OKMH0495.OKMH.local,-,Win10,5/7/2020,Default Group,N/A
HIM-OKMH00499.OKMH.local,-,Win10,Online,Default Group,N/A
HIM-OKMH00503.OKMH.local,-,Win10,Online,Default Group,N/A
IT-OKMH00504.OKMH.local,-,Win10,Online,Default Group,N/A
LAB-OKMH00487.OKMH.local,-,Win10,5/6/2020,Default Group,N/A
LAB-OKMH00488.OKMH.local,-,Win10,Online,Default Group,N/A
LAB-OKMH00497.OKMH.local,-,Win10,Online,Default Group,N/A
LAB-OKMH00501.OKMH.local,-,Win10,Online,Default Group,N/A
LAB-OKMH00502.OKMH.local,-,Win10,Online,Default Group,N/A
LAB-OKMH00551.OKMH.local,-,Win10,4/18/2020,Default Group,N/A
MARKET-OKMH0209.OKMH.local,Needs Restart,Win10,4/8/2020,Default Group,N/A
MSWOW-OKMH00512.OKMH.local,-,Win10,Online,Default Group,N/A
MSWOW-OKMH00513.OKMH.local,-,Win10,Online,Default Group,N/A
MSWOW-OKMH00550.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0006.OKMH.local,-,Win10,4/26/2020,Default Group,N/A
OKMH0029.OKMH.local,-,Win7,9/5/2019,Default Group,N/A
OKMH0040.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0044.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0046.OKMH.local,Needs Restart,Win7,1/14/2020,Default Group,N/A
OKMH0062.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0063.OKMH.local,-,Win7,3/11/2020,Default Group,N/A
OKMH0064.OKMH.local,-,Win7,11/11/2019,Default Group,N/A
OKMH0066.OKMH.local,-,Win7,Online,Default Group,N/A
OKMH0069.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0071.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0072.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0073.OKMH.local,-,Win7,3/10/2020,Default Group,N/A
OKMH0074.OKMH.local,Needs Restart,Win7,Online,Default Group,N/A
OKMH0075.OKMH.local,-,Win10,4/14/2020,Default Group,N/A
OKMH0084.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0120.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0121.OKMH.local,-,Win7,2/20/2020,Default Group,N/A
OKMH0123.OKMH.local,-,Win7,1/8/2020,Default Group,N/A
OKMH0128.OKMH.local,-,Win7,1/10/2020,Default Group,N/A
OKMH0142.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0147.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0148.OKMH.local,-,Win10,5/7/2020,Default Group,N/A
okmh0154.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0171.OKMH.local,Agent Update,Win7,Online,OKMH LAB,N/A
OKMH0177.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0180.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0182.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0186.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0187.OKMH.local,Agent Update,Win7,5/5/2020,Default Group,N/A
