Device Name,Machine Name,Domain/Workgroup,Last Seen,Last Logged User,Last Reboot Time,IP Address,Customer Name,OS Type,OS Edition,OS Version,OS Build,Office,AntiVirus,Vendor,Motherboard,Model,Serial Number,Processor,Memory,Display,Sound,Harddrive,CDRom,Network Adapter,System Drive,MAC Addresses,Port 21,Port 25,Port 80,Port 443,Port 3389,Critical Patch,Security Patch,Service Pack Patch,Upgrade Patch,Optional Patches
OHH288,OHH288,ohh.local,"May 28, 2020 2:55:48 AM","OHH\mmankins (Since: May 18, 2020 11:00:50 AM)","May 18, 2020 2:34:07 PM",137.118.86.27/172.16.84.180;,Olney Hamilton Hospital,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.836,"Microsoft Office Professional 2007 SP3, Build  12.0.6612.1000",Sentinel Agent,HP,HP 83F2 ,HP ProDesk 400 G5 SFF,MXL9312G05,Intel(R) Core(TM) i5-8500 CPU @ 3.00GHz ,7.84 GB,Intel(R) UHD Graphics 630,Synaptics HD Audio,ST1000DM003-1SB102 (931GB),hp PLDS DVDRW  DU8AESH,Realtek PCIe GbE Family Controller,C,9C:7B:EF:AF:4B:C5 (Primary),0,0,0,0,1,0,0,3,0,1
OHH215,OHH215,ohh.local,"May 28, 2020 2:55:50 AM","OHH\jperez (Since: May 27, 2020 6:25:24 AM)","May 27, 2020 11:15:56 AM",96.46.212.10/10.141.46.44;,Olney Hamilton Hospital,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Professional 2007 SP3, Build  12.0.6612.1000",Sentinel Agent,Acer,Acer Veriton L4630G ,Veriton L4630G,DTVKGAA00850901EA39600,Intel(R) Core(TM) i7-4790S CPU @ 3.20GHz ,7.86 GB,Intel(R) HD Graphics 4600,Realtek High Definition Audio,WDC WD10EZEX-21M2NA0 SCSI Disk Device (931GB),MATSHITA DVD-RAM UJ8E0 SCSI CdRom Device,"Qualcomm Atheros AR5BWB222 Wireless Network Adapter,Realtek PCIe GBE Family Controller",C,30:10:B3:FD:68:46 (Primary)B8:AE:ED:3F:EA:D8 ,0,0,0,0,1,0,0,2,0,1
OHH208,OHH208,ohh.local,"May 28, 2020 2:55:50 AM","OHH208\erdoc (Since: May 19, 2020 6:53:20 PM)","May 19, 2020 11:48:50 PM",96.46.212.10/10.141.46.111;169.254.72.30;,Olney Hamilton Hospital,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Professional 2007 SP3, Build  15.0.4693.1005",Sentinel Agent,Hewlett-Packard,Hewlett-Packard 18EA ,HP ProOne 400 G1 AiO,MXL53510C9,Intel(R) Pentium(R) CPU G3450T @ 2.90GHz ,3.92 GB,Intel(R) HD Graphics,Realtek High Definition Audio,ST500DM0 02-1BD142 SCSI Disk Device (465GB),hp DVDRAM GTB0N SCSI CdRom Device,"Broadcom BCM943228HMB 802.11abgn 2x2 Wi-Fi Adapter,Bluetooth Device (Personal Area Network),Realtek PCIe GBE Family Controller",C,B8:86:87:90:A7:02 B8:86:87:DC:E9:A0 (Primary)EC:B1:D7:69:AB:2C ,0,0,0,0,1,0,1,2,0,2
OHH224,OHH224,ohh.local,"May 28, 2020 2:55:49 AM","OHH\crhodes (Since: May 14, 2020 8:37:45 AM)","May 14, 2020 2:23:50 AM",96.46.212.10/10.141.47.59;,Olney Hamilton Hospital,Work Station,Microsoft Windows 10 Pro  x64,1903,18362.836,"Microsoft Office Professional 2007, Build  12.0.4518.1014",Sentinel Agent,HP,HP 8062 ,HP ProDesk 400 G3 SFF,MXL62823G9,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz ,7.9 GB,Intel(R) HD Graphics 530,Intel(R) Display Audio,WDC WD10EZEX-60WN4A0 SCSI Disk Device (931GB),hp DVDRW  DU8A6SH SCSI CdRom Device,Realtek PCIe GBE Family Controller,C,DC:4A:3E:47:3C:76 (Primary),0,0,0,0,1,0,0,2,0,1
OHH278,OHH278,ohh.local,"May 28, 2020 2:55:52 AM","OHH\jcerda (Since: May 15, 2020 4:14:20 PM)","May 15, 2020 9:12:03 PM",96.46.212.10/10.141.46.49;,Olney Hamilton Hospital,Work Station,Microsoft Windows 10 Pro  x64,1903,18362.836,"Microsoft Office Professional 2007 SP3, Build  12.0.6612.1000",Sentinel Agent,HP,HP 83F2 ,HP ProDesk 400 G5 SFF,MXL9312C8F,Intel(R) Core(TM) i5-8500 CPU @ 3.00GHz ,7.84 GB,Intel(R) UHD Graphics 630,Synaptics HD Audio,WDC WD10EZEX-60WN4A1 (931GB),hp HLDS DVDRW  GUD1N,Realtek PCIe GbE Family Controller,C,9C:7B:EF:AF:1A:6B (Primary),0,0,0,0,1,0,0,3,0,1
OHH192,OHH192,ohh.local,"May 27, 2020 7:40:40 PM","OHH\jpura (Since: May 23, 2020 7:23:26 AM),OHH\skea (Since: May 25, 2020 9:10:56 AM)","May 20, 2020 2:20:28 PM",96.46.212.10/10.141.46.70;,Olney Hamilton Hospital,Work Station,Microsoft Windows 10 Pro for Workstations  x64,1909,18363.836,"Microsoft Office Professional 2007 SP3, Build  15.0.4569.1506",Sentinel Agent,Acer,Acer Veriton L4630G ,Veriton L4630G,DTVKGAA00850901D599600,Intel(R) Core(TM) i7-4790S CPU @ 3.20GHz ,7.86 GB,Intel(R) HD Graphics 4600,Realtek High Definition Audio,WDC WD10EZEX-21M2NA0 SCSI Disk Device (931GB),MATSHITA DVD-RAM UJ8E0 SCSI CdRom Device,"Qualcomm Atheros AR5BWB222 Wireless Network Adapter,Realtek PCIe GBE Family Controller,Bluetooth Device (Personal Area Network) #2",C,30:10:B3:FD:68:EC 30:10:B3:FD:8E:1C (Primary)B8:AE:ED:3F:EE:45 ,0,0,0,0,1,0,0,1,0,0
OHH258,OHH258,ohh.local,"May 28, 2020 2:55:52 AM","OHH\sisbell (Since: May 14, 2020 9:24:11 AM)","May 14, 2020 2:09:21 PM",96.46.212.10/10.141.46.96;,Olney Hamilton Hospital,Work Station,Microsoft Windows 10 Pro  x64,1903,18362.778,"Microsoft Office Professional 2007 SP3, Build  12.0.6612.1000",Sentinel Agent,HP,HP 82A1 ,HP ProDesk 400 G4 MT,MXL7382H95,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz ,7.9 GB,Intel(R) HD Graphics 630,Intel(R) Display Audio,"WDC WD10EZEX-60WN4A0 (931GB),Lexar USB Flash Drive USB Device (58GB),SanDisk Cruzer Glide USB Device (7GB)",hp HLDS DVDRW  GUD1N,"Realtek PCIe GBE Family Controller,Realtek RTL8723BE 802.11 bgn Wi-Fi Adapter,Bluetooth Device (Personal Area Network)",C,40:B0:34:39:F0:D3 (Primary)F8:28:19:95:4F:93 F8:28:19:95:4F:94 ,0,0,0,0,1,0,1,2,0,0
OHH253,OHH253,ohh.local,"May 28, 2020 2:55:50 AM","OHH\lperniciaro (Since: Apr 1, 2020 12:32:45 PM)","May 14, 2020 6:31:46 AM",96.46.212.10/10.141.47.34;10.141.47.33;,Olney Hamilton Hospital,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.836,"Microsoft Office Professional 2007, Build  16.0.12730.20270",Sentinel Agent,HP,HP 829A ,HP EliteDesk 800 G3 DM 35W,8CG7296LYS,Intel(R) Core(TM) i5-7500T CPU @ 2.70GHz ,7.88 GB,Intel(R) HD Graphics 630,Intel(R) Display Audio,SAMSUNG MZVLW256HEHP-000H1 (238GB),,"Intel(R) Ethernet Connection (5) I219-LM,Intel(R) Dual Band Wireless-AC 8265,Bluetooth Device (Personal Area Network)",C,00:28:F8:CA:61:A6 00:28:F8:CA:61:AA 18:60:24:23:48:28 (Primary),0,0,0,0,1,0,0,2,0,1
OHH252,OHH252,ohh.local,"May 28, 2020 2:55:52 AM","OHH\rvargas (Since: May 27, 2020 1:05:34 PM)","May 27, 2020 6:07:31 PM",96.46.212.10/10.141.46.92;,Olney Hamilton Hospital,Work Station,Microsoft Windows 10 Pro  x64,1903,18362.836,"Microsoft Office Professional 2007 SP3, Build  12.0.6612.1000",Sentinel Agent,HP,HP 82A1 ,HP ProDesk 400 G4 MT,MXL7382H94,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz ,7.9 GB,DisplayLink USB Device,Intel(R) Display Audio,WDC WD10EZEX-60WN4A0 (931GB),hp HLDS DVDRW  GUD1N,"Realtek PCIe GBE Family Controller,Realtek RTL8723BE 802.11 bgn Wi-Fi Adapter",C,40:B0:34:39:F0:CA (Primary)F8:28:19:99:6D:11 ,0,0,0,0,1,0,0,3,0,0
OHH264,OHH264,ohh.local,"May 28, 2020 2:55:51 AM","OHH\mmccuistian (Since: May 14, 2020 8:55:19 AM)","May 14, 2020 12:34:07 PM",96.46.212.10/10.141.46.97;,Olney Hamilton Hospital,Work Station,Microsoft Windows 10 Pro  x64,1903,18362.836,"Microsoft Office Professional 2007 SP3, Build  12.0.6612.1000",Sentinel Agent,HP,HP 8183 ,HP Z238 Microtower Workstation,2UA82620PT,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz ,7.79 GB,Intel(R) HD Graphics 530,Realtek High Definition Audio,ST1000DM003-1SB102 (931GB),hp PLDS DVDRW  DU8AESH,Intel(R) Ethernet Connection (2) I219-LM,C,3C:52:82:6E:B1:3D (Primary),0,0,0,0,1,0,0,3,0,0
