Device Name,Machine Name,Domain/Workgroup,Last Seen,Last Logged User,Last Reboot Time,IP Address,Customer Name,OS Type,OS Edition,OS Version,OS Build,Office,AntiVirus,Vendor,Motherboard,Model,Serial Number,Processor,Memory,Display,Sound,Harddrive,CDRom,Network Adapter,System Drive,MAC Addresses,Port 21,Port 25,Port 80,Port 443,Port 3389,Critical Patch,Security Patch,Service Pack Patch,Upgrade Patch,Optional Patches
SERVER-PMC-T610,SERVER-PMC-T610,pmc.local,"May 18, 2020 12:52:31 AM","PMC\administrator (Since: May 12, 2020 11:38:25 AM)","May 8, 2020 5:02:56 PM",12.177.172.90/10.10.9.4;,Preferred Management Corporation,Domain Controller,Microsoft® Windows Server® 2008 Standard SP2 x64,6.0,6002,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Symantec Endpoint Protection,Dell Inc.,Dell Inc. 0CX0R0 ,PowerEdge T610,6FY1NL1,Intel(R) Xeon(R) CPU E5504 @ 2.00GHz ,7.99 GB,Standard VGA Graphics Adapter,N/A,"DELL PERC 6/i SCSI Disk Device (148GB),DELL PERC 6/i SCSI Disk Device (930GB)","PLDS DVD-ROM DH-16D5S ATA Device,MagicISO Virtual DVD-ROM0000","Broadcom BCM5709C NetXtreme II GigE (NDIS VBD Client) #3,Broadcom BCM5709C NetXtreme II GigE (NDIS VBD Client) #4",C,00:26:B9:60:AC:12 (Primary)00:26:B9:60:AC:14 ,0,0,1,0,1,0,1,2,0,2
PMC132,PMC132,pmc.local,"May 18, 2020 12:52:33 AM","PMC\jwebb (Since: May 15, 2020 8:07:42 AM)","May 15, 2020 10:04:07 PM",12.177.172.90/10.10.9.110;,Preferred Management Corporation,Work Station,Microsoft Windows 10 Pro  x64,1709,16299.371,"Microsoft Office Standard 2010, Build  14.0.7015.1000",Sentinel Agent,Dell Inc.,Dell Inc. 08NPPY ,OptiPlex 3050,6G75JK2,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz ,15.89 GB,Intel(R) HD Graphics 630,Intel(R) Display Audio,SanDisk X400 2.5 7MM 256GB (238GB),HL-DT-ST DVD-ROM DU90N,Realtek PCIe GBE Family Controller,C,D8:9E:F3:05:40:C2 (Primary),0,0,0,0,1,0,13,1,1,1
PMC134,PMC134,pmc.local,"May 14, 2020 10:53:55 PM","PMC\jstephens (Since: May 14, 2020 9:43:22 AM)","May 11, 2020 2:41:19 PM",12.177.172.90/10.10.9.124;,Preferred Management Corporation,Work Station,Microsoft Windows 10 Pro  x64,1903,18362.592,"Microsoft Office Standard 2010, Build  14.0.7015.1000",Sentinel Agent,Dell Inc.,Dell Inc. 08NPPY ,OptiPlex 3050,6G73JK2,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz ,15.89 GB,Intel(R) HD Graphics 630,Intel(R) Display Audio,SanDisk X400 2.5 7MM 256GB (238GB),HL-DT-ST DVD-ROM DU90N,Realtek PCIe GBE Family Controller,C,D8:9E:F3:05:42:F3 (Primary),0,0,0,0,1,0,15,2,0,3
PMC129,PMC129,pmc.local,"May 18, 2020 12:52:33 AM","PMC\kdavidson (Since: May 11, 2020 8:01:15 AM)","April 29, 2020 9:47:42 AM",12.177.172.90/10.10.9.117;,Preferred Management Corporation,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.720,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Sentinel Agent,Dell Inc.,Dell Inc. 05XGC8 ,OptiPlex 3040,2ZHPFB2,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz ,7.88 GB,Intel(R) HD Graphics 530,Intel(R) Display Audio,SK hynix SC300 2.5 SCSI Disk Device (238GB),HL-DT-ST DVD-ROM DU90N SCSI CdRom Device,Realtek PCIe GBE Family Controller,C,18:66:DA:01:5E:4B (Primary),0,0,0,0,1,0,3,2,0,1
PMC136,PMC136,pmc.local,"May 18, 2020 12:52:33 AM","PMC\abruesch (Since: Apr 28, 2020 7:41:00 AM)","April 27, 2020 4:52:41 PM",12.177.172.90/10.10.9.108;,Preferred Management Corporation,Work Station,Microsoft Windows 10 Pro  x64,1709,16299.371,"Microsoft Office Professional 2010, Build  14.0.5130.5003",Sentinel Agent,HP,HP 82B4 ,HP ProDesk 600 G3 SFF,2UA74523V9,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz ,7.88 GB,Intel(R) HD Graphics 630,Intel(R) Display Audio,SAMSUNG MZ7LN256HAJQ-000H1 (238GB),hp HLDS DVDRW  GUD1N,Intel(R) Ethernet Connection (5) I219-LM,C,18:60:24:EE:A1:A8 (Primary),0,0,0,0,1,0,1,1,1,0
PMCLPT118,PMCLPT118,pmc.local,"May 15, 2020 3:32:08 PM","PMC\kbetterton (Since: May 14, 2020 8:54:36 AM)","May 6, 2020 2:46:06 PM",107.77.198.190/10.10.9.100;,Preferred Management Corporation,Work Station,Microsoft Windows 10 Pro  x64,1709,16299.371,"Microsoft Office Standard 2010, Build  14.0.7015.1000",Sentinel Agent,Dell Inc.,Dell Inc. 0TDHMM ,Latitude 3580,23P0NJ2,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz ,15.87 GB,Intel(R) HD Graphics 620,Intel(R) Display Audio,SanDisk X400 M.2 2280 256GB (238GB),,"Realtek PCIe GBE Family Controller,Qualcomm QCA61x4A 802.11ac Wireless Adapter,Bluetooth Device (Personal Area Network) #2",C,10:7D:1A:32:33:C5 (Primary)54:13:79:CC:ED:E7 54:13:79:CC:ED:E8 ,0,0,0,0,1,0,13,1,1,2
PMC117,PMC117,pmc.local,"May 13, 2020 1:31:51 PM","PMC\Amurray (Since: May 5, 2020 1:09:13 PM)","May 11, 2020 12:59:09 PM",12.177.172.90/10.10.9.116;,Preferred Management Corporation,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Sentinel Agent,Hewlett-Packard,Hewlett-Packard 3031h ,HP Compaq dc7900 Small Form Factor,2UA9500YNW,Intel(R) Core(TM)2 Duo CPU E8400 @ 3.00GHz ,7.81 GB,Intel(R) Q45/Q43 Express Chipset (Microsoft Corporation - WDDM 1.1),SoundMAX Integrated Digital HD Audio,WDC WD5003ABYX-01WERA1 ATA Device (465GB),hp DVDROM DH20N ATA Device,Intel(R) 82567LM-3 Gigabit Network Connection,C,18:A9:05:2A:C2:66 (Primary),0,0,0,0,1,0,1,2,0,4
PMC127,PMC127,pmc.local,"May 18, 2020 12:52:33 AM","PMC\akennedy (Since: May 11, 2020 8:32:23 AM)","May 15, 2020 8:54:15 PM",12.177.172.90/10.10.9.118;,Preferred Management Corporation,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.778,"Microsoft Office Professional 2007 SP3, Build  15.0.4693.1005",Sentinel Agent,Dell Inc.,Dell Inc. 02YYK5 ,OptiPlex 7020,C805Z72,Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz ,7.91 GB,Intel(R) HD Graphics 4600,Realtek High Definition Audio,ST500DM0 02-1BD142 SCSI Disk Device (465GB),TSSTcorp DVD+-RW SN-208FB SCSI CdRom Device,Intel(R) Ethernet Connection I217-LM,C,64:00:6A:7A:3A:3B (Primary),0,0,0,0,1,0,3,2,0,1
PMC131,PMC131,pmc.local,"May 15, 2020 8:54:01 PM","PMC\vharbison (Since: May 13, 2020 11:08:06 AM)","May 13, 2020 4:06:48 PM",12.177.172.91/10.10.9.87;,Preferred Management Corporation,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.719,"Microsoft Office Standard 2010, Build  14.0.7015.1000",Sentinel Agent,Dell Inc.,Dell Inc. 05XGC8 ,OptiPlex 3040,3R80LH2,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz ,7.9 GB,Intel(R) HD Graphics 530,HD Webcam C270,WDC WD5000AZLX-75K2TA0 (465GB),PLDS DVD+-RW DU-8A5LH,Realtek PCIe GBE Family Controller,C,50:9A:4C:45:B0:9E (Primary),0,0,0,0,1,0,12,2,0,1
PMC123,PMC123,pmc.local,"May 15, 2020 8:54:01 PM","PMC\Amurray (Since: May 15, 2020 8:00:22 AM)","May 11, 2020 12:59:13 PM",12.177.172.90/10.10.9.115;,Preferred Management Corporation,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Sentinel Agent,Dell Inc.,Dell Inc. 0WMJ54 ,OptiPlex 3020,JW0X432,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz ,3.92 GB,Intel(R) HD Graphics 4600,Realtek High Definition Audio,ST500DM002-1BD142 ATA Device (465GB),PLDS DVD+-RW DS-8ABSH ATA Device,Realtek PCIe GBE Family Controller,C,B0:83:FE:73:2D:53 (Primary),0,0,0,0,1,0,1,2,0,2
PMC108,PMC108,pmc.local,"May 18, 2020 12:52:32 AM","PMC\jwebb (Since: May 5, 2020 3:47:58 PM)","May 12, 2020 9:35:42 PM",12.177.172.90/10.10.9.126;,Preferred Management Corporation,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Sentinel Agent,Hewlett-Packard,Hewlett-Packard 3031h ,HP Compaq dc7900 Small Form Factor,2UA0030VTX,Intel(R) Core(TM)2 Duo CPU E8400 @ 3.00GHz ,7.81 GB,Intel(R) Q45/Q43 Express Chipset,High Definition Audio Device,WDC WD5003ABYZ-011FA0 ATA Device (465GB),HL-DT-ST DVD-ROM GDRH10N ATA Device,Intel(R) 82567LM-3 Gigabit Network Connection,C,18:A9:05:32:3A:24 (Primary),0,0,0,0,1,0,5,12,0,3
PMC116,PMC116,pmc.local,"May 18, 2020 12:52:34 AM","PMC\jstephens (Since: Apr 28, 2020 11:37:27 AM)","April 27, 2020 4:43:32 PM",12.177.172.90/10.10.9.112;,Preferred Management Corporation,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Sentinel Agent,Hewlett-Packard,Hewlett-Packard 3031h ,HP Compaq dc7900 Small Form Factor,2UA9500YNB,Intel(R) Core(TM)2 Duo CPU E8400 @ 3.00GHz ,7.81 GB,Intel(R) Q45/Q43 Express Chipset (Microsoft Corporation - WDDM 1.1),SoundMAX Integrated Digital HD Audio,WDC WD5003ABYX-01WERA0 ATA Device (465GB),hp DVDROM DH20N ATA Device,Intel(R) 82567LM-3 Gigabit Network Connection,C,18:A9:05:2A:C2:64 (Primary),0,0,0,0,1,0,2,3,0,3
