Device Name,Machine Name,Domain/Workgroup,Last Seen,Last Logged User,Last Reboot Time,IP Address,Customer Name,OS Type,OS Edition,OS Version,OS Build,Office,AntiVirus,Vendor,Motherboard,Model,Serial Number,Processor,Memory,Display,Sound,Harddrive,CDRom,Network Adapter,System Drive,MAC Addresses,Port 21,Port 25,Port 80,Port 443,Port 3389,Critical Patch,Security Patch,Service Pack Patch,Upgrade Patch,Optional Patches
PARMER123,PARMER123,pmc.local,"August 3, 2020 12:01:21 PM","PMC\natalia (Since: Jul 22, 2020 9:44:28 AM)","July 21, 2020 7:11:44 PM",96.46.115.50/10.141.63.142;,Parmer Medical Center,Work Station,Microsoft Windows 10 Pro  x64,2004,19041.388,"Microsoft Office 365 Business, Build  16.0.13001.20384",Symantec Endpoint Protection,MINIX,MINIX N42C-4 ,N42C-4,Default string,Intel(R) Pentium(R) CPU J4205 @ 1.50GHz ,7.85 GB,Intel(R) HD Graphics 505,Intel(R) Display Audio,"NEO-N4-SSD-240GB (223GB),Samsung BJTD4R (29GB)",,"Intel(R) Dual Band Wireless-AC 3168,Realtek PCIe GBE Family Controller,Bluetooth Device (Personal Area Network)",C,A0:1E:0B:0D:67:1C F4:D1:08:D8:0E:6E (Primary)F4:D1:08:D8:0E:72 ,0,0,0,0,1,0,0,2,0,0
PARMER120,PARMER120,pmc.local,"August 3, 2020 12:01:22 PM","PMC\roxy (Since: Jul 21, 2020 6:52:41 AM)","July 21, 2020 6:32:41 AM",96.46.115.50/10.141.63.134;,Parmer Medical Center,Work Station,Microsoft Windows 10 Pro  x64,2004,19041.388,"Microsoft Office 365 Business, Build  16.0.12827.20336",Symantec Endpoint Protection,MINIX,MINIX N42C-4 ,N42C-4,Default string,Intel(R) Pentium(R) CPU J4205 @ 1.50GHz ,7.85 GB,Intel(R) HD Graphics 505,Intel(R) Display Audio,"Samsung BJTD4R (29GB),NEO-N4-SSD-240GB (223GB)",,"Intel(R) Dual Band Wireless-AC 3168,Realtek PCIe GBE Family Controller,Bluetooth Device (Personal Area Network)",C,A0:1E:0B:0D:6D:FF F4:D1:08:D7:48:12 (Primary)F4:D1:08:D7:48:16 ,0,0,0,0,1,0,0,2,0,0
PARMER121,PARMER121,pmc.local,"August 3, 2020 12:01:20 PM","PMC\LAB (Since: Jul 29, 2020 7:14:24 AM)","July 29, 2020 7:13:30 AM",96.46.115.50/10.141.63.67;,Parmer Medical Center,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.959,"Microsoft Office 365 Business, Build  16.0.13001.20384",Symantec Endpoint Protection,MINIX,MINIX N42C-4 ,N42C-4,Default string,Intel(R) Pentium(R) CPU J4205 @ 1.50GHz ,7.85 GB,Intel(R) HD Graphics 505,Intel(R) Display Audio,"NEO-N4-SSD-240GB (223GB),Samsung BJTD4R (29GB),SanDisk Cruzer USB Device (3GB),General USB Flash Disk USB Device (57GB)",,"Intel(R) Dual Band Wireless-AC 3168,Realtek PCIe GBE Family Controller,Bluetooth Device (Personal Area Network)",C,20:79:18:A4:FD:EE (Primary)20:79:18:A4:FD:F2 A0:1E:0B:0D:6E:F9 ,0,0,0,0,1,0,0,2,0,0
PARMER122,PARMER122,pmc.local,"August 3, 2020 3:24:01 PM","PMC\blanca (Since: Jul 15, 2020 7:15:18 AM)","July 15, 2020 7:14:31 AM",96.46.115.50/10.141.63.108;,Parmer Medical Center,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.959,"Microsoft Office 365 Business, Build  16.0.13001.20266",Symantec Endpoint Protection,MINIX,MINIX N42C-4 ,N42C-4,Default string,Intel(R) Pentium(R) CPU J4205 @ 1.50GHz ,7.85 GB,Intel(R) HD Graphics 505,Intel(R) Display Audio,"NEO-N4-SSD-240GB (223GB),Samsung BJTD4R (29GB)",,"Intel(R) Dual Band Wireless-AC 3168,Realtek PCIe GBE Family Controller,Bluetooth Device (Personal Area Network)",C,A0:1E:0B:0D:66:66 F4:D1:08:D6:23:D8 (Primary)F4:D1:08:D6:23:DC ,0,0,0,0,1,0,0,2,0,0
PARMER119,PARMER119,pmc.local,"August 3, 2020 12:01:21 PM","PMC\erika (Since: Jul 15, 2020 12:38:32 PM)","July 15, 2020 12:37:07 PM",96.46.115.50/10.141.63.95;,Parmer Medical Center,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.959,"Microsoft Office 365 Business, Build  16.0.13001.20384",Symantec Endpoint Protection,MINIX,MINIX N42C-4 ,N42C-4,Default string,Intel(R) Pentium(R) CPU J4205 @ 1.50GHz ,7.85 GB,Intel(R) HD Graphics 505,Intel(R) Display Audio,"NEO-N4-SSD-240GB (223GB),Samsung BJTD4R (29GB),SanDisk Cruzer Glide USB Device (14GB)",,"Intel(R) Dual Band Wireless-AC 3168,Realtek PCIe GBE Family Controller,Bluetooth Device (Personal Area Network)",C,A0:1E:0B:0D:6B:BE F4:D1:08:D6:FF:47 (Primary)F4:D1:08:D6:FF:4B ,0,0,0,0,1,0,0,2,0,0
MEDDISPENSEVM,MEDDISPENSEVM,pmc.local,"August 3, 2020 12:01:19 PM","MEDDISPENSEVM\MedDispenseAdmin (Since: Apr 27, 2020 2:34:49 PM)","March 10, 2020 12:05:08 PM",96.46.115.50/10.141.62.5;,Parmer Medical Center,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Professional 2010 SP2, Build  14.0.7015.1000",Symantec Endpoint Protection,"VMware, Inc.",Intel Corporation 440BX Desktop Reference Platform ,VMware Virtual Platform,VMware-42 30 79 7c 58 21 ec 69-50 62 e0 f5 6e d3 4d cb,2x Intel(R) Xeon(R) CPU E5-2430 0 @ 2.20GHz ,8 GB,LogMeIn Mirror Driver,N/A,VMware Virtual disk SCSI Disk Device (499GB),NECVMWar VMware IDE CDR10 ATA Device,Intel(R) PRO/1000 MT Network Connection,C,00:50:56:B0:26:AF (Primary),0,0,0,0,1,23,50,21,0,0
DRJROOM9,DRJROOM9,pmc.local,"August 3, 2020 12:01:20 PM","PMC\DrJ (Since: Jul 21, 2020 11:44:58 AM),PMC\tyler (Since: Jul 24, 2020 10:43:17 AM)","July 21, 2020 11:43:18 AM",96.46.115.50/10.141.63.70;,Parmer Medical Center,Work Station,Microsoft Windows 10 Pro ,1903,18362.476,N/A,Windows Defender,Dell Inc.,Dell Inc. 0DFRFW ,OptiPlex 780,577JJM1,Intel(R) Core(TM)2 Duo CPU E8500 @ 3.16GHz ,1.95 GB,Intel(R) Q45/Q43 Express Chipset (Microsoft Corporation - WDDM 1.1),High Definition Audio Device,WDC WD1600BEKT-75A25T0 (149GB),HL-DT-ST DVD+-RW GT10N,Intel(R) 82567LM-3 Gigabit Network Connection,C,B8:AC:6F:9B:90:DF (Primary),0,0,1,0,0,0,0,0,0,0
PARMER125,PARMER125,pmc.local,"August 3, 2020 12:01:19 PM","PMC\ChristinaD (Since: Jul 20, 2020 8:28:06 AM)","July 16, 2020 12:01:40 AM",96.46.115.50/10.141.63.119;,Parmer Medical Center,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.959,N/A,Symantec Endpoint Protection,MINIX,MINIX N42C-4 ,N42C-4,Default string,Intel(R) Pentium(R) CPU J4205 @ 1.50GHz ,7.85 GB,Intel(R) HD Graphics 505,Intel(R) Display Audio,"NEO-N4-SSD-240GB (223GB),Samsung BJTD4R (29GB)",,"Intel(R) Dual Band Wireless-AC 3168,Realtek PCIe GBE Family Controller,Bluetooth Device (Personal Area Network)",C,A0:1E:0B:0D:66:EA F4:D1:08:D6:90:70 (Primary)F4:D1:08:D6:90:74 ,0,0,0,0,1,0,0,2,0,0
PARMER126,PARMER126,pmc.local,"August 3, 2020 12:01:20 PM","PMC\marci (Since: Jul 27, 2020 2:13:51 PM)","July 27, 2020 2:13:17 PM",96.46.115.50/10.141.63.92;,Parmer Medical Center,Work Station,Microsoft Windows 10 Pro  x64,2004,19041.388,N/A,Symantec Endpoint Protection,MINIX,MINIX N42C-4 ,N42C-4,Default string,Intel(R) Pentium(R) CPU J4205 @ 1.50GHz ,7.85 GB,Intel(R) HD Graphics 505,Intel(R) Display Audio,"NEO-N4-SSD-240GB (223GB),Samsung BJTD4R (29GB)",,"Intel(R) Dual Band Wireless-AC 3168,Realtek PCIe GBE Family Controller,Bluetooth Device (Personal Area Network)",C,A0:1E:0B:0D:6F:37 F4:D1:08:D5:E7:B0 (Primary)F4:D1:08:D5:E7:B4 ,0,0,0,0,1,0,0,2,0,0
PARMER130,PARMER130,pmc.local,"August 3, 2020 3:20:06 PM","PMC\Carson (Since: Jul 3, 2020 9:19:52 AM)","July 16, 2020 5:42:34 PM",96.46.115.50/10.141.63.112;,Parmer Medical Center,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.959,N/A,Symantec Endpoint Protection,MINIX,MINIX N42C-4 ,N42C-4,Default string,Intel(R) Pentium(R) CPU J4205 @ 1.50GHz ,7.85 GB,Intel(R) HD Graphics 505,Intel(R) Display Audio,"NEO-N4-SSD-240GB (223GB),Samsung BJTD4R (29GB)",,"Intel(R) Dual Band Wireless-AC 3168,Realtek PCIe GBE Family Controller,Bluetooth Device (Personal Area Network)",C,20:79:18:B7:2F:0A (Primary)20:79:18:B7:2F:0E A0:1E:0B:0D:66:8E ,0,0,0,0,1,0,0,2,0,0
