Computer Alias,Action Required,OS,Last Connected,Group,Local Update Host
BrendaH.pmc.local,-,Win7,Online,Default Group,N/A
ClaytonSurface.pmc.local,-,Win10,5/25/2020,Default Group,N/A
Clinic_Room_14,-,Win10,Online,Default Group,N/A
Clinic_Room_15,-,Win10,Online,Default Group,N/A
Clinic_Room_16,-,Win10,Online,Default Group,N/A
Clinic_Room_17,-,Win10,8/3/2020,Default Group,N/A
cs7-17746,-,Win7,Online,Default Group,N/A
cs7-17747,-,Win7,Online,Default Group,N/A
DESKTOP-285GHK1,-,Win10,Online,Default Group,N/A
DrJRoom9.pmc.local,-,Win10,Online,Default Group,N/A
ENCORE-XP,-,WinXP,Online,Default Group,N/A
EndoCart,-,Win10,Online,Default Group,N/A
housekeeping-PC,-,Win10,Online,Default Group,N/A
Javier10.pmc.local,-,Win10,Online,Default Group,N/A
Lab_Sunette.pmc.local,-,Win7,6/22/2020,Default Group,N/A
LABMIDDLEWARE.pmc.local,-,Win2012,Online,Default Group,N/A
LabSunetteWin10.pmc.local,-,Win10,Online,Default Group,N/A
LeighAnneVM.pmc.local,-,Win7,Online,Default Group,N/A
medcart.pmc.local,-,Win10,8/2/2020,Default Group,N/A
MedDispenseVM.pmc.local,-,Win7,Online,Default Group,N/A
MedRecMaryWin7.pmc.local,-,Win7,Online,Default Group,N/A
MIKE-PC.pmc.local,-,Win10,Online,Default Group,N/A
MikeSurface2,-,Win10,7/24/2020,Default Group,N/A
New2008.pmc.local,Needs Restart,Win2008,Online,Default Group,N/A
Nurse-Wow3.pmc.local,-,Win10,8/1/2020,Default Group,N/A
PARMER-AA1,-,Win2008,Online,Default Group,N/A
PARMER100,-,Win10,Online,Default Group,N/A
PARMER101,-,Win10,Online,Default Group,N/A
PARMER102,-,Win10,Online,Default Group,N/A
PARMER103.pmc.local,-,Win10,Online,Default Group,N/A
PARMER108.pmc.local,-,Win10,7/23/2020,Default Group,N/A
PARMER109.pmc.local,-,Win10,Online,Default Group,N/A
PARMER110.pmc.local,-,Win10,Online,Default Group,N/A
PARMER111.pmc.local,-,Win10,Online,Default Group,N/A
PARMER112.pmc.local,-,Win10,Online,Default Group,N/A
PARMER113.pmc.local,-,Win10,Online,Default Group,N/A
PARMER115.pmc.local,-,Win10,Online,Default Group,N/A
PARMER116,-,Win10,Online,Default Group,N/A
PARMER117,-,Win10,Online,Default Group,N/A
PARMER118,-,Win10,Online,Default Group,N/A
PARMER119,-,Win10,Online,Default Group,N/A
PARMER120.pmc.local,-,Win10,Online,Default Group,N/A
PARMER121.pmc.local,-,Win10,Online,Default Group,N/A
PARMER122.pmc.local,-,Win10,Online,Default Group,N/A
PARMER123.pmc.local,-,Win10,Online,Default Group,N/A
PARMER124,-,Win10,Online,Default Group,N/A
PARMER125,-,Win10,Online,Default Group,N/A
PARMER126,-,Win10,Online,Default Group,N/A
PARMER127,-,Win10,Online,Default Group,N/A
PARMER128,-,Win10,Online,Default Group,N/A
PARMER129,-,Win10,Online,Default Group,N/A
PARMER130.pmc.local,-,Win10,Online,Default Group,N/A
PARMER131,-,Win10,Online,Default Group,N/A
PARMER132,-,Win10,Online,Default Group,N/A
PARMER133,-,Win10,Online,Default Group,N/A
PARMER134,-,Win10,Online,Default Group,N/A
PARMER135,-,Win10,Online,Default Group,N/A
PARMER137.pmc.local,-,Win10,Online,Default Group,N/A
PARMER138.pmc.local,-,Win10,Online,Default Group,N/A
PARMER139,-,Win10,Online,Default Group,N/A
PARMER140,-,Win10,Online,Default Group,N/A
