Device Name,Machine Name,Domain/Workgroup,Last Seen,Last Logged User,Last Reboot Time,IP Address,Customer Name,OS Type,OS Edition,OS Version,OS Build,Office,AntiVirus,Vendor,Motherboard,Model,Serial Number,Processor,Memory,Display,Sound,Harddrive,CDRom,Network Adapter,System Drive,MAC Addresses,Port 21,Port 25,Port 80,Port 443,Port 3389,Critical Patch,Security Patch,Service Pack Patch,Upgrade Patch,Optional Patches
RANKINDC2,RANKINDC2,RANKIN.rankincountyhospital.com,"August 3, 2020 12:01:21 PM","RANKIN\carson (Since: Jul 10, 2020 1:46:04 PM)","July 24, 2020 1:24:02 PM",12.175.209.34/192.168.166.46;,Rankin County Hospital,Domain Controller,Microsoft Windows Server 2016 Standard  x64,1607,14393.3808,N/A,Symantec Endpoint Protection,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,8860-5538-8609-8257-4811-9042-61,Intel(R) Xeon(R) CPU E5-2643 0 @ 3.30GHz ,4 GB,Microsoft Hyper-V Video,N/A,Microsoft Virtual Disk (39GB),,Microsoft Hyper-V Network Adapter,C,00:15:5D:02:6F:04 (Primary),0,0,0,0,1,0,1,0,0,0
RANKINFILESHARE,RANKINFILESHARE,RANKIN.rankincountyhospital.com,"August 3, 2020 12:01:21 PM","RANKIN\carson (Since: Jul 13, 2020 12:32:21 PM)","July 24, 2020 5:42:41 PM",12.175.209.34/192.168.166.47;,Rankin County Hospital,Server,Microsoft Windows Server 2016 Standard  x64,1607,14393.3808,N/A,Symantec Endpoint Protection,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,5371-3358-5580-7549-9252-9764-11,Intel(R) Xeon(R) CPU E5-2643 0 @ 3.30GHz ,4 GB,Microsoft Hyper-V Video,N/A,Microsoft Virtual Disk (39GB),Microsoft Virtual DVD-ROM,Microsoft Hyper-V Network Adapter,C,00:15:5D:02:6F:02 (Primary),0,0,0,0,1,0,0,0,0,0
RANKINDC1,RANKINDC1,RANKIN.rankincountyhospital.com,"August 3, 2020 12:01:19 PM","RANKIN\jennifer (Since: Jul 27, 2020 11:25:56 AM),RANKIN\carson (Since: Jul 29, 2020 8:01:22 AM)","July 24, 2020 5:41:52 PM",12.175.209.34/192.168.166.45;,Rankin County Hospital,Domain Controller,Microsoft Windows Server 2016 Standard  x64,1607,14393.3808,N/A,Symantec Endpoint Protection,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,8392-1665-0693-1859-6742-7806-51,Intel(R) Xeon(R) CPU E5-2643 0 @ 3.30GHz ,8 GB,Microsoft Hyper-V Video,N/A,Microsoft Virtual Disk (39GB),,Microsoft Hyper-V Network Adapter,C,00:15:5D:02:6F:01 (Primary),0,0,0,0,1,0,1,0,0,0
RANKIN108,RANKIN108,RANKIN.rankincountyhospital.com,"August 3, 2020 12:01:21 PM","RANKIN\pezell (Since: Jul 29, 2020 8:32:02 AM)","July 27, 2020 11:44:40 AM",12.175.209.34/192.168.166.185;,Rankin County Hospital,Work Station,Microsoft Windows 10 Pro  x64,2004,19041.388,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Symantec Endpoint Protection,LENOVO,LENOVO 313C ,10UR001LUS,MJ08LNY3,Intel(R) Core(TM) i5-7400 CPU @ 3.00GHz ,7.92 GB,MCT USB3.0 External Graphics Device,Realtek High Definition Audio,SAMSUNG MZVLB256HAHQ-000L7 (238GB),HL-DT-ST DVDRAM GUE0N,Realtek PCIe GbE Family Controller,C,1C:A0:B8:76:EC:84 (Primary),0,0,0,0,1,0,0,1,0,0
RANKIN103,RANKIN103,RANKIN.rankincountyhospital.com,"August 3, 2020 12:01:19 PM","RANKIN\vvenegas (Since: Jul 21, 2020 11:10:32 AM)","July 14, 2020 11:49:29 PM",12.175.209.34/192.168.166.165;,Rankin County Hospital,Work Station,Microsoft Windows 10 Pro  x64,2004,19041.388,N/A,Symantec Endpoint Protection,HP,HP 83F2 ,HP ProDesk 400 G5 SFF,MXL8372ZTB,Intel(R) Core(TM) i5-8500 CPU @ 3.00GHz ,7.84 GB,Intel(R) UHD Graphics 630,Synaptics HD Audio,WDC WD10EZEX-60WN4A0 (931GB),hp HLDS DVDRW  GUD1N,Realtek PCIe GbE Family Controller,C,10:E7:C6:B5:05:56 (Primary),0,0,0,0,1,0,0,1,0,0
RANKIN105,RANKIN105,RANKIN.rankincountyhospital.com,"August 3, 2020 3:20:06 PM","RANKIN\Lmueller (Since: Aug 3, 2020 8:59:11 AM)","July 30, 2020 7:44:22 AM",12.175.209.34/192.168.166.116;,Rankin County Hospital,Work Station,Microsoft Windows 10 Pro  x64,2004,19041.388,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Symantec Endpoint Protection,LENOVO,LENOVO 313C ,10UR001LUS,MJ08LNY7,Intel(R) Core(TM) i5-7400 CPU @ 3.00GHz ,7.92 GB,Intel(R) HD Graphics 630,Realtek High Definition Audio,SAMSUNG MZVLB256HAHQ-000L7 (238GB),HL-DT-ST DVDRAM GUE0N,Realtek PCIe GbE Family Controller,C,1C:A0:B8:76:EC:81 (Primary),0,0,0,0,1,0,0,2,0,0
RANKINAZUREADC,RANKINAZUREADC,RANKIN.rankincountyhospital.com,"August 3, 2020 1:20:06 PM","RANKINAZUREADC\tntadmin (Since: Jul 18, 2020 4:13:49 AM)","July 24, 2020 5:41:55 PM",12.175.209.34/192.168.166.216;,Rankin County Hospital,Server,Microsoft Windows Server 2016 Standard  x64,1607,14393.3808,N/A,,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,0513-7408-1716-9713-2843-3966-63,Intel(R) Xeon(R) CPU E5-2643 0 @ 3.30GHz ,8 GB,Microsoft Hyper-V Video,N/A,Microsoft Virtual Disk (39GB),,Microsoft Hyper-V Network Adapter,C,00:15:5D:02:6F:05 (Primary),0,0,0,0,1,0,1,0,0,0
RANKIN106,RANKIN106,RANKIN.rankincountyhospital.com,"August 3, 2020 12:01:21 PM","RANKIN\jjackson (Since: Jul 31, 2020 7:47:49 AM)","July 31, 2020 7:47:25 AM",12.175.209.34/192.168.166.195;,Rankin County Hospital,Work Station,Microsoft Windows 10 Pro  x64,2004,19041.388,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Symantec Endpoint Protection,LENOVO,LENOVO 313C ,10UR001LUS,MJ08LNY5,Intel(R) Core(TM) i5-7400 CPU @ 3.00GHz ,7.92 GB,Intel(R) HD Graphics 630,Realtek High Definition Audio,SAMSUNG MZVLB256HAHQ-000L7 (238GB),HL-DT-ST DVDRAM GUE0N,Realtek PCIe GbE Family Controller,C,1C:A0:B8:76:EC:76 (Primary),0,0,0,0,1,0,0,2,0,0
RANKIN104,RANKIN104,RANKIN.rankincountyhospital.com,"August 3, 2020 1:20:06 PM","RANKIN\ovillanueva (Since: Jul 29, 2020 8:39:37 AM)","July 14, 2020 8:24:11 PM",12.175.209.34/192.168.166.168;,Rankin County Hospital,Work Station,Microsoft Windows 10 Pro  x64,2004,19041.388,"Microsoft Office Professional 2013, Build  15.0.4569.1506",Symantec Endpoint Protection,Dell Inc.,Dell Inc. 08NPPY ,OptiPlex 3050,1G1Y7N2,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz ,7.89 GB,Intel(R) HD Graphics 630,Realtek Audio,ST500DM009-2F110A (465GB),HL-DT-ST DVD+-RW GU90N,Realtek PCIe GBE Family Controller,C,D8:9E:F3:32:F4:41 (Primary),0,0,0,0,0,0,0,2,0,0
RANKINAPP1,RANKINAPP1,RANKIN.rankincountyhospital.com,"August 3, 2020 12:01:22 PM","RANKIN\carson (Since: Jul 10, 2020 1:36:20 PM),RANKIN\tntbackup (Since: Jul 13, 2020 11:06:54 AM)","July 24, 2020 5:43:24 PM",12.175.209.34/192.168.166.48;,Rankin County Hospital,Server,Microsoft Windows Server 2016 Standard  x64,1607,14393.3750,N/A,Symantec Endpoint Protection,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,1237-0254-1178-1138-1139-7858-44,Intel(R) Xeon(R) CPU E5-2643 0 @ 3.30GHz ,4 GB,Microsoft Hyper-V Video,N/A,Microsoft Virtual Disk (75GB),,Microsoft Hyper-V Network Adapter,C,00:15:5D:02:6F:03 (Primary),0,0,0,0,1,0,2,0,0,0
RCHCERNERSFTP,RCHCERNERSFTP,RANKIN.rankincountyhospital.com,"August 3, 2020 12:01:19 PM","RCHCernerSFTP\RCH_CernerSFTP (Since: Jul 15, 2020 9:42:47 AM)","July 15, 2020 4:50:44 PM",12.175.209.34/192.168.166.253;,Rankin County Hospital,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,N/A,Symantec Endpoint Protection,HP,HP 8266 ,HP EliteDesk 705 G3 Desktop Mini,MXL71624PV,"AMD PRO A12-8870E R7, 12 COMPUTE CORES 4C+8G ",15.43 GB,AMD Radeon R7 Graphics,AMD High Definition Audio Device,SanDisk SD8SB8U-512G-100 SATA Disk Device (476GB),,"Broadcom NetXtreme Gigabit Ethernet,Intel(R) Dual Band Wireless-AC 7265,Bluetooth Device (Personal Area Network),Microsoft Virtual WiFi Miniport Adapter,Microsoft Virtual WiFi Miniport Adapter #2",C,C8:D3:FF:9D:94:1D (Primary)D0:57:7B:7A:3A:B9 D0:57:7B:7A:3A:BD D2:57:7B:7A:3A:B9 D2:57:7B:7A:3A:BA ,0,0,0,0,1,0,0,0,0,0
CLINICNS2,CLINICNS2,RANKIN.rankincountyhospital.com,"February 13, 2020 9:01:48 AM","RANKIN\bsanchez (Since: Jan 27, 2020 1:19:08 PM)","January 27, 2020 2:16:55 PM",12.175.209.34/192.168.166.176;,Rankin County Hospital,Work Station,Microsoft Windows 10 Pro  x64,1809,17763.914,"Microsoft Office Professional 2013, Build  15.0.4569.1506",Symantec Endpoint Protection,Dell Inc.,Dell Inc. 08NPPY ,OptiPlex 3050,81DC9M2,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz ,7.89 GB,Intel(R) HD Graphics 630,Realtek Audio,WDC WD5000AZLX-75K2TA0 (465GB),PLDS DVD+-RW DU-8A5LH,Realtek PCIe GBE Family Controller,C,D8:9E:F3:17:12:AF (Primary),0,0,0,0,1,0,3,3,0,0
