Computer Alias,Action Required,OS,Last Connected,Group,Local Update Host
CA-DB,Needs Restart,Win2008,Online,Default Group,N/A
Central_Supply.RANKIN.rankincountyhospital.com,-,Win7,Online,Default Group,N/A
CFO-PC,-,Win7,Online,Default Group,N/A
CLINIC2.RANKIN.rankincountyhospital.com,-,Win7,Online,Default Group,N/A
ClinicNS2.RANKIN.rankincountyhospital.com,-,Win10,2/19/2020,Default Group,N/A
DESKTOP-PBPQJ48,-,Win10,9/15/2019,Default Group,N/A
EMS-Opti3010,-,Win7,Online,Default Group,N/A
IT-Opti7010.RANKIN.rankincountyhospital.com,-,Win7,Online,Default Group,N/A
Marketing-HP.RANKIN.rankincountyhospital.com,-,Win7,Online,Default Group,N/A
PhysReadingPC.RANKIN.rankincountyhospital.com,-,Win7,Online,Default Group,N/A
Production-PC.RANKIN.rankincountyhospital.com,-,Win7,Online,Default Group,N/A
RANKIN100.RANKIN.rankincountyhospital.com,-,Win7,Online,Default Group,N/A
Rankin101,-,Win10,Online,Default Group,N/A
rankin102.RANKIN.rankincountyhospital.com,-,Win10,Online,Default Group,N/A
RANKIN103.RANKIN.rankincountyhospital.com,-,Win10,Online,Default Group,N/A
RANKIN104.RANKIN.rankincountyhospital.com,-,Win10,Online,Default Group,N/A
RANKIN105,-,Win10,Online,Default Group,N/A
RANKIN106,-,Win10,Online,Default Group,N/A
RANKIN107,-,Win10,Online,Default Group,N/A
RANKIN108,-,Win10,Online,Default Group,N/A
RANKIN109,-,Win10,Online,Default Group,N/A
RANKIN110.RANKIN.rankincountyhospital.com,-,Win10,Online,Default Group,N/A
RANKIN111,-,Win10,Online,Default Group,N/A
RANKIN113,-,Win10,Online,Default Group,N/A
RANKIN114,-,Win10,Online,Default Group,N/A
RANKIN119,-,Win10,8/3/2020,Default Group,N/A
RANKINAPP1.RANKIN.rankincountyhospital.com,-,Win2016,Online,Default Group,N/A
RANKINDC1.RANKIN.rankincountyhospital.com,-,Win2016,Online,Default Group,N/A
RANKINDC2.RANKIN.rankincountyhospital.com,-,Win2016,Online,Default Group,N/A
RANKINFILESHARE.RANKIN.rankincountyhospital.com,-,Win2016,Online,Default Group,N/A
RANKINLPT100.RANKIN.rankincountyhospital.com,-,Win10,Online,Default Group,N/A
rankinlpt101.RANKIN.rankincountyhospital.com,-,Win10,6/9/2020,Default Group,N/A
rankinlpt102.RANKIN.rankincountyhospital.com,-,Win10,Online,Default Group,N/A
RANKINLPT103,-,Win10,7/22/2020,Default Group,N/A
RANKINLPT104,-,Win10,8/2/2020,Default Group,N/A
rankinlpt107,-,Win10,Online,Default Group,N/A
RANKINLPTP108,-,Win10,12/18/2019,Default Group,N/A
RANKINVH1,-,Win2016,Online,Default Group,N/A
RCH-BOM.RANKIN.rankincountyhospital.com,-,Win7,Online,Default Group,N/A
RCH-BusOFFBilling.RANKIN.rankincountyhospital.com,-,Win7,Online,Default Group,N/A
RCH-BusOffPod.RANKIN.rankincountyhospital.com,-,Win7,Online,Default Group,N/A
RCH-ClinicDr2.RANKIN.rankincountyhospital.com,-,Win7,Online,Default Group,N/A
RCH-ClinicManager.RANKIN.rankincountyhospital.com,-,Win7,Online,Default Group,N/A
RCH-ClinicReg.RANKIN.rankincountyhospital.com,-,Win7,Online,No Firewall,N/A
RCH-Collections.RANKIN.rankincountyhospital.com,-,Win7,Online,Default Group,N/A
RCH-COOoffice.RANKIN.rankincountyhospital.com,-,Win7,Online,Default Group,N/A
RCH-EDwow,-,Win10,Online,Default Group,N/A
RCH-ERNurse1.RANKIN.rankincountyhospital.com,-,Win7,Online,Default Group,N/A
RCH-ERNurse2.RANKIN.rankincountyhospital.com,-,Win7,Online,Default Group,N/A
RCH-LabOffice.RANKIN.rankincountyhospital.com,-,Win7,Online,Default Group,N/A
RCH-LabPC3,-,Win7,Online,Default Group,N/A
RCH-LabPC5,-,Win7,Online,Default Group,N/A
RCH-NSwow,-,Win10,Online,Default Group,N/A
RCH-Nurse1.RANKIN.rankincountyhospital.com,-,Win7,Online,Default Group,N/A
RCH-Nurse2.RANKIN.rankincountyhospital.com,-,Win7,Online,Default Group,N/A
RCH-Nurse3.RANKIN.rankincountyhospital.com,-,Win7,Online,Default Group,N/A
RCH-Nurse4.RANKIN.rankincountyhospital.com,-,Win7,Online,Default Group,N/A
RCH-PTLaptop.RANKIN.rankincountyhospital.com,-,Win7,12/18/2019,Default Group,N/A
RCH-PTOffice.RANKIN.rankincountyhospital.com,-,Win7,Online,Default Group,N/A
RCH-RadReg.RANKIN.rankincountyhospital.com,-,Win7,Online,Default Group,N/A
RCH-TAB101.RANKIN.rankincountyhospital.com,-,Win10,Online,Default Group,N/A
RCH-TAB103,-,Win10,8/3/2020,Default Group,N/A
RCH-TAB104,-,Win10,Online,Default Group,N/A
RCH-TAB105,-,Win10,Online,Default Group,N/A
RCHCernerSFTP,-,Win7,Online,Default Group,N/A
