Device Name,Machine Name,Domain/Workgroup,Last Seen,Last Logged User,Last Reboot Time,IP Address,Customer Name,OS Type,OS Edition,OS Version,OS Build,Office,AntiVirus,Vendor,Motherboard,Model,Serial Number,Processor,Memory,Display,Sound,Harddrive,CDRom,Network Adapter,System Drive,MAC Addresses,Port 21,Port 25,Port 80,Port 443,Port 3389,Critical Patch,Security Patch,Service Pack Patch,Upgrade Patch,Optional Patches
COREP01,COREP01,Reeves.rchd.org,"May 12, 2020 9:31:45 PM",,"April 15, 2020 8:15:30 AM",199.27.156.178/169.254.0.2;10.32.2.62;,Reeves County Hospital,Server,Microsoft Windows Server 2012 R2 Standard  x64,6.3,9600,N/A,Symantec Endpoint Protection,Dell Inc.,Dell Inc. 03XKDV ,PowerEdge R530,8VY1F42,2x Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz ,31.91 GB,LogMeIn Mirror Driver,N/A,"DELL PERC H730 Mini SCSI Disk Device (278GB),DELL PERC H730 Mini SCSI Disk Device (2234GB),WD My Passport 25E2 USB Device (2794GB)",HL-DT-ST DVD-ROM DTA0N,"Broadcom NetXtreme Gigabit Ethernet,Broadcom NetXtreme Gigabit Ethernet #2,Broadcom NetXtreme Gigabit Ethernet #3,Broadcom NetXtreme Gigabit Ethernet #4,iDRAC Virtual NIC USB Device",C,44:A8:42:2B:90:CA 44:A8:42:2B:90:CB 44:A8:42:2B:90:CC 44:A8:42:2B:90:CD (Primary)44:A8:42:2B:90:CF ,0,0,1,1,1,0,0,4,0,2
IATRIC02,IATRIC02,Reeves.rchd.org,"May 12, 2020 9:31:45 PM",,"January 15, 2020 9:15:42 AM",199.27.156.178/10.32.2.52;,Reeves County Hospital,Server,Microsoft Windows Server 2008 R2 Standard SP1 x64,6.1,7601,N/A,Symantec Endpoint Protection,"VMware, Inc.",Intel Corporation 440BX Desktop Reference Platform ,VMware Virtual Platform,VMware-42 2a 5c e2 6b e1 32 8f-f8 7d 61 e0 94 aa 16 02,Intel(R) Xeon(R) CPU E5-2650 v2 @ 2.60GHz ,6 GB,VMware SVGA 3D,N/A,VMware Virtual disk SCSI Disk Device (199GB),"NECVMWar VMware IDE CDR10 ATA Device,ELBY CLONEDRIVE SCSI CdRom Device",Intel(R) PRO/1000 MT Network Connection,C,00:50:56:AA:6A:4E (Primary),0,0,0,0,1,0,0,16,0,0
ORCHSERV02,ORCHSERV02,Reeves.rchd.org,"May 12, 2020 9:31:42 PM","REEVES\administrator (Since: Apr 28, 2020 2:10:04 PM)","April 28, 2020 7:02:08 PM",199.27.156.178/10.32.2.90;,Reeves County Hospital,Server,Microsoft Windows Server 2012 R2 Standard  x64,6.3,9600,N/A,,"VMware, Inc.",Intel Corporation 440BX Desktop Reference Platform ,VMware Virtual Platform,VMware-42 2a 1a 19 1b 66 b5 96-92 c7 18 58 81 41 e2 b3,Intel(R) Xeon(R) CPU E5-2650 v2 @ 2.60GHz ,64 GB,VMware SVGA 3D,N/A,"VMware Virtual disk SCSI Disk Device (499GB),VMware Virtual disk SCSI Disk Device (119GB)",NECVMWar VMware IDE CDR10 ATA Device,Intel(R) 82574L Gigabit Network Connection,C,00:50:56:AA:4A:39 (Primary),0,0,0,0,1,0,0,67,0,0
COREP02,COREP02,Reeves.rchd.org,"May 12, 2020 9:31:44 PM",,"April 16, 2020 8:14:02 AM",199.27.156.178/10.32.2.63;,Reeves County Hospital,Server,Microsoft Windows Server 2012 R2 Datacenter  x64,6.3,9600,N/A,Symantec Endpoint Protection,"VMware, Inc.",Intel Corporation 440BX Desktop Reference Platform ,VMware Virtual Platform,VMware-42 2a d1 4c 0e 9e 67 42-6f ad 6d 89 8a 47 eb 12,4x Intel(R) Xeon(R) CPU E5-2650 v2 @ 2.60GHz ,8 GB,VMware SVGA 3D,N/A,VMware Virtual disk SCSI Disk Device (449GB),NECVMWar VMware IDE CDR10 ATA Device,Intel(R) 82574L Gigabit Network Connection,C,00:50:56:AA:2F:F5 (Primary),0,0,1,1,1,0,0,4,0,0
ES1015807AIOP,ES1015807AIOP,Reeves.rchd.org,"May 12, 2020 9:31:44 PM","REEVES\pyxisadmin (Since: May 6, 2020 1:07:16 PM)","April 9, 2020 11:24:46 PM",199.27.156.178/10.32.2.233;,Reeves County Hospital,Server,Microsoft Windows Server 2012 R2 Standard  x64,6.3,9600,N/A,ESET Endpoint Antivirus,"VMware, Inc.",Intel Corporation 440BX Desktop Reference Platform ,VMware Virtual Platform,VMware-56 4d 9b 3f ba 2c 7d 7a-ec 58 05 24 05 f8 90 8d,2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz ,8 GB,VMware SVGA 3D,N/A,"VMware Virtual disk SCSI Disk Device (99GB),VMware Virtual disk SCSI Disk Device (79GB)",NECVMWar VMware IDE CDR10 ATA Device,Intel(R) 82574L Gigabit Network Connection,C,00:0C:29:F8:90:8D (Primary),0,0,1,1,1,0,0,0,0,0
OBIX01,OBIX01,Reeves.rchd.org,"April 1, 2020 9:09:18 PM","REEVES\cdunn (Since: Aug 23, 2019 10:01:14 AM),REEVES\administrator (Since: Aug 23, 2019 9:24:04 AM)","April 1, 2020 9:01:21 PM",199.27.156.178/10.32.2.53;,Reeves County Hospital,Server,Microsoft Windows Server 2008 R2 Standard SP1 x64,6.1,7601,N/A,Symantec Endpoint Protection,"VMware, Inc.",Intel Corporation 440BX Desktop Reference Platform ,VMware Virtual Platform,VMware-42 2a 51 d4 6d 88 cf ef-a4 39 00 46 9d d4 c7 0a,Intel(R) Xeon(R) CPU E5-2650 v2 @ 2.60GHz ,16 GB,VMware SVGA 3D,N/A,VMware Virtual disk SCSI Disk Device (599GB),NECVMWar VMware IDE CDR10 ATA Device,Intel(R) PRO/1000 MT Network Connection,C,00:50:56:AA:46:0E (Primary),0,0,1,0,1,0,1,0,0,1
OBIX02,OBIX02,Reeves.rchd.org,"May 12, 2020 9:31:45 PM","REEVES\cdunn (Since: Nov 26, 2019 1:31:28 PM)","November 26, 2019 7:29:24 PM",199.27.156.178/10.32.2.54;,Reeves County Hospital,Server,Microsoft Windows Server 2008 R2 Standard SP1 x64,6.1,7601,N/A,Symantec Endpoint Protection,"VMware, Inc.",Intel Corporation 440BX Desktop Reference Platform ,VMware Virtual Platform,VMware-42 2a e5 c8 b7 ff 98 fc-67 15 a7 28 8e a2 f3 36,Intel(R) Xeon(R) CPU E5-2650 v2 @ 2.60GHz ,12 GB,VMware SVGA 3D,N/A,VMware Virtual disk SCSI Disk Device (599GB),NECVMWar VMware IDE CDR10 ATA Device,Intel(R) PRO/1000 MT Network Connection,C,00:50:56:AA:7A:68 (Primary),0,0,0,0,1,0,4,2,0,0
IATRIC01,IATRIC01,Reeves.rchd.org,"May 12, 2020 9:31:44 PM","REEVES\Iatric_Admin (Since: May 24, 2019 6:41:38 AM),REEVES\Iatric_Script_1 (Since: May 24, 2019 3:26:31 PM),REEVES\Iatric_Script_2 (Since: May 24, 2019 3:26:38 PM)","May 24, 2019 8:22:38 PM",199.27.156.178/10.32.2.51;,Reeves County Hospital,Server,Microsoft Windows Server 2008 R2 Standard SP1 x64,6.1,7601,N/A,Symantec Endpoint Protection,"VMware, Inc.",Intel Corporation 440BX Desktop Reference Platform ,VMware Virtual Platform,VMware-42 2a be 0a 94 c1 c4 15-fb 64 e1 80 bd fb e1 93,Intel(R) Xeon(R) CPU E5-2650 v2 @ 2.60GHz ,8 GB,Radmin Mirror Driver V3,N/A,VMware Virtual disk SCSI Disk Device (209GB),"NECVMWar VMware IDE CDR10 ATA Device,ELBY CLONEDRIVE SCSI CdRom Device",Intel(R) 82574L Gigabit Network Connection,C,00:50:56:AA:3A:90 (Primary),0,0,0,0,1,0,1,25,0,0
HIMSERV02,HIMSERV02,Reeves.rchd.org,"May 12, 2020 9:31:44 PM","REEVES\administrator (Since: Jun 18, 2019 10:14:40 AM)","June 12, 2019 8:19:43 AM",199.27.156.178/10.32.0.166;,Reeves County Hospital,Server,Microsoft Windows Server 2012 R2 Datacenter  x64,6.3,9600,N/A,Symantec Endpoint Protection,"VMware, Inc.",Intel Corporation 440BX Desktop Reference Platform ,VMware Virtual Platform,VMware-42 2a e6 3d 0e ce 0b e4-55 df f0 ec 23 31 f3 8c,Intel(R) Xeon(R) CPU E5-2650 v2 @ 2.60GHz ,6 GB,VMware SVGA 3D,N/A,VMware Virtual disk SCSI Disk Device (149GB),NECVMWar VMware IDE CDR10 ATA Device,Intel(R) 82574L Gigabit Network Connection,C,00:50:56:AA:4B:5A (Primary),0,0,0,0,1,0,0,6,0,1
PT06,PT06,Reeves.rchd.org,"April 2, 2020 4:29:19 PM","REEVES\nr00492 (Since: Mar 23, 2020 4:10:37 PM),REEVES\rc00737 (Since: Mar 24, 2020 1:59:43 PM)","March 17, 2020 2:03:38 PM",199.27.156.178/10.32.1.53;,Reeves County Hospital,Work Station,Microsoft Windows 8.1 Pro  x64,6.3,9600,N/A,Symantec Endpoint Protection,Microsoft Corporation,Microsoft Corporation Surface Pro 3 ,Surface Pro 3,035074251353,Intel(R) Core(TM) i5-4300U CPU @ 1.90GHz ,7.91 GB,Intel(R) HD Graphics Family,Realtek High Definition Audio,HFS256G3AMNB-2200A (238GB),,"Marvell AVASTAR Wireless-AC Network Controller,Bluetooth Device (Personal Area Network)",C,C0:33:5E:19:E9:1F (Primary)C0:33:5E:19:E9:20 ,0,0,0,0,0,0,1,2,0,0
