Device Name,Machine Name,Domain/Workgroup,Last Seen,Last Logged User,Last Reboot Time,IP Address,Customer Name,OS Type,OS Edition,OS Version,OS Build,Office,AntiVirus,Vendor,Motherboard,Model,Serial Number,Processor,Memory,Display,Sound,Harddrive,CDRom,Network Adapter,System Drive,MAC Addresses,Port 21,Port 25,Port 80,Port 443,Port 3389,Critical Patch,Security Patch,Service Pack Patch,Upgrade Patch,Optional Patches
SCMCFILESHARE1,SCMCFILESHARE1,DOMAIN.LOCAL,"August 3, 2020 5:20:06 PM","DOMAIN\administrator (Since: Jun 3, 2020 10:11:28 AM)","May 27, 2020 12:52:33 PM",63.97.83.34/189.0.2.235;,Schleicher County Medical Center,Server,Microsoft Windows Server 2008 R2 Enterprise SP1 x64,6.1,7601,N/A,Symantec Endpoint Protection,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,7095-8022-3982-7813-8548-7294-46,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz ,6 GB,Microsoft Virtual Machine Bus Video Device,N/A,Virtual HD ATA Device (202GB),Msft Virtual CD/ROM ATA Device,Microsoft Virtual Machine Bus Network Adapter,C,00:15:5D:02:C9:05 (Primary),0,0,0,0,1,0,0,0,0,0
SCMCEMDSSQL,SCMCEMDSSQL,DOMAIN.LOCAL,"August 3, 2020 5:20:04 PM","DOMAIN\administrator (Since: Jul 23, 2020 1:08:28 AM)","July 23, 2020 12:16:28 AM",63.97.83.34/189.0.2.170;,Schleicher County Medical Center,Server,Microsoft Windows Server 2008 R2 Enterprise SP1 x64,6.1,7601,N/A,Symantec Endpoint Protection,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,6382-0217-8175-1311-3975-8783-19,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz ,24 GB,Microsoft Virtual Machine Bus Video Device,N/A,Virtual HD ATA Device (250GB),Msft Virtual CD/ROM ATA Device,Microsoft Virtual Machine Bus Network Adapter,C,00:15:5D:02:C9:04 (Primary),0,0,0,0,1,0,0,0,0,0
SCMCTS2,SCMCTS2,DOMAIN.LOCAL,"August 3, 2020 5:20:04 PM","DOMAIN\clee (Since: Jul 30, 2020 9:56:29 AM),DOMAIN\mfay (Since: Aug 3, 2020 8:10:07 AM),DOMAIN\jcastillo (Since: Aug 3, 2020 8:10:37 AM),DOMAIN\jmitchell (Since: Aug 3, 2020 8:16:35 AM),DOMAIN\aortiz (Since: Aug 3, 2020 8:35:17 AM),DOMAIN\monicak (Since: Aug 3, 2020 8:53:47 AM),DOMAIN\msanchez (Since: Aug 3, 2020 11:20:42 AM),DOMAIN\esolis (Since: Aug 3, 2020 11:34:41 AM)","July 23, 2020 1:16:36 AM",63.97.83.34/189.0.2.236;,Schleicher County Medical Center,Server,Microsoft Windows Server 2008 R2 Enterprise SP1 x64,6.1,7601,"Microsoft Office Professional 2007 SP3, Build  12.0.6612.1000",Symantec Endpoint Protection,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,0623-2520-8053-5070-5408-4406-45,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz ,16 GB,Microsoft Virtual Machine Bus Video Device,N/A,Virtual HD ATA Device (126GB),Msft Virtual CD/ROM ATA Device,Microsoft Virtual Machine Bus Network Adapter,C,00:15:5D:02:C9:07 (Primary),0,0,0,0,1,0,0,1,0,0
SCMCEMDSIMAGES,SCMCEMDSIMAGES,DOMAIN.LOCAL,"August 3, 2020 5:20:05 PM","DOMAIN\administrator (Since: Apr 29, 2020 1:15:04 PM)","May 27, 2020 12:51:35 PM",63.97.83.34/189.0.2.171;,Schleicher County Medical Center,Server,Microsoft Windows Server 2008 R2 Enterprise SP1 x64,6.1,7601,N/A,,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,1833-7770-9477-2960-3401-6537-84,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz ,6 GB,Microsoft Virtual Machine Bus Video Device,N/A,Virtual HD ATA Device (126GB),Msft Virtual CD/ROM ATA Device,Microsoft Virtual Machine Bus Network Adapter,C,00:15:5D:02:C9:03 (Primary),0,0,0,0,1,0,0,0,0,0
SCMCEMDSAPPS,SCMCEMDSAPPS,DOMAIN.LOCAL,"August 3, 2020 5:20:03 PM","DOMAIN\administrator (Since: Jun 17, 2020 10:39:15 AM)","July 23, 2020 1:15:41 AM",63.97.83.34/189.0.2.44;,Schleicher County Medical Center,Server,Microsoft Windows Server 2008 R2 Enterprise SP1 x64,6.1,7601,N/A,,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,9422-1609-5249-8890-6002-1441-06,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz ,6 GB,Microsoft Virtual Machine Bus Video Device,N/A,Virtual HD ATA Device (126GB),Msft Virtual CD/ROM ATA Device,Microsoft Virtual Machine Bus Network Adapter,C,00:15:5D:02:C9:02 (Primary),0,0,1,0,1,0,0,0,0,0
SCMCITAPPS1,SCMCITAPPS1,DOMAIN.LOCAL,"August 3, 2020 5:20:05 PM","DOMAIN\administrator (Since: Jul 10, 2020 2:47:24 PM)","May 27, 2020 12:55:36 PM",63.97.83.34/189.0.2.238;192.168.0.22;,Schleicher County Medical Center,Server,Microsoft Windows Server 2008 R2 Enterprise SP1 x64,6.1,7601,N/A,,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,6210-7886-8897-5973-6018-1601-88,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz ,8 GB,Microsoft Virtual Machine Bus Video Device,N/A,Virtual HD ATA Device (126GB),Msft Virtual CD/ROM ATA Device,Microsoft Virtual Machine Bus Network Adapter,C,00:15:5D:02:C9:0A (Primary),0,0,1,0,1,0,0,0,0,0
SCMCTIMETRAK,SCMCTIMETRAK,DOMAIN.LOCAL,"August 3, 2020 5:20:06 PM","DOMAIN\administrator (Since: Jul 14, 2020 8:31:49 AM)","July 14, 2020 8:28:58 AM",63.97.83.34/189.0.2.237;,Schleicher County Medical Center,Server,Microsoft Windows Server 2008 R2 Enterprise SP1 x64,6.1,7601,N/A,,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,2379-0354-1789-6505-3514-5327-58,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz ,4 GB,Microsoft Virtual Machine Bus Video Device,N/A,Virtual HD ATA Device (126GB),Msft Virtual CD/ROM ATA Device,Microsoft Virtual Machine Bus Network Adapter,C,00:15:5D:02:C9:09 (Primary),0,0,1,0,1,0,0,0,0,0
SCMC157,SCMC157,DOMAIN.LOCAL,"August 3, 2020 5:20:03 PM","DOMAIN\aortiz (Since: Jul 27, 2020 8:16:21 AM)","August 3, 2020 8:24:12 AM",63.97.83.34/189.0.2.46;,Schleicher County Medical Center,Work Station,Microsoft Windows 10 Pro  x64,1903,18362.959,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Symantec Endpoint Protection,MINIX,MINIX N42C-4 ,N42C-4,Default string,Intel(R) Pentium(R) CPU J4205 @ 1.50GHz ,7.85 GB,Intel(R) HD Graphics 505,Intel(R) Display Audio,"Samsung BJNB4R (29GB),NEO-SSD-128GB (119GB)",,"Realtek PCIe GBE Family Controller #3,Intel(R) Dual Band Wireless-AC 3168,Bluetooth Device (Personal Area Network)",C,20:79:18:3E:C1:A0 20:79:18:3E:C1:A4 A0:1E:0B:0D:65:25 (Primary),0,0,0,0,1,0,0,1,0,0
SCMC152,SCMC152,DOMAIN.LOCAL,"August 3, 2020 5:20:06 PM","DOMAIN\jmitchell (Since: Aug 3, 2020 8:16:17 AM)","August 3, 2020 8:15:04 AM",63.97.83.34/189.0.2.49;,Schleicher County Medical Center,Work Station,Microsoft Windows 10 Pro  x64,1809,17763.1282,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Symantec Endpoint Protection,Dell Inc.,Dell Inc. 04Y8V0 ,OptiPlex 3060,1PF4JV2,Intel(R) Core(TM) i5-8500 CPU @ 3.00GHz ,7.83 GB,Intel(R) UHD Graphics 630,Realtek Audio,TOSHIBA KSG60ZMV256G M.2 2280 256GB (238GB),PLDS DVD+-RW DU-8A5LH,Realtek PCIe GbE Family Controller,C,6C:2B:59:D5:C2:7C (Primary),0,0,0,0,1,0,0,2,1,0
SCMC154,SCMC154,DOMAIN.LOCAL,"August 3, 2020 5:20:06 PM","DOMAIN\aguzman (Since: Jul 23, 2020 2:54:47 AM),DOMAIN\rmeeks (Since: Jul 22, 2020 4:42:45 PM),DOMAIN\amurr (Since: Jul 23, 2020 3:30:41 AM),DOMAIN\nhunter (Since: Jul 23, 2020 11:17:23 AM),DOMAIN\sluedecke (Since: Jul 25, 2020 12:49:44 PM),DOMAIN\rquick (Since: Aug 1, 2020 9:53:38 PM)","July 16, 2020 8:21:50 PM",63.97.83.34/189.0.2.61;,Schleicher County Medical Center,Work Station,Microsoft Windows 10 Pro  x64,1809,17763.1282,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Symantec Endpoint Protection,Dell Inc.,Dell Inc. 04Y8V0 ,OptiPlex 3060,1PG5JV2,Intel(R) Core(TM) i5-8500 CPU @ 3.00GHz ,7.83 GB,Intel(R) UHD Graphics 630,Realtek Audio,TOSHIBA KSG60ZMV256G M.2 2280 256GB (238GB),PLDS DVD+-RW DU-8A5LH,Realtek PCIe GbE Family Controller,C,6C:2B:59:D5:56:87 (Primary),0,0,0,0,1,0,0,2,1,0
SCMCLPT105,SCMCLPT105,DOMAIN.LOCAL,"August 3, 2020 5:20:08 PM","DOMAIN\kprater (Since: Jul 4, 2020 5:52:44 PM),DOMAIN\rquick (Since: Jul 16, 2020 8:17:57 PM),DOMAIN\sfarris (Since: Jul 21, 2020 1:14:20 PM),DOMAIN\cforlano (Since: Jul 22, 2020 8:35:20 AM),DOMAIN\aguzman (Since: Jul 27, 2020 6:46:26 PM),DOMAIN\tgrantham (Since: Aug 2, 2020 9:36:16 AM)","July 2, 2020 11:45:56 AM",63.97.83.34/189.0.2.88;,Schleicher County Medical Center,Work Station,Microsoft Windows 10 Pro  x64,1903,18362.900,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Symantec Endpoint Protection,HP,HP 837F ,HP ProBook 470 G5,5CD8251ZQ2,Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz ,15.9 GB,Intel(R) UHD Graphics 620,Conexant ISST Audio,SK hynix PC401 HFS256GD9TNG-62A0A (238GB),,"Realtek RTL8822BE 802.11ac PCIe Adapter,Realtek PCIe GbE Family Controller,Bluetooth Device (Personal Area Network)",C,74:40:BB:0A:97:99 (Primary)74:40:BB:0A:97:9A B4:B6:86:E8:3A:E7 ,0,0,0,0,1,0,1,1,0,0
