Computer Alias,Action Required,OS,Last Connected,Group,Local Update Host
SCMC103,-,Win7,Online,Default Group,N/A
SCMC104,-,Win7,Online,Default Group,N/A
SCMC121.DOMAIN.LOCAL,-,Win7,Online,Default Group,N/A
SCMC124.DOMAIN.LOCAL,-,Win7,Online,Default Group,N/A
SCMC125.DOMAIN.LOCAL,-,Win7,8/3/2020,Default Group,N/A
SCMC134.DOMAIN.LOCAL,-,Win7,Online,Default Group,N/A
SCMC136.DOMAIN.LOCAL,-,Win7,8/3/2020,Default Group,N/A
SCMC140,-,Win7,Online,Default Group,N/A
SCMC148,-,Win7,Online,Default Group,N/A
SCMC150,-,Win10,Online,Default Group,N/A
SCMC151,-,Win10,Online,Default Group,N/A
SCMC152,-,Win10,Online,Default Group,N/A
SCMC153,-,Win10,Online,Default Group,N/A
SCMC154,-,Win10,Online,Default Group,N/A
SCMC155,-,Win10,Online,Default Group,N/A
SCMC156,-,Win10,Online,Default Group,N/A
SCMC157,-,Win10,Online,Default Group,N/A
SCMC158.DOMAIN.LOCAL,-,Win10,Online,Default Group,N/A
SCMC159.DOMAIN.LOCAL,-,Win10,Online,Default Group,N/A
SCMC160.DOMAIN.LOCAL,-,Win10,Online,Default Group,N/A
SCMC161.DOMAIN.LOCAL,-,Win10,Online,Default Group,N/A
SCMC162.DOMAIN.LOCAL,-,Win10,Online,Default Group,N/A
SCMC163.DOMAIN.LOCAL,-,Win10,6/9/2020,Default Group,N/A
SCMC164.DOMAIN.LOCAL,-,Win10,Online,Default Group,N/A
SCMC165.DOMAIN.LOCAL,-,Win10,Online,Default Group,N/A
SCMC167.DOMAIN.LOCAL,-,Win10,Online,Default Group,N/A
SCMC168.DOMAIN.LOCAL,-,Win10,Online,Default Group,N/A
SCMC169.DOMAIN.LOCAL,-,Win10,Online,Default Group,N/A
SCMC170.DOMAIN.LOCAL,-,Win10,Online,Default Group,N/A
SCMC172.DOMAIN.LOCAL,-,Win10,Online,Default Group,N/A
SCMC173.DOMAIN.LOCAL,-,Win10,8/3/2020,Default Group,N/A
SCMC178.DOMAIN.LOCAL,-,Win10,Online,Default Group,N/A
SCMC179.DOMAIN.LOCAL,-,Win10,7/31/2020,Default Group,N/A
SCMC180.DOMAIN.LOCAL,-,Win10,Online,Default Group,N/A
SCMC181.DOMAIN.LOCAL,-,Win10,6/16/2020,Default Group,N/A
SCMC182.DOMAIN.LOCAL,-,Win10,Online,Default Group,N/A
SCMC183.DOMAIN.LOCAL,-,Win10,Online,Default Group,N/A
SCMC184.DOMAIN.LOCAL,-,Win10,Online,Default Group,N/A
SCMC186.DOMAIN.LOCAL,-,Win10,6/8/2020,Default Group,N/A
SCMC187.DOMAIN.LOCAL,-,Win10,Online,Default Group,N/A
SCMCDC1.DOMAIN.LOCAL,-,Win2008,Online,Default Group,N/A
SCMCDC3.DOMAIN.LOCAL,-,Win2008,Online,Default Group,N/A
SCMCEMDSSQL.DOMAIN.LOCAL,-,Win2008,Online,Default Group,N/A
SCMCFILESHARE1.DOMAIN.LOCAL,-,Win2008,Online,Default Group,N/A
SCMCLPT100,-,Win10,3/27/2020,Default Group,N/A
SCMCLPT101,-,Win10,5/29/2020,Default Group,N/A
SCMCLPT102,-,Win10,7/31/2020,Default Group,N/A
SCMCLPT103,-,Win10,12/27/2019,Default Group,N/A
SCMCLPT104,-,Win10,Online,Default Group,N/A
SCMCLPT105,-,Win10,Online,Default Group,N/A
SCMCLPT106,-,Win10,Online,Default Group,N/A
SCMCLPT107,-,Win10,Online,Default Group,N/A
SCMCRDS01.pmchealthland.local,-,Win2016,Online,Default Group,N/A
SCMCRDS02.pmchealthland.local,-,Win2016,Online,Default Group,N/A
SCMCRDS03.pmchealthland.local,-,Win2016,Online,Default Group,N/A
SCMCTS2.DOMAIN.LOCAL,-,Win2008,Online,Default Group,N/A
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
