Device Name,Machine Name,Domain/Workgroup,Last Seen,Last Logged User,Last Reboot Time,IP Address,Customer Name,OS Type,OS Edition,OS Version,OS Build,Office,AntiVirus,Vendor,Motherboard,Model,Serial Number,Processor,Memory,Display,Sound,Harddrive,CDRom,Network Adapter,System Drive,MAC Addresses,Port 21,Port 25,Port 80,Port 443,Port 3389,Critical Patch,Security Patch,Service Pack Patch,Upgrade Patch,Optional Patches
SCHFILESHARE1,SCHFILESHARE1,sabine.local,"August 3, 2020 5:20:07 PM","SABINE\administrator (Since: Jun 26, 2020 9:08:25 AM)","June 26, 2020 6:50:03 AM",173.185.151.194/192.168.56.14;,Sabine County Hospital,Server,Microsoft Windows Server 2008 R2 Enterprise SP1 x64,6.1,7601,N/A,Symantec Endpoint Protection,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,2467-4133-1759-8552-7649-9333-56,Intel(R) Xeon(R) CPU X5550 @ 2.67GHz ,4 GB,Microsoft Virtual Machine Bus Video Device,N/A,Virtual HD ATA Device (126GB),Msft Virtual CD/ROM ATA Device,Microsoft Virtual Machine Bus Network Adapter,C,00:15:5D:38:A8:08 (Primary),0,0,1,0,1,0,1,0,0,0
SCH204,SCH204,sabine.local,"August 3, 2020 5:20:04 PM","SABINE\carnaud (Since: Aug 3, 2020 7:11:50 AM)","July 22, 2020 7:15:56 AM",173.185.151.194/192.168.56.130;,Sabine County Hospital,Work Station,Microsoft Windows 10 Pro  x64,1903,18362.959,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Symantec Endpoint Protection,HP,HP 83EE ,HP ProDesk 600 G4 SFF,MXL8302JL6,Intel(R) Core(TM) i5-8500 CPU @ 3.00GHz ,7.78 GB,Intel(R) UHD Graphics 630,Intel(R) Display Audio,SK hynix BC501 HFM256GDJTNG-8310A (238GB),hp HLDS DVDRW  GUD1N,Intel(R) Ethernet Connection (7) I219-LM,C,18:60:24:F3:DE:9B (Primary),0,0,0,0,1,0,0,3,0,0
SCH148,SCH148,sabine.local,"August 3, 2020 5:20:03 PM","SABINE\lab1 (Since: Jul 30, 2020 9:39:53 AM)","July 29, 2020 5:51:36 PM",173.185.151.194/192.168.56.132;,Sabine County Hospital,Work Station,Microsoft Windows 7 Professional SP1,6.1,7601.24544,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Symantec Endpoint Protection,Dell Inc.,Dell Inc. 0PU052 ,OptiPlex 755,86YYKH1,Intel(R) Core(TM)2 Duo CPU E7200 @ 2.53GHz ,3.24 GB,Intel(R) Q35 Express Chipset Family,SoundMAX Integrated Digital HD Audio,HDS724040KLSA80 ATA Device (372GB),HL-DT-ST DVD+-RW GT10N ATA Device,Intel(R) 82566DM-2 Gigabit Network Connection,C,00:21:70:37:2B:A3 (Primary),0,0,0,0,1,0,0,1,0,4
SCH182,SCH182,sabine.local,"August 3, 2020 5:20:05 PM","SABINE\cmoody (Since: Aug 3, 2020 1:50:05 PM)","August 3, 2020 1:48:02 PM",173.185.151.194/192.168.56.117;,Sabine County Hospital,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Symantec Endpoint Protection,Hewlett-Packard,Hewlett-Packard 3646h ,HP Compaq 8000 Elite SFF PC,MXL1121G9T,Intel(R) Core(TM)2 Duo CPU E8400 @ 3.00GHz ,7.87 GB,LogMeIn Mirror Driver,High Definition Audio Device,Maxtor 6H500F0 ATA Device (465GB),hp DVDROM DH40N ATA Device,Intel(R) 82567LM-3 Gigabit Network Connection,C,00:23:24:28:85:E9 (Primary),0,0,0,0,1,0,0,1,0,0
SCHAMAZONTS,SCHAMAZONTS,sabine.local,"August 3, 2020 5:20:04 PM","SABINE\administrator (Since: Mar 9, 2020 10:39:27 AM)","June 26, 2020 6:49:26 AM",173.185.151.194/192.168.56.7;,Sabine County Hospital,Server,Microsoft Windows Server 2008 R2 Enterprise SP1 x64,6.1,7601,N/A,Symantec Endpoint Protection,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,4256-5037-7471-0591-5147-2863-69,Intel(R) Xeon(R) CPU X5550 @ 2.67GHz ,8 GB,Microsoft Virtual Machine Bus Video Device,N/A,Virtual HD ATA Device (126GB),Msft Virtual CD/ROM ATA Device,Microsoft Virtual Machine Bus Network Adapter,C,00:15:5D:38:A8:07 (Primary),0,0,1,0,1,0,0,0,0,0
SCHLP105,SCHLP105,sabine.local,"August 3, 2020 5:20:05 PM","SABINE\Kconn (Since: Aug 2, 2020 6:57:41 PM)","August 2, 2020 7:42:32 AM",173.185.151.194/192.168.56.136;,Sabine County Hospital,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Symantec Endpoint Protection,Dell Inc.,Dell Inc. 0JGC48 ,Vostro 3550,1XP2VP1,Intel(R) Core(TM) i3-2310M CPU @ 2.10GHz ,2.91 GB,Intel(R) HD Graphics Family,IDT High Definition Audio CODEC,WDC WD2500BEKT-75PVMT0 (232GB),HL-DT-ST DVD+-RW GT32N,"Bluetooth Device (Personal Area Network),Realtek PCIe GBE Family Controller,Intel(R) Centrino(R) Wireless-N 1030,Microsoft Virtual WiFi Miniport Adapter,Microsoft Virtual WiFi Miniport Adapter #2",C,78:2B:CB:ED:B6:1E BC:77:37:41:95:F1 BC:77:37:41:95:F2 BC:77:37:41:95:F5 (Primary),0,0,0,0,1,0,0,1,0,0
SCHTNTAPP,SCHTNTAPP,sabine.local,"August 3, 2020 5:20:05 PM","SABINE\administrator (Since: Jul 9, 2020 3:21:02 PM)","June 26, 2020 6:48:27 AM",173.185.151.194/192.168.56.162;169.254.32.229;,Sabine County Hospital,Server,Microsoft Windows Server 2008 R2 Enterprise SP1 x64,6.1,7601,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Symantec Endpoint Protection,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,9491-6819-2778-6927-6679-1794-50,Intel(R) Xeon(R) CPU X5550 @ 2.67GHz ,3.91 GB,Microsoft Virtual Machine Bus Video Device,N/A,Virtual HD ATA Device (126GB),Msft Virtual CD/ROM ATA Device,Microsoft Virtual Machine Bus Network Adapter,C,00:15:5D:38:A8:01 (Primary)02:00:4C:4F:4F:50 ,0,0,1,1,1,0,0,0,0,0
SCHTIMETRAK,SCHTIMETRAK,sabine.local,"August 3, 2020 5:20:05 PM","SABINE\administrator (Since: Jul 28, 2020 11:41:33 AM)","June 26, 2020 6:48:00 AM",173.185.151.194/192.168.56.17;,Sabine County Hospital,Server,Microsoft Windows Server 2008 R2 Enterprise SP1 x64,6.1,7601,N/A,,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,4400-9224-3263-3628-0705-7559-52,Intel(R) Xeon(R) CPU X5550 @ 2.67GHz ,4 GB,Microsoft Virtual Machine Bus Video Device,N/A,Virtual HD ATA Device (126GB),Msft Virtual CD/ROM ATA Device,Microsoft Virtual Machine Bus Network Adapter,C,00:15:5D:38:A8:0A (Primary),0,0,1,0,1,0,0,0,0,0
SCHOPALFORWARDE,SCHOPALFORWARDE,sabine.local,"August 3, 2020 5:20:06 PM","SABINE\administrator (Since: Mar 9, 2020 10:32:40 AM)","June 26, 2020 6:48:35 AM",173.185.151.194/192.168.56.9;,Sabine County Hospital,Server,Microsoft Windows Server 2008 R2 Enterprise SP1 x64,6.1,7601,N/A,,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,0891-2542-6010-8574-2456-8590-35,Intel(R) Xeon(R) CPU X5550 @ 2.67GHz ,4 GB,LogMeIn Mirror Driver,N/A,Virtual HD ATA Device (126GB),Msft Virtual CD/ROM ATA Device,Microsoft Virtual Machine Bus Network Adapter,C,00:15:5D:38:A8:05 (Primary),0,0,0,0,1,0,1,0,0,0
SCHDC2,SCHDC2,sabine.local,"August 3, 2020 5:20:07 PM","SABINE\administrator (Since: Jun 29, 2020 9:37:08 AM),SABINE\jennifer (Since: Jul 10, 2020 10:06:49 AM)","June 26, 2020 6:48:01 AM",173.185.151.194/192.168.56.8;169.254.128.18;,Sabine County Hospital,Domain Controller,Microsoft Windows Server 2008 R2 Enterprise SP1 x64,6.1,7601,N/A,,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,7930-5938-0145-0932-1688-1311-00,Intel(R) Xeon(R) CPU X5550 @ 2.67GHz ,4 GB,Microsoft Virtual Machine Bus Video Device,N/A,Virtual HD ATA Device (126GB),Msft Virtual CD/ROM ATA Device,Microsoft Virtual Machine Bus Network Adapter,C,00:15:5D:38:A8:04 (Primary)02:00:4C:4F:4F:50 ,0,0,0,0,1,0,0,0,0,0
