Computer Alias,Action Required,OS,Last Connected,Group,Local Update Host
SCH148.sabine.local,-,Win7,Online,Default Group,N/A
SCH182.sabine.local,-,Win7,Online,USB Blocked,N/A
SCH201.sabine.local,-,Win10,Online,Default Group,N/A
SCH202,-,Win10,Online,Default Group,N/A
SCH203,-,Win10,Online,Default Group,N/A
SCH204,-,Win10,Online,Default Group,N/A
SCH205,-,Win10,Online,Default Group,N/A
SCH207,-,Win10,7/30/2020,Default Group,N/A
SCH208.sabine.local,-,Win10,Online,Default Group,N/A
SCH209,-,Win10,Online,Default Group,N/A
SCH210,-,Win10,Online,Default Group,N/A
SCH211,-,Win10,Online,Default Group,N/A
SCH212,-,Win10,Online,Default Group,N/A
SCH213.sabine.local,-,Win10,Online,Default Group,N/A
SCH214,-,Win10,Online,Default Group,N/A
SCH215.sabine.local,-,Win10,Online,Default Group,N/A
SCH216.sabine.local,-,Win10,Online,Default Group,N/A
SCH217,-,Win10,Online,Default Group,N/A
SCH218.sabine.local,-,Win10,Online,Default Group,N/A
SCH219,-,Win10,Online,Default Group,N/A
SCH221,-,Win10,Online,Default Group,N/A
SCH222.sabine.local,-,Win10,Online,Default Group,N/A
SCH223.sabine.local,-,Win10,Online,Default Group,N/A
SCH224.sabine.local,-,Win10,Online,Default Group,N/A
SCH225.sabine.local,-,Win10,Online,Default Group,N/A
SCH226.sabine.local,-,Win10,Online,Default Group,N/A
SCH227.sabine.local,-,Win10,7/24/2020,Default Group,N/A
SCH229.sabine.local,-,Win10,Online,Default Group,N/A
SCH230.sabine.local,-,Win10,Online,Default Group,N/A
SCH231.sabine.local,-,Win10,Online,Default Group,N/A
SCH232.sabine.local,-,Win10,Online,Default Group,N/A
SCH233.sabine.local,-,Win10,Online,Default Group,N/A
SCH234.sabine.local,-,Win10,Online,Default Group,N/A
SCH235.sabine.local,-,Win10,Online,Default Group,N/A
SCH237.sabine.local,-,Win10,Online,Default Group,N/A
SCH238.sabine.local,-,Win10,Online,Default Group,N/A
SCH239.sabine.local,-,Win10,Online,Default Group,N/A
SCH240.sabine.local,-,Win10,8/3/2020,Default Group,N/A
SCH241.sabine.local,-,Win10,Online,Default Group,N/A
SCH242.sabine.local,-,Win10,Online,Default Group,N/A
SCH243.sabine.local,-,Win10,Online,Default Group,N/A
SCH244.sabine.local,-,Win10,Online,Default Group,N/A
SCH245.sabine.local,-,Win10,Online,Default Group,N/A
SCH246.sabine.local,-,Win10,Online,Default Group,N/A
SCH247.sabine.local,-,Win10,Online,Default Group,N/A
SCH248.sabine.local,-,Win10,Online,Default Group,N/A
SCH249.sabine.local,-,Win10,Online,Default Group,N/A
SCH250.sabine.local,-,Win10,7/31/2020,Default Group,N/A
SCH251,-,Win10,Online,Default Group,N/A
SCH252.sabine.local,-,Win10,Online,Default Group,N/A
SCH253.sabine.local,-,Win10,Online,Default Group,N/A
SCH254.sabine.local,-,Win10,Online,Default Group,N/A
SCH255.sabine.local,-,Win10,Online,Default Group,N/A
SCH256.sabine.local,-,Win10,Online,Default Group,N/A
SCH257.sabine.local,-,Win10,Online,Default Group,N/A
SCH258.sabine.local,-,Win10,8/3/2020,Default Group,N/A
SCH259.sabine.local,-,Win10,Online,Default Group,N/A
SCH260.sabine.local,-,Win10,Online,Default Group,N/A
SCH261.sabine.local,-,Win10,Online,Default Group,N/A
SCH262.sabine.local,-,Win10,7/25/2020,Default Group,N/A
SCH263.sabine.local,-,Win10,Online,Default Group,N/A
SCH264.sabine.local,-,Win10,Online,Default Group,N/A
SCH265.sabine.local,-,Win10,Online,Default Group,N/A
SCH266.sabine.local,-,Win10,Online,Default Group,N/A
SCH267.sabine.local,-,Win10,Online,Default Group,N/A
SCH268.sabine.local,-,Win10,Online,Default Group,N/A
SCH269.sabine.local,-,Win10,Online,Default Group,N/A
SCH270.sabine.local,-,Win10,Online,Default Group,N/A
SCHAMAZONTS.sabine.local,-,Win2008,Online,Default Group,N/A
SCHDC.sabine.local,-,Win2003,Online,Default Group,N/A
SCHFILESHARE1.sabine.local,-,Win2008,Online,Default Group,N/A
SCHLP102.sabine.local,-,Win7,5/23/2019,Default Group,N/A
SCHLP103.sabine.local,Needs Restart,Win7,5/20/2019,Default Group,N/A
SCHLP104.sabine.local,-,Win7,5/23/2019,Default Group,N/A
SCHLP105.sabine.local,-,Win7,Online,Default Group,N/A
SCHLP107,-,Win7,4/26/2020,Default Group,N/A
SCHLP113.sabine.local,-,Win7,4/8/2019,Default Group,N/A
schlp115.sabine.local,-,Win7,12/24/2019,Default Group,N/A
