Computer Alias,Action Required,OS,Last Connected,Group,Local Update Host
DietarySign.swisherhospital.com,-,Win10,Online,Default Group,N/A
SAVVY-RP3IMSCFN,-,Win7,Online,Default Group,N/A
smh-awesley.swisherhospital.com,-,Win7,Online,Default Group,N/A
SMH-D-HP2.swisherhospital.com,-,Win10,5/13/2020,Default Group,N/A
SMH-D-KellyM.swisherhospital.com,-,Win10,Online,USB Drives Enabled,N/A
SMH-D-PTGolf.swisherhospital.com,-,Win10,5/17/2020,Default Group,N/A
smh-Dietary1.swisherhospital.com,-,Win10,Online,Default Group,N/A
SMH-L-KellyM.swisherhospital.com,-,Win10,4/22/2020,Default Group,N/A
smh-lab01.swisherhospital.com,-,Win7,Online,Default Group,N/A
SMH-NGore.swisherhospital.com,-,Win10,5/17/2020,USB Drives Enabled,N/A
smh-phernandez.swisherhospital.com,-,Win7,Online,USB Drives Enabled,N/A
SMH-PT03.swisherhospital.com,-,Win10,5/17/2020,Default Group,N/A
smh-sehly.swisherhospital.com,-,Win7,5/15/2020,USB Drives Enabled,N/A
smh-sthompson.swisherhospital.com,-,Win7,Online,USB Drives Enabled,N/A
SMH-Surface02.swisherhospital.com,-,Win10,Online,Default Group,N/A
SMH-Surface3.swisherhospital.com,-,Win10,5/17/2020,Default Group,N/A
SMH-Surface6.swisherhospital.com,-,Win10,5/14/2020,Default Group,N/A
smh-surfaceMM.swisherhospital.com,-,Win10,5/15/2020,Default Group,N/A
smh-vgamez.swisherhospital.com,-,Win7,5/15/2020,USB Drives Enabled,N/A
SMHAcerAL.swisherhospital.com,-,Win10,Online,Default Group,N/A
SMHApp.swisherhospital.com,Needs Restart,Win2012,Online,Default Group,N/A
SMHClinic04.swisherhospital.com,-,Win7,Online,USB Drives Enabled,N/A
SMHClinic05.swisherhospital.com,-,Win7,Online,USB Drives Enabled,N/A
SMHClinic2.swisherhospital.com,-,Win10,5/16/2020,Default Group,N/A
SMHClinic3.swisherhospital.com,-,Win10,5/15/2020,Default Group,N/A
SMHClinic4.swisherhospital.com,-,Win10,5/16/2020,Default Group,N/A
SMHClinic5.swisherhospital.com,-,Win10,5/15/2020,Default Group,N/A
SMHClinic6.swisherhospital.com,-,Win10,5/15/2020,Default Group,N/A
SMHClinicN1.swisherhospital.com,-,Win10,5/17/2020,Default Group,N/A
SMHD02.swisherhospital.com,-,Win10,5/15/2020,Default Group,N/A
SMHD04.swisherhospital.com,-,Win10,Online,Default Group,N/A
SMHD06.swisherhospital.com,-,Win10,Online,USB Drives Enabled,N/A
SMHD07.swisherhospital.com,-,Win10,5/16/2020,Default Group,N/A
SMHDAngieD.swisherhospital.com,-,Win10,5/16/2020,USB Drives Enabled,N/A
SMHDC01.swisherhospital.com,Needs Restart,Win2012,Online,Default Group,N/A
SMHDC02.swisherhospital.com,Needs Restart,Win2012,Online,Default Group,N/A
SMHDebbieF.swisherhospital.com,-,Win10,5/15/2020,Default Group,N/A
SMHDebbieG.swisherhospital.com,-,Win10,5/15/2020,USB Drives Enabled,N/A
SMHDERTRoom.swisherhospital.com,-,Win10,5/17/2020,Default Group,N/A
SMHDReception1.swisherhospital.com,-,Win10,5/14/2020,USB Drives Enabled,N/A
SMHDReception2.swisherhospital.com,-,Win10,5/15/2020,USB Drives Enabled,N/A
SMHDrNurse1.swisherhospital.com,-,Win10,Online,Default Group,N/A
SMHDrNurse2.swisherhospital.com,-,Win10,Online,Default Group,N/A
