Device Name,Machine Name,Domain/Workgroup,Last Seen,Last Logged User,Last Reboot Time,IP Address,Customer Name,OS Type,OS Edition,OS Version,OS Build,Office,AntiVirus,Vendor,Motherboard,Model,Serial Number,Processor,Memory,Display,Sound,Harddrive,CDRom,Network Adapter,System Drive,MAC Addresses,Port 21,Port 25,Port 80,Port 443,Port 3389,Critical Patch,Security Patch,Service Pack Patch,Upgrade Patch,Optional Patches
TXSLMED117,TXSLMED117,txsleepmedicine.net,"May 14, 2020 2:52:06 AM","TXSLEEPMEDICINE\hgarcia (Since: May 13, 2020 7:34:27 AM)","May 13, 2020 11:40:45 PM",23.228.154.242/10.10.77.110;,Texas Sleep Medicine,Work Station,Microsoft Windows 10 Pro  x64,1903,18362.836,"Microsoft Office Professional 2007 SP3, Build  12.0.6612.1000",Symantec Endpoint Protection,HP,HP 82B4 ,HP ProDesk 600 G3 SFF,2UA73522L3,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz ,7.88 GB,Intel(R) HD Graphics 630,Intel(R) Display Audio,SAMSUNG MZ7LN256HMJP-000H1 (238GB),hp PLDS DVDRW  DU8AESH,Intel(R) Ethernet Connection (5) I219-LM,C,40:B0:34:FE:7B:C0 (Primary),0,0,0,0,1,0,0,2,0,1
TXSLMED116,TXSLMED116,txsleepmedicine.net,"May 13, 2020 8:51:55 PM","TXSLEEPMEDICINE\lcooper (Since: May 13, 2020 7:36:02 AM)","May 4, 2020 12:36:46 PM",23.228.154.242/10.10.77.121;,Texas Sleep Medicine,Work Station,Microsoft Windows 10 Pro  x64,1809,17763.1158,"Microsoft Office Professional 2007 SP3, Build  12.0.6612.1000",Symantec Endpoint Protection,HP,HP 82B4 ,HP ProDesk 600 G3 SFF,2UA73522LB,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz ,7.88 GB,Intel(R) HD Graphics 630,Intel(R) Display Audio,SAMSUNG MZ7LN256HMJP-000H1 (238GB),hp PLDS DVDRW  DU8AESH,Intel(R) Ethernet Connection (5) I219-LM,C,40:B0:34:FE:82:93 (Primary),0,0,0,0,1,0,3,3,0,2
TXSLMED115,TXSLMED115,txsleepmedicine.net,"May 14, 2020 2:52:09 AM","TXSLEEPMEDICINE\lcooper (Since: May 11, 2020 7:59:11 AM)","May 13, 2020 9:07:07 PM",23.228.154.242/10.10.77.109;,Texas Sleep Medicine,Work Station,Microsoft Windows 10 Pro  x64,1903,18362.836,"Microsoft Office Professional 2010, Build  14.0.5130.5003",Symantec Endpoint Protection,HP,HP 82F1 ,750-530qd,4CE7331Q3D,Intel(R) Core(TM) i5-7400 CPU @ 3.00GHz ,7.9 GB,AMD Radeon HD 5450,AMD High Definition Audio Device,SanDisk SD8SB8U-256G-1006 (238GB),hp PLDS DVDRW  DU8AESH,"Realtek PCIe GBE Family Controller,Intel(R) Dual Band Wireless-AC 7265,Bluetooth Device (Personal Area Network) #2,TP-Link Wireless USB Adapter",C,10:05:01:44:CC:D3 (Primary)34:E8:94:A2:79:7C 88:B1:11:16:AF:A3 88:B1:11:16:AF:A7 ,0,0,0,0,1,0,0,2,0,1
TXSLMED119,TXSLMED119,txsleepmedicine.net,"May 14, 2020 2:52:09 AM","TXSLEEPMEDICINE\ldalo (Since: Apr 14, 2020 8:48:57 AM)","April 15, 2020 11:13:40 PM",23.228.154.242/10.10.77.119;,Texas Sleep Medicine,Work Station,Microsoft Windows 10 Pro  x64,1903,18362.778,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Symantec Endpoint Protection,HP,HP 82B4 ,HP ProDesk 600 G3 SFF,MXL8211MMT,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz ,7.88 GB,Intel(R) HD Graphics 630,Intel(R) Display Audio,MTFDDAK256TBN-1AR1ZABHA (238GB),hp PLDS DVDRW  DU8AESH,"Intel(R) Ethernet Connection (5) I219-LM,TP-Link Wireless USB Adapter",C,18:60:24:F8:25:20 (Primary)34:E8:94:71:1E:DD ,0,0,0,0,1,0,3,3,0,1
TXSLMED118,TXSLMED118,txsleepmedicine.net,"May 13, 2020 11:41:08 PM","TXSLEEPMEDICINE\bhernandez (Since: May 13, 2020 9:00:55 AM)","May 13, 2020 11:38:48 PM",23.228.154.242/10.10.77.112;,Texas Sleep Medicine,Work Station,Microsoft Windows 10 Pro  x64,1903,18362.836,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Symantec Endpoint Protection,HP,HP 82B4 ,HP ProDesk 600 G3 SFF,2UA7511HYM,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz ,7.88 GB,Intel(R) HD Graphics 630,USB Audio Device,SAMSUNG MZ7LN256HAJQ-000H1 (238GB),hp PLDS DVDRW  DU8AESH,"Intel(R) Ethernet Connection (5) I219-LM,802.11n USB Wireless LAN Card,TP-Link Wireless USB Adapter",C,18:60:24:F0:59:C3 (Primary)34:E8:94:A2:79:24 C8:3A:35:CA:78:5B ,0,0,0,0,1,0,0,3,0,1
TXSLMED120,TXSLMED120,txsleepmedicine.net,"May 14, 2020 2:52:08 AM","TXSLEEPMEDICINE\chonsowetz (Since: Mar 10, 2020 7:44:08 AM)","May 13, 2020 11:56:50 PM",23.228.154.242/10.10.77.125;,Texas Sleep Medicine,Work Station,Microsoft Windows 10 Pro  x64,1903,18362.836,"Microsoft Office Professional 2007 SP3, Build  12.0.6612.1000",Symantec Endpoint Protection,MINIX,MINIX N42C-4 ,N42C-4,Default string,Intel(R) Pentium(R) CPU J4205 @ 1.50GHz ,7.85 GB,Intel(R) HD Graphics 505,Intel(R) Display Audio,"Samsung BJTD4R (29GB),WDC WDS250G2B0B (232GB)",,"Intel(R) Dual Band Wireless-AC 3168,Realtek PCIe GBE Family Controller #3,Bluetooth Device (Personal Area Network)",C,20:79:18:B5:EB:54 (Primary)20:79:18:B5:EB:58 A0:1E:0B:0D:66:F1 ,0,0,0,0,1,0,0,3,0,0
TXSLMED113,TXSLMED113,txsleepmedicine.net,"May 14, 2020 2:52:07 AM","TXSLEEPMEDICINE\agowda (Since: May 11, 2020 11:54:51 AM)","May 13, 2020 11:37:38 PM",23.228.154.242/10.10.77.120;,Texas Sleep Medicine,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.836,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Symantec Endpoint Protection,Dell Inc.,Dell Inc. 0D6H9T ,OptiPlex 990,C84QKS1,Intel(R) Core(TM) i5-2400 CPU @ 3.10GHz ,7.96 GB,NVIDIA GeForce GT 720,High Definition Audio Device,ST3320413AS (298GB),HL-DT-ST DVD+-RW GT50N,Intel(R) 82579LM Gigabit Network Connection #2,C,18:03:73:B9:FA:93 (Primary),0,0,0,0,1,0,0,2,0,0
TXSLMED108,TXSLMED108,txsleepmedicine.net,"May 14, 2020 2:52:09 AM","TXSLEEPMEDICINE\mmulvany (Since: Apr 29, 2020 10:51:53 AM)","May 13, 2020 11:45:29 PM",23.228.154.242/10.10.77.103;,Texas Sleep Medicine,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.836,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Symantec Endpoint Protection,Dell Inc.,Dell Inc. 0NKW6Y ,OptiPlex 790,HN1QSR1,Intel(R) Core(TM) i5-2400 CPU @ 3.10GHz ,7.88 GB,Intel(R) HD Graphics,High Definition Audio Device,TOSHIBA MK2561GSYN (232GB),HL-DT-ST DVD+-RW GT32N,Intel(R) 82579LM Gigabit Network Connection,C,18:03:73:C7:82:E5 (Primary),0,0,0,0,1,0,0,2,0,1
TXSLMED110,TXSLMED110,txsleepmedicine.net,"May 14, 2020 2:52:08 AM","TXSLEEPMEDICINE\calejandro (Since: May 7, 2020 9:41:45 AM)","May 13, 2020 11:42:47 PM",23.228.154.242/10.10.77.118;,Texas Sleep Medicine,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.836,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Symantec Endpoint Protection,Dell Inc.,Dell Inc. 0D6H9T ,OptiPlex 990,FY8WZQ1,Intel(R) Core(TM) i5-2500 CPU @ 3.30GHz ,7.96 GB,NVIDIA GeForce GT 720,High Definition Audio Device,WDC WD5000AAKX-753CA1 (465GB),PLDS DVD+-RW DS-8A5SH,"Intel(R) 82579LM Gigabit Network Connection,TP-Link Wireless USB Adapter",C,34:E8:94:A2:79:52 78:2B:CB:B7:CF:6B (Primary),0,0,0,0,1,0,0,2,0,1
TXSLMED111,TXSLMED111,txsleepmedicine.net,"May 14, 2020 2:52:10 AM","TXSLEEPMEDICINE\mmulvany (Since: Mar 30, 2020 8:03:57 AM)","April 17, 2020 11:33:56 PM",23.228.154.242/10.10.77.104;,Texas Sleep Medicine,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.778,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Symantec Endpoint Protection,Dell Inc.,Dell Inc. 0D6H9T ,OptiPlex 990,FY820R1,Intel(R) Core(TM) i5-2500 CPU @ 3.30GHz ,7.88 GB,Intel(R) HD Graphics,High Definition Audio Device,WDC WD5000AAKX-753CA1 (465GB),PLDS DVD+-RW DS-8A5SH,Intel(R) 82579LM Gigabit Network Connection,C,78:2B:CB:B7:CB:47 (Primary),0,0,0,0,1,0,3,3,0,0
