Computer Alias,Action Required,OS,Last Connected,Group,Local Update Host
EXAM2-PC.txsleepmedicine.net,-,Win7,Online,Default Group,N/A
ROOM1.txsleepmedicine.net,-,Win7,Online,Default Group,N/A
ROOM2.txsleepmedicine.net,-,Win7,Online,Default Group,N/A
ROOM3.txsleepmedicine.net,-,Win7,Online,Default Group,N/A
ROOM4.txsleepmedicine.net,-,Win7,Online,Default Group,N/A
ROOM5.txsleepmedicine.net,-,Win10,5/13/2020,Default Group,N/A
SBS01.txsleepmedicine.net,Needs Restart,Win2008,Online,Default Group,N/A
SOUTHDATA.txsleepmedicine.net,Needs Restart,Win2008,Online,Default Group,N/A
TSMEMDSVS.txsleepmedicine.net,Needs Restart,Win2008,Online,Default Group,N/A
TXSLMED103.txsleepmedicine.net,-,Win7,Online,Default Group,N/A
TXSLMED106.txsleepmedicine.net,-,Win10,Online,Default Group,N/A
TXSLMED107.txsleepmedicine.net,-,Win10,3/20/2020,Default Group,N/A
TXSLMED108.txsleepmedicine.net,-,Win10,Online,Default Group,N/A
TXSLMED109,-,Win10,5/13/2020,Default Group,N/A
TXSLMED110.txsleepmedicine.net,-,Win10,Online,Default Group,N/A
TXSLMED111.txsleepmedicine.net,-,Win10,Online,Default Group,N/A
TXSLMED113.txsleepmedicine.net,-,Win10,Online,Default Group,N/A
TXSLMED114,-,Win10,Online,Default Group,N/A
TXSLMED115,-,Win10,Online,Default Group,N/A
TXSLMED116,-,Win10,5/13/2020,Default Group,N/A
TXSLMED117,-,Win10,Online,Default Group,N/A
TXSLMED118,-,Win10,5/13/2020,Default Group,N/A
TXSLMED119,-,Win10,Online,Default Group,N/A
TXSLMED120.txsleepmedicine.net,-,Win10,Online,Default Group,N/A
TXSLMED121,-,Win10,Online,Default Group,N/A
