Device Name,Machine Name,Domain/Workgroup,Last Seen,Last Logged User,Last Reboot Time,IP Address,Customer Name,OS Type,OS Edition,OS Version,OS Build,Office,AntiVirus,Vendor,Motherboard,Model,Serial Number,Processor,Memory,Display,Sound,Harddrive,CDRom,Network Adapter,System Drive,MAC Addresses,Port 21,Port 25,Port 80,Port 443,Port 3389,Critical Patch,Security Patch,Service Pack Patch,Upgrade Patch,Optional Patches
PC45,PC45,Treehouse.local,"May 14, 2020 2:52:09 AM","TREEHOUSE\brivera (Since: Apr 17, 2020 7:45:25 AM)","May 13, 2020 4:14:24 PM",97.77.159.210/192.168.16.189;,Treehouse Pediatrics,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.836,"Microsoft Office Professional 2010 SP2, Build  14.0.7015.1000",Symantec Endpoint Protection,HP,HP 8299 ,HP EliteDesk 800 G3 SFF,2UA735232N,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz ,7.88 GB,Intel(R) HD Graphics 630,Intel(R) Display Audio,SAMSUNG MZVLW256HEHP-000H1 (238GB),hp PLDS DVDRW  DU8AESH,Intel(R) Ethernet Connection (5) I219-LM,C,40:B0:34:39:9F:23 (Primary),0,0,0,0,1,0,0,3,0,0
PC34,PC34,Treehouse.local,"May 14, 2020 2:52:07 AM","TREEHOUSE\Amandahiggins (Since: May 12, 2020 7:27:12 AM)","April 30, 2020 3:02:20 PM",97.77.159.210/192.168.16.87;,Treehouse Pediatrics,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Professional 2007 SP3, Build  12.0.6612.1000",Symantec Endpoint Protection,Dell Inc.,Dell Inc. 0G261D ,OptiPlex 960,JDBHNL1,Intel(R) Core(TM)2 Duo CPU E8400 @ 3.00GHz ,7.87 GB,RADEON X600 Series (Microsoft Corporation - WDDM) ,SoundMAX Integrated Digital High Definition Audio,WDC WDS250G1B0A-00H9H0 (232GB),TSSTcorp DVD+-RW TS-L633J,Intel(R) 82567LM-3 Gigabit Network Connection,C,00:26:B9:86:37:47 (Primary)00:FF:CF:44:09:35 ,0,0,0,0,1,0,2,2,0,2
PC54,PC54,Treehouse.local,"May 14, 2020 2:52:09 AM","TREEHOUSE\selu (Since: Apr 30, 2020 11:59:34 AM)","April 30, 2020 4:58:29 PM",97.77.159.210/192.168.16.218;,Treehouse Pediatrics,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.778,"Microsoft Office Professional 2010 SP2, Build  14.0.7015.1000",Symantec Endpoint Protection,Intel(R) Client Systems,Intel Corporation NUC7i5BNB ,NUC7i5BNK,G6BN943009PP,Intel(R) Core(TM) i5-7260U CPU @ 2.20GHz ,7.89 GB,Intel(R) Iris(R) Plus Graphics 640,USB Audio Device,ADATA SX6000LNP (476GB),,"Intel(R) Ethernet Connection (4) I219-V,Intel(R) Dual Band Wireless-AC 8265,Bluetooth Device (Personal Area Network)",C,1C:69:7A:0B:2F:12 (Primary)DC:71:96:71:9F:94 DC:71:96:71:9F:98 ,0,0,0,0,1,0,1,3,0,0
PC53,PC53,Treehouse.local,"May 14, 2020 2:52:06 AM","TREEHOUSE\nurses (Since: May 11, 2020 7:52:14 AM)","May 13, 2020 9:09:35 PM",97.77.159.210/192.168.16.168;,Treehouse Pediatrics,Work Station,Microsoft Windows 10 Pro  x64,1903,18362.836,"Microsoft Office Professional 2010 SP2, Build  14.0.7015.1000",Symantec Endpoint Protection,Intel(R) Client Systems,Intel Corporation NUC7i5BNB ,NUC7i5BNK,G6BN912005Y6,Intel(R) Core(TM) i5-7260U CPU @ 2.20GHz ,7.89 GB,Intel(R) Iris(R) Plus Graphics 640,Intel(R) Display Audio,Micron_1100_MTFDDAV512TBN (476GB),,"Intel(R) Ethernet Connection (4) I219-V,Intel(R) Dual Band Wireless-AC 8265,Bluetooth Device (Personal Area Network)",C,00:FF:99:08:60:05 (Primary)94:C6:91:AF:2F:AB FC:77:74:BD:D7:5B FC:77:74:BD:D7:5F ,0,0,0,0,1,0,0,3,0,0
PC50,PC50,Treehouse.local,"May 14, 2020 2:52:07 AM","TREEHOUSE\CassieB (Since: May 11, 2020 6:21:44 AM)","May 13, 2020 12:38:06 PM",97.77.159.210/192.168.16.186;,Treehouse Pediatrics,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.836,"Microsoft Office Professional 2010 SP2, Build  14.0.7015.1000",Symantec Endpoint Protection,Intel(R) Client Systems,Intel Corporation NUC7i5BNB ,NUC7i5BNK,G6BN91000D08,Intel(R) Core(TM) i5-7260U CPU @ 2.20GHz ,7.89 GB,Intel(R) Iris(R) Plus Graphics 640,Intel(R) Display Audio,ADATA SX6000LNP (476GB),,"Intel(R) Ethernet Connection (4) I219-V,Intel(R) Dual Band Wireless-AC 8265,Bluetooth Device (Personal Area Network)",C,94:C6:91:AE:75:D4 (Primary)98:3B:8F:F9:6C:3F 98:3B:8F:F9:6C:43 ,0,0,0,0,1,0,0,3,0,0
PC44,PC44,Treehouse.local,"May 14, 2020 2:52:07 AM","TREEHOUSE\kkurz (Since: May 13, 2020 7:22:00 AM)","May 13, 2020 12:40:04 AM",97.77.159.210/192.168.16.156;,Treehouse Pediatrics,Work Station,Microsoft Windows 10 Pro  x64,1903,18362.836,"Microsoft Office Professional 2010 SP2, Build  14.0.7015.1000",Symantec Endpoint Protection,HP,HP 8299 ,HP EliteDesk 800 G3 SFF,2UA735231F,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz ,7.88 GB,Intel(R) HD Graphics 630,Intel(R) Display Audio,SAMSUNG MZVLW256HEHP-000H1 (238GB),hp PLDS DVDRW  DU8AESH,Intel(R) Ethernet Connection (5) I219-LM,C,40:B0:34:1E:AA:23 (Primary),0,0,0,0,1,0,0,3,0,0
PC51,PC51,Treehouse.local,"May 14, 2020 2:52:09 AM","TREEHOUSE\wtravis (Since: Apr 30, 2020 11:50:11 AM)","May 13, 2020 10:40:08 PM",97.77.159.210/192.168.16.148;,Treehouse Pediatrics,Work Station,Microsoft Windows 10 Pro  x64,1903,18362.836,"Microsoft Office Professional 2010 SP2, Build  14.0.7015.1000",Symantec Endpoint Protection,Intel(R) Client Systems,Intel Corporation NUC7i5BNB ,NUC7i5BNK,G6BN90900B9H,Intel(R) Core(TM) i5-7260U CPU @ 2.20GHz ,7.89 GB,Intel(R) Iris(R) Plus Graphics 640,Intel(R) Display Audio,Micron_1100_MTFDDAV512TBN (476GB),,"Intel(R) Ethernet Connection (4) I219-V,Intel(R) Dual Band Wireless-AC 8265,Bluetooth Device (Personal Area Network)",C,00:FF:4E:5E:D1:41 (Primary)48:F1:7F:C5:FE:4F 48:F1:7F:C5:FE:53 94:C6:91:AD:BA:16 ,0,0,0,0,1,0,0,3,0,0
TREEHOUSEAPP,TREEHOUSEAPP,Treehouse.local,"May 14, 2020 2:52:06 AM","TREEHOUSE\administrator (Since: Feb 19, 2020 11:07:24 AM),TREEHOUSE\tntbackup (Since: Apr 28, 2020 1:12:55 PM)","May 1, 2020 1:19:01 AM",97.77.159.210/192.168.16.49;169.254.67.224;,Treehouse Pediatrics,Server,Microsoft Windows Server 2008 R2 Enterprise SP1 x64,6.1,7601,N/A,,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,8161-5506-4836-9869-9690-7905-24,Intel(R) Xeon(R) CPU E5645 @ 2.40GHz ,8 GB,Microsoft Virtual Machine Bus Video Device,N/A,Virtual HD ATA Device (126GB),Msft Virtual CD/ROM ATA Device,Microsoft Virtual Machine Bus Network Adapter,C,00:15:5D:10:51:07 (Primary)02:00:4C:4F:4F:50 ,0,0,1,1,1,0,1,0,0,1
PC46,PC46,Treehouse.local,"May 14, 2020 2:52:09 AM","TREEHOUSE\nurses (Since: Apr 30, 2020 11:51:12 AM)","May 13, 2020 12:03:10 AM",97.77.159.210/192.168.16.115;,Treehouse Pediatrics,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.836,"Microsoft Office Professional 2010 SP2, Build  14.0.7015.1000",Symantec Endpoint Protection,Dell Inc.,Dell Inc. 08NPPY ,OptiPlex 3050,JFDXXM2,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz ,7.89 GB,Intel(R) HD Graphics 630,Realtek Audio,Micron 1100 SATA 256GB (238GB),PLDS DVD+-RW DU-8A5LH,"Realtek PCIe GBE Family Controller,NETGEAR A6100 WiFi Adapter",C,8C:3B:AD:12:C9:0D D8:9E:F3:31:25:28 (Primary),0,0,0,0,1,0,0,3,0,0
PC31,PC31,Treehouse.local,"May 12, 2020 9:31:45 PM","TREEHOUSE\debbiea (Since: May 11, 2020 8:17:26 AM)","May 12, 2020 1:19:36 PM",97.77.159.210/192.168.16.97;,Treehouse Pediatrics,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Professional 2010 SP2, Build  14.0.7015.1000",Symantec Endpoint Protection,Dell Inc.,Dell Inc. 0F428D ,OptiPlex 960,DL7DRL1,Intel(R) Core(TM)2 Duo CPU E8400 @ 3.00GHz ,7.87 GB,NVIDIA GeForce GT 720,NVIDIA High Definition Audio,KINGSTON SA400S37120G (111GB),PLDS DVD+-RW DH-16AAS,Intel(R) 82567LM-3 Gigabit Network Connection,C,00:26:B9:8A:50:00 (Primary),0,0,0,0,1,0,0,3,0,1
