Computer Alias,Action Required,OS,Last Connected,Group,Local Update Host
DESKTOP-0FSG8N3,-,Win10,3/7/2020,Default Group,N/A
DTS_EPRESCRIBE.Treehouse.local,-,Win2008,Online,Default Group,N/A
PC14.Treehouse.local,-,Win7,5/13/2020,Default Group,N/A
PC16.Treehouse.local,-,Win7,9/5/2019,Default Group,N/A
PC17,-,Win7,Online,Default Group,N/A
PC19,-,Win7,Online,Default Group,N/A
PC21-PC.Treehouse.local,-,Win7,Online,Default Group,N/A
PC23-PC.Treehouse.local,-,Win7,Online,Default Group,N/A
PC24-PC.Treehouse.local,-,Win7,Online,Default Group,N/A
PC25-PC,-,Win7,Online,Default Group,N/A
PC26-PC.Treehouse.local,-,Win7,Online,Default Group,N/A
PC27.Treehouse.local,-,Win7,Online,Default Group,N/A
PC28.Treehouse.local,-,Win7,Online,Default Group,N/A
PC30.Treehouse.local,-,Win7,Online,Default Group,N/A
PC31.Treehouse.local,-,Win7,5/12/2020,Default Group,N/A
PC33.Treehouse.local,-,Win7,4/30/2020,Default Group,N/A
PC34,-,Win7,Online,Default Group,N/A
PC36.Treehouse.local,-,Win7,Online,Default Group,N/A
PC37.Treehouse.local,-,Win7,Online,Default Group,N/A
PC38.Treehouse.local,-,Win7,4/3/2020,Default Group,N/A
PC39.Treehouse.local,-,Win7,Online,Default Group,N/A
PC40.Treehouse.local,-,Win7,4/3/2020,Default Group,N/A
PC42_LAPTOP,-,Win7,5/13/2020,Default Group,N/A
PC43_LAPTOP,-,Win10,5/13/2020,Default Group,N/A
PC44,-,Win10,Online,Default Group,N/A
PC45,-,Win10,Online,Default Group,N/A
PC46,-,Win10,Online,Default Group,N/A
PC50,-,Win10,Online,Default Group,N/A
PC51,-,Win10,Online,Default Group,N/A
PC52,-,Win10,5/13/2020,Default Group,N/A
PC53,-,Win10,Online,Default Group,N/A
PC54,-,Win10,Online,Default Group,N/A
PC5NEW.Treehouse.local,-,Win7,Online,Default Group,N/A
ROBIN-LPT,-,Win7,5/13/2020,Default Group,N/A
THPTAB102,-,Win10,Online,Default Group,N/A
THPTAB107.Treehouse.local,-,Win10,5/13/2020,Default Group,N/A
THPTAB121.Treehouse.local,-,Win10,5/2/2020,Default Group,N/A
THPTAB122.Treehouse.local,-,Win10,5/13/2020,Default Group,N/A
THPTAB125,-,Win10,Online,Default Group,N/A
THPTAB126,-,Win10,Online,Default Group,N/A
THPTAB127,-,Win10,4/13/2020,Default Group,N/A
TREEHOUSE-TS2.Treehouse.local,-,Win2008,Online,Default Group,N/A
TREEHOUSE1.Treehouse.local,Needs Restart,Win2003,7/17/2019,Default Group,N/A
