Device Name,Machine Name,Domain/Workgroup,Last Seen,Last Logged User,Last Reboot Time,IP Address,Customer Name,OS Type,OS Edition,OS Version,OS Build,Office,AntiVirus,Vendor,Motherboard,Model,Serial Number,Processor,Memory,Display,Sound,Harddrive,CDRom,Network Adapter,System Drive,MAC Addresses,Port 21,Port 25,Port 80,Port 443,Port 3389,Critical Patch,Security Patch,Service Pack Patch,Upgrade Patch,Optional Patches
VCOT118TEMPLE,VCOT118TEMPLE,WORKGROUP,"May 14, 2020 1:49:40 AM","VCOT118TEMPLE\Reception (Since: May 13, 2020 6:26:45 PM)","May 13, 2020 11:26:05 PM",64.183.211.138/192.168.152.198;,Texas Vision,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.836,N/A,Windows Defender,LENOVO,LENOVO 3151 ,11A4001WUS,MJ0B7NX9,AMD Ryzen 5 PRO 3400GE w/ Radeon Vega Graphics ,5.93 GB,AMD Radeon(TM) Vega 11 Graphics,AMD High Definition Audio Device,WDC PC SN730 SDBQNTY-256G-1001 (238GB),,"Intel(R) Wireless-AC 9260 160MHz,Realtek PCIe GbE Family Controller,Bluetooth Device (Personal Area Network)",C,0C:7A:15:CB:46:CA (Primary)0C:7A:15:CB:46:CE 6C:4B:90:CA:41:89 ,0,0,0,0,1,0,1,3,0,0
VCOT113TEMPLE,VCOT113TEMPLE,WORKGROUP,"May 13, 2020 10:12:15 PM","VCOT113TEMPLE\Exam Room 5 (Since: May 13, 2020 1:47:55 PM)","May 13, 2020 6:47:32 PM",64.183.211.138/192.168.152.184;,Texas Vision,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.778,N/A,Windows Defender,LENOVO,LENOVO 3151 ,11A4001WUS,MJ0B7ZD1,AMD Ryzen 5 PRO 3400GE w/ Radeon Vega Graphics ,5.93 GB,AMD Radeon(TM) Vega 11 Graphics,AMD High Definition Audio Device,SAMSUNG MZVLB256HBHQ-000L7 (238GB),,"Realtek PCIe GbE Family Controller,Bluetooth Device (Personal Area Network) #2,Intel(R) Wireless-AC 9260 160MHz",C,0C:7A:15:EF:48:09 0C:7A:15:EF:48:0D 6C:4B:90:CA:37:32 (Primary),0,0,0,0,1,0,4,2,0,0
VCOT114TEMPLE,VCOT114TEMPLE,WORKGROUP,"May 13, 2020 10:12:14 PM","VCOT114TEMPLE\Exam Room 4 (Since: May 6, 2020 3:33:20 PM)","April 16, 2020 5:00:22 AM",64.183.211.138/192.168.152.199;,Texas Vision,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.778,N/A,Windows Defender,LENOVO,LENOVO 3151 ,11A4001WUS,MJ0B7YWW,AMD Ryzen 5 PRO 3400GE w/ Radeon Vega Graphics ,5.93 GB,AMD Radeon(TM) Vega 11 Graphics,AMD High Definition Audio Device,WDC PC SN730 SDBQNTY-256G-1001 (238GB),,"Intel(R) Wireless-AC 9260 160MHz,Realtek PCIe GbE Family Controller,Bluetooth Device (Personal Area Network)",C,0C:7A:15:C3:ED:E9 (Primary)0C:7A:15:C3:ED:ED 6C:4B:90:CA:32:95 ,0,0,0,0,1,0,3,3,0,0
VCOT115TEMPLE,VCOT115TEMPLE,WORKGROUP,"May 14, 2020 1:26:54 AM","VCOT115TEMPLE\Exam Room 3 (Since: May 13, 2020 8:25:03 PM)","May 14, 2020 1:24:41 AM",64.183.211.138/192.168.152.100;,Texas Vision,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.836,N/A,Windows Defender,LENOVO,LENOVO 3151 ,11A4001WUS,MJ0B7ZRY,AMD Ryzen 5 PRO 3400GE w/ Radeon Vega Graphics ,5.93 GB,AMD Radeon(TM) Vega 11 Graphics,AMD High Definition Audio Device,WDC PC SN730 SDBQNTY-256G-1001 (238GB),,"Intel(R) Wireless-AC 9260 160MHz,Realtek PCIe GbE Family Controller,Bluetooth Device (Personal Area Network)",C,0C:7A:15:CB:55:89 (Primary)0C:7A:15:CB:55:8D 6C:4B:90:CA:34:8E ,0,0,0,0,1,0,0,3,0,0
VCOT116TEMPLE,VCOT116TEMPLE,WORKGROUP,"May 13, 2020 10:49:23 PM","VCOT116TEMPLE\Exam Room 2 (Since: May 5, 2020 1:15:37 PM),VCOT116TEMPLE\tntadmin (Since: May 8, 2020 12:45:08 PM)","April 15, 2020 5:25:36 PM",64.183.211.138/192.168.152.105;,Texas Vision,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.778,N/A,Windows Defender,LENOVO,LENOVO 3151 ,11A4001WUS,MJ0B7S1S,AMD Ryzen 5 PRO 3400GE w/ Radeon Vega Graphics ,5.93 GB,AMD Radeon(TM) Vega 11 Graphics,AMD High Definition Audio Device,WDC PC SN730 SDBQNTY-256G-1001 (238GB),,"Intel(R) Wireless-AC 9260 160MHz,Realtek PCIe GbE Family Controller,Bluetooth Device (Personal Area Network)",C,0C:7A:15:EF:92:87 (Primary)0C:7A:15:EF:92:8B 6C:4B:90:C6:95:E3 ,0,0,0,0,1,0,1,3,0,0
VCOT119TEMPLE,VCOT119TEMPLE,WORKGROUP,"May 13, 2020 3:32:06 PM","VCOT119TEMPLE\tntadmin (Since: Apr 27, 2020 10:47:57 AM),VCOT119TEMPLE\Laura Beulah (Since: May 13, 2020 11:26:37 AM)","April 27, 2020 3:47:44 PM",64.183.211.138/192.168.152.146;,Texas Vision,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.778,N/A,Windows Defender,LENOVO,LENOVO 3151 ,11A4001WUS,MJ0AR6AA,AMD Ryzen 5 PRO 3400GE w/ Radeon Vega Graphics ,5.93 GB,AMD Radeon(TM) Vega 11 Graphics,AMD High Definition Audio Device,SAMSUNG MZVLB256HBHQ-000L7 (238GB),,"Realtek PCIe GbE Family Controller,Qualcomm Atheros QCA61x4A Wireless Network Adapter,Bluetooth Device (Personal Area Network)",C,10:63:C8:E2:3B:C3 10:63:C8:E2:3B:C4 6C:4B:90:C0:F6:59 (Primary),0,0,0,0,1,0,4,3,0,0
VCOT117TEMPLE,VCOT117TEMPLE,WORKGROUP,"May 13, 2020 11:32:15 PM","VCOT117TEMPLE\tntadmin (Since: Apr 20, 2020 5:26:22 PM),VCOT117TEMPLE\Reception (Since: Apr 21, 2020 8:05:22 AM)","April 18, 2020 6:06:00 AM",64.183.211.138/127.0.0.1;,Texas Vision,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.778,N/A,Windows Defender,LENOVO,LENOVO 3151 ,11A4001WUS,MJ0AR6B3,AMD Ryzen 5 PRO 3400GE w/ Radeon Vega Graphics ,5.93 GB,AMD Radeon(TM) Vega 11 Graphics,AMD High Definition Audio Device,WDC PC SN730 SDBQNTY-256G-1001 (238GB),,"Realtek PCIe GbE Family Controller,Bluetooth Device (Personal Area Network) #2,Qualcomm Atheros QCA61x4A Wireless Network Adapter",C,10:63:C8:E2:42:85 10:63:C8:E2:42:86 6C:4B:90:C8:20:3F (Primary),0,0,0,0,1,0,0,0,0,0
VCOT121TEMPLE,VCOT121TEMPLE,WORKGROUP,"May 14, 2020 12:15:17 AM","VCOT121TEMPLE\tntadmin (Since: May 13, 2020 5:06:21 PM)","May 13, 2020 10:05:50 PM",64.183.211.138/192.168.152.167;,Texas Vision,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.836,"Microsoft Office Standard 2016, Build  16.0.4266.1001",Windows Defender,LENOVO,LENOVO 3151 ,11A4001WUS,MJ0AR69A,AMD Ryzen 5 PRO 3400GE w/ Radeon Vega Graphics ,5.93 GB,AMD Radeon(TM) Vega 11 Graphics,AMD High Definition Audio Device,SAMSUNG MZVLB256HBHQ-000L7 (238GB),,"Realtek PCIe GbE Family Controller,Qualcomm Atheros QCA61x4A Wireless Network Adapter,Bluetooth Device (Personal Area Network)",C,10:63:C8:E2:64:A3 10:63:C8:E2:64:A4 6C:4B:90:C8:17:F0 (Primary),0,0,0,0,1,0,0,3,0,0
VCOT120TEMPLE,VCOT120TEMPLE,WORKGROUP,"May 13, 2020 10:03:55 PM","VCOT120TEMPLE\tntadmin (Since: May 13, 2020 11:53:02 AM)","May 13, 2020 4:52:14 PM",64.183.211.138/192.168.152.182;,Texas Vision,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.836,N/A,Windows Defender,LENOVO,LENOVO 3151 ,11A4001WUS,MJ0AR680,AMD Ryzen 5 PRO 3400GE w/ Radeon Vega Graphics ,5.93 GB,AMD Radeon(TM) Vega 11 Graphics,AMD High Definition Audio Device,SAMSUNG MZVLB256HBHQ-000L7 (238GB),,"Realtek PCIe GbE Family Controller,Qualcomm Atheros QCA61x4A Wireless Network Adapter,Bluetooth Device (Personal Area Network)",C,10:63:C8:E6:52:6F 10:63:C8:E6:52:70 6C:4B:90:C8:16:C2 (Primary),0,0,0,0,0,0,1,3,0,0
VCOT122TEMPLE,VCOT122TEMPLE,WORKGROUP,"May 13, 2020 9:58:06 PM","VCOT122TEMPLE\tntadmin (Since: Apr 30, 2020 8:14:50 AM)","April 30, 2020 1:14:27 PM",64.183.211.138/192.168.152.197;,Texas Vision,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.778,"Microsoft Office Standard 2016, Build  16.0.4266.1001",Windows Defender,LENOVO,LENOVO 3151 ,11A4001WUS,MJ0AR691,AMD Ryzen 5 PRO 3400GE w/ Radeon Vega Graphics ,5.93 GB,AMD Radeon(TM) Vega 11 Graphics,AMD High Definition Audio Device,SAMSUNG MZVLB256HBHQ-000L7 (238GB),,"Realtek PCIe GbE Family Controller,Qualcomm Atheros QCA61x4A Wireless Network Adapter,Bluetooth Device (Personal Area Network)",C,10:63:C8:E2:5C:FD 10:63:C8:E2:5C:FE 6C:4B:90:C8:17:B0 (Primary),0,0,0,0,1,0,1,3,0,0
