Computer Alias,Action Required,OS,Last Connected,Group,Local Update Host
IT-PC,-,Win7,Online,Default Group,N/A
KHHLWTS1.pmchealthland.local,-,Win2008,Online,Default Group,N/A
KIMBLE103.kimble.local,-,Win7,Online,Default Group,N/A
Kimble128.kimble.local,-,Win7,8/3/2020,Default Group,N/A
KIMBLE129.kimble.local,-,Win7,Online,Default Group,N/A
KIMBLE132.kimble.local,-,Win7,Online,Default Group,N/A
KIMBLE140,-,Win7,6/30/2020,Default Group,N/A
KIMBLE149.kimble.local,-,Win7,Online,Default Group,N/A
KIMBLE150.kimble.local,-,Win7,Online,Default Group,N/A
KIMBLE152.kimble.local,-,Win7,Online,Default Group,N/A
KIMBLE153.kimble.local,-,Win7,Online,Default Group,N/A
Kimble154.kimble.local,-,Win7,Online,Default Group,N/A
KIMBLE155.kimble.local,-,Win7,Online,Default Group,N/A
KIMBLE157.kimble.local,-,Win7,Online,Default Group,N/A
KIMBLE158.kimble.local,-,Win7,7/31/2020,Default Group,N/A
KIMBLE160.kimble.local,-,Win7,Online,Default Group,N/A
KIMBLE162.kimble.local,-,Win7,Online,Default Group,N/A
KIMBLE168.kimble.local,-,Win7,Online,Default Group,N/A
KIMBLE172.kimble.local,-,Win7,Online,Default Group,N/A
KIMBLE174.kimble.local,-,Win7,Online,Default Group,N/A
KIMBLE175.kimble.local,-,Win7,Online,Default Group,N/A
KIMBLE183.kimble.local,-,Win7,Online,Default Group,N/A
KIMBLE184.kimble.local,-,Win7,Online,Default Group,N/A
Kimble186.kimble.local,-,Win7,Online,Default Group,N/A
Kimble187.kimble.local,-,Win7,Online,Default Group,N/A
Kimble189.kimble.local,-,Win7,Online,Default Group,N/A
KIMBLE190.kimble.local,-,Win7,Online,Default Group,N/A
KIMBLE192.kimble.local,-,Win7,8/3/2020,Default Group,N/A
KIMBLE194.kimble.local,-,Win7,7/31/2020,Default Group,N/A
KIMBLE196.kimble.local,-,Win7,Online,Default Group,N/A
KIMBLE198.kimble.local,-,Win7,Online,Default Group,N/A
KIMBLE199.kimble.local,-,Win7,Online,Default Group,N/A
KIMBLE201.kimble.local,-,Win7,Online,Default Group,N/A
kimble202.kimble.local,-,Win10,Online,Default Group,N/A
KIMBLE204,-,Win10,Online,Default Group,N/A
KIMBLE205.kimble.local,-,Win10,8/3/2020,Default Group,N/A
KIMBLE206.kimble.local,-,Win10,Online,Default Group,N/A
KIMBLE207.kimble.local,-,Win10,Online,Default Group,N/A
KIMBLE208.kimble.local,-,Win10,Online,Default Group,N/A
KIMBLE209.kimble.local,-,Win10,Online,Default Group,N/A
KIMBLE210.kimble.local,-,Win10,Online,Default Group,N/A
KIMBLE212.kimble.local,-,Win10,8/3/2020,Default Group,N/A
KIMBLE213.kimble.local,-,Win10,Online,Default Group,N/A
KIMBLE214.kimble.local,-,Win10,Online,Default Group,N/A
KIMBLE215.kimble.local,-,Win10,Online,Default Group,N/A
KIMBLE216,-,Win10,Online,Default Group,N/A
KIMBLE217.kimble.local,-,Win10,Online,Default Group,N/A
KIMBLE218.kimble.local,-,Win10,Online,Default Group,N/A
KIMBLE219,-,Win10,Online,Default Group,N/A
KIMBLE220,-,Win10,Online,Default Group,N/A
KIMBLE221.kimble.local,-,Win10,Online,Default Group,N/A
KIMBLE222.kimble.local,-,Win10,Online,Default Group,N/A
KIMBLE223.kimble.local,-,Win10,Online,Default Group,N/A
KIMBLE224.kimble.local,-,Win10,8/3/2020,Default Group,N/A
KIMBLE226,-,Win10,Online,Default Group,N/A
KIMBLE227,-,Win10,Online,Default Group,N/A
KIMBLE271,-,Win10,Online,Default Group,N/A
KIMBLEFILESHARE.kimble.local,Needs Restart,Win2012,Online,Default Group,N/A
KIMBLELPT104,-,Win7,7/30/2020,Default Group,N/A
KIMBLELPT105,-,Win10,8/2/2020,Default Group,N/A
KIMBLELPT106,-,Win10,7/29/2020,Default Group,N/A
KIMBLELPT107.kimble.local,-,Win10,Online,Default Group,N/A
KIMBLELPT108.kimble.local,-,Win10,1/7/2020,Default Group,N/A
KIMBLELPT109.kimble.local,-,Win10,Online,Default Group,N/A
KIMBLELPT110,-,Win10,8/2/2020,Default Group,N/A
KIMBLELPT111,-,Win10,5/25/2020,Default Group,N/A
KIMBLELPT112,-,Win10,5/24/2020,Default Group,N/A
KIMBLELPT113,-,Win10,7/30/2020,Default Group,N/A
KIMBLELPT114,-,Win10,Online,Default Group,N/A
KIMBLELPT115,-,Win10,Online,Default Group,N/A
KIMBLELPT116.kimble.local,-,Win10,Online,Default Group,N/A
KIMBLELPT117,-,Win10,8/3/2020,Default Group,N/A
KIMBLETAB100,-,Win10,7/29/2020,Default Group,N/A
KIMBLETS1.kimble.local,-,Win2008,Online,Default Group,N/A
LAB_SERVER2.kimble.local,-,Win2008,Online,Default Group,N/A
SERVER1.kimble.local,-,Win2016,Online,Default Group,N/A
SERVER2.kimble.local,-,Win2016,Online,Default Group,N/A
TRANELAPTOP.kimble.local,-,Win7,8/1/2020,Default Group,N/A
