Device Name,Machine Name,Domain/Workgroup,Last Seen,Last Logged User,Last Reboot Time,IP Address,Customer Name,OS Type,OS Edition,OS Version,OS Build,Office,AntiVirus,Vendor,Motherboard,Model,Serial Number,Processor,Memory,Display,Sound,Harddrive,CDRom,Network Adapter,System Drive,MAC Addresses,Port 21,Port 25,Port 80,Port 443,Port 3389,Critical Patch,Security Patch,Service Pack Patch,Upgrade Patch,Optional Patches
WMH122,WMH122,wardmemorial.org,"April 21, 2020 8:48:56 PM","WARDMEMORIAL\ltavarez (Since: Apr 17, 2020 1:03:24 PM)","April 17, 2020 9:57:09 PM",207.140.198.130/192.168.0.125;,Ward Memorial Hospital,Work Station,Microsoft Windows 10 Pro  x64,1803,17134.472,"Microsoft Office Standard 2016, Build  16.0.4266.1001",Symantec Endpoint Protection,HP,HP 82A2 ,HP ProDesk 400 G4 SFF,MXL81411SF,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz ,7.9 GB,Intel(R) HD Graphics 630,Intel(R) Display Audio,MTFDDAK256TBN-1AR1ZABHA (238GB),hp PLDS DVDRW  DU8AESH,Realtek PCIe GBE Family Controller,C,18:60:24:EA:52:9B (Primary),0,0,0,0,1,0,0,3,0,1
WMHLPT101,WMHLPT101,wardmemorial.org,"April 21, 2020 12:08:56 AM","WARDMEMORIAL\adeanda (Since: Mar 17, 2020 11:20:08 AM),WARDMEMORIAL\acartwright (Since: Mar 18, 2020 11:22:41 AM),WARDMEMORIAL\mcorralez (Since: Apr 20, 2020 11:09:27 AM)","March 12, 2020 1:48:30 PM",207.140.198.130/192.168.0.210;,Ward Memorial Hospital,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.719,"Microsoft Office Professional 2016, Build  16.0.4266.1001",Symantec Endpoint Protection,HP,HP 8101 ,HP ProBook 450 G3,5CD7135PT4,Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz ,7.9 GB,Intel(R) HD Graphics 520,Intel(R) Display Audio,SAMSUNG MZNLN256HMHQ-000 SCSI Disk Device (238GB),hp DVDRW GUD1N SCSI CdRom Device,"Realtek PCIe GBE Family Controller,Intel(R) Dual Band Wireless-AC 8260,Bluetooth Device (Personal Area Network)",C,14:AB:C5:68:DF:BC 14:AB:C5:68:DF:C0 3C:52:82:35:5B:AE (Primary),0,0,0,0,1,0,1,3,0,2
WMHHLWTS01,WMHHLWTS01,wardmemorial.org,"April 21, 2020 8:48:54 PM","WARDMEMORIAL\alowry (Since: Apr 21, 2020 5:20:07 AM),WARDMEMORIAL\jbarnhart (Since: Apr 21, 2020 5:28:26 AM),WARDMEMORIAL\dlariscy (Since: Apr 21, 2020 5:49:36 AM),WARDMEMORIAL\Marci.Tefft (Since: Apr 21, 2020 1:27:22 PM),WARDMEMORIAL\lbrittain (Since: Apr 21, 2020 6:01:18 AM),WARDMEMORIAL\thines (Since: Apr 21, 2020 6:01:29 AM),WARDMEMORIAL\jnaquin (Since: Apr 21, 2020 6:01:44 AM),WARDMEMORIAL\lhill (Since: Apr 21, 2020 6:47:26 AM),WARDMEMORIAL\lheiller (Since: Apr 21, 2020 7:13:15 AM),WARDMEMORIAL\plowery (Since: Apr 21, 2020 11:24:26 AM),WARDMEMORIAL\myoung (Since: Apr 21, 2020 12:13:04 PM),WARDMEMORIAL\sstoll (Since: Apr 21, 2020 8:08:55 AM),WARDMEMORIAL\lharrison (Since: Apr 21, 2020 9:13:54 AM),WARDMEMORIAL\tthibault (Since: Apr 21, 2020 9:48:46 AM)","April 21, 2020 7:00:48 AM",207.140.198.130/169.254.84.17;192.168.1.222;,Ward Memorial Hospital,Server,Microsoft Windows Server 2012 R2 Standard  x64,6.3,9600,N/A,Symantec Endpoint Protection,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,0439-2927-6154-9211-0568-5586-54,Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz ,8 GB,Microsoft Hyper-V Video,N/A,"Microsoft Virtual Disk (79GB),Microsoft Virtual Disk (99GB),Microsoft Virtual Disk (19GB)",Microsoft Virtual DVD-ROM,Microsoft Hyper-V Network Adapter #3,C,00:15:5D:10:92:02 02:00:4C:4F:4F:50 (Primary),0,0,0,0,1,0,0,3,0,4
WMH104,WMH104,wardmemorial.org,"April 21, 2020 8:48:56 PM","WARDMEMORIAL\dhillman (Since: Apr 19, 2020 5:57:57 PM)","April 19, 2020 10:56:48 PM",207.140.198.130/192.168.0.151;,Ward Memorial Hospital,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.778,"Microsoft Office Home & Business 2016, Build  16.0.12624.20466",Symantec Endpoint Protection,Dell Inc.,Dell Inc. 0HD5W2 ,OptiPlex 7040,DQSRCH2,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz ,15.87 GB,AMD Radeon(TM) R7 350X,AMD High Definition Audio Device,ST500DM0 02-1SB10A SCSI Disk Device (465GB),PLDS DVD+-RW DU-8A5LH SCSI CdRom Device,Intel(R) Ethernet Connection (2) I219-LM,C,48:4D:7E:EB:44:5E (Primary),0,0,0,0,1,0,0,3,0,1
WMH110,WMH110,wardmemorial.org,"April 21, 2020 8:48:54 PM","WARDMEMORIAL\sdaye (Since: Apr 20, 2020 12:45:17 PM)","April 20, 2020 5:35:23 PM",207.140.198.130/192.168.0.110;,Ward Memorial Hospital,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.778,"Microsoft Office Standard 2016, Build  16.0.4266.1001",Symantec Endpoint Protection,Dell Inc.,Dell Inc. 0MGK50 ,OptiPlex 3040,HLC6Z72,Intel(R) Core(TM) i5-6500T CPU @ 2.50GHz ,7.9 GB,Intel(R) HD Graphics 530,Intel(R) Display Audio,ST500LM0 21-1KJ152 SCSI Disk Device (465GB),BUFFALO Optical Drive USB Device,"Realtek PCIe GBE Family Controller,Intel(R) Dual Band Wireless-AC 8260,Bluetooth Device (Personal Area Network)",C,28:16:AD:77:A6:37 28:16:AD:77:A6:3B 50:9A:4C:42:11:12 (Primary),0,0,0,0,1,0,0,3,0,1
WMH136,WMH136,wardmemorial.org,"April 21, 2020 8:48:54 PM","WARDMEMORIAL\bhinojosa (Since: Apr 9, 2020 9:02:38 AM)","April 9, 2020 2:02:03 PM",207.140.198.130/192.168.0.124;,Ward Memorial Hospital,Work Station,Microsoft Windows 10 Pro  x64,1803,17134.829,"Microsoft Office Standard 2016, Build  16.0.4266.1001",Symantec Endpoint Protection,HP,HP 83F2 ,HP ProDesk 400 G5 SFF,MXL9010NPV,Intel(R) Core(TM) i5-8500 CPU @ 3.00GHz ,7.85 GB,Intel(R) UHD Graphics 630,Synaptics HD Audio,SK hynix BC501 HFM256GDJTNG-8310A (238GB),hp PLDS DVDRW  DU8AESH,Realtek PCIe GbE Family Controller,C,F4:39:09:03:BE:D3 (Primary),0,0,0,0,1,0,0,3,0,0
WMH109,WMH109,wardmemorial.org,"April 21, 2020 8:48:54 PM","WARDMEMORIAL\rgarcia (Since: Apr 20, 2020 11:49:37 AM)","April 20, 2020 4:49:08 PM",207.140.198.130/192.168.0.139;,Ward Memorial Hospital,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.778,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Symantec Endpoint Protection,Dell Inc.,Dell Inc. 08NPPY ,OptiPlex 3050,JD04JH2,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz ,7.89 GB,Intel(R) HD Graphics 630,Intel(R) Display Audio,SanDisk X400 2.5 7MM 256GB (238GB),HL-DT-ST DVD+-RW GU90N,Realtek PCIe GBE Family Controller,C,48:4D:7E:F4:61:32 (Primary),0,0,0,0,1,0,0,3,0,1
SHFCAD,SHFCAD,wardmemorial.org,"April 21, 2020 8:48:54 PM","WARDMEMORIAL\adarling (Since: Apr 17, 2020 9:49:50 PM)","April 20, 2020 9:58:32 PM",207.140.198.130/192.168.1.134;,Ward Memorial Hospital,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.778,"Microsoft Office Professional Edition 2003, Build  14.0.5130.5003",Symantec Endpoint Protection,Hewlett-Packard,Hewlett-Packard 304Bh ,HP Compaq 8100 Elite CMT PC,MXL0502342,Intel(R) Core(TM) i5 CPU 650 @ 3.20GHz ,11.87 GB,NVIDIA GeForce 8400GS,USB Audio Device,WDC WD1600AAJS-00PSA0 (149GB),hp DVD D  DH16D5S,Intel(R) 82578DM Gigabit Network Connection,C,64:31:50:21:99:AF (Primary),0,0,0,0,1,0,0,3,0,1
SHFCWIC,SHFCWIC,wardmemorial.org,"April 21, 2020 9:31:43 PM","WARDMEMORIAL\mredmon (Since: Apr 20, 2020 8:23:09 AM)","April 16, 2020 11:11:54 PM",207.140.198.130/192.168.0.157;,Ward Memorial Hospital,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.778,"Microsoft Office Standard 2016, Build  16.0.4266.1001",Symantec Endpoint Protection,LENOVO,LENOVO 30BB ,10EU001TUS,MJ04AU3F,Intel(R) Core(TM) i5-6400 CPU @ 2.70GHz ,7.91 GB,Intel(R) HD Graphics 530,Realtek High Definition Audio,ST500LM0 21-1KJ152 SCSI Disk Device (465GB),HL-DT-ST DVDRAM GUD0N SCSI CdRom Device,"Realtek PCIe GBE Family Controller,Bluetooth Device (Personal Area Network),Intel(R) Dual Band Wireless-AC 8260",C,98:EE:CB:37:22:D3 (Primary)E4:A4:71:CA:19:E4 E4:A4:71:CA:19:E8 ,0,0,0,0,1,0,0,3,0,1
WMH118,WMH118,wardmemorial.org,"April 21, 2020 8:48:56 PM","WARDMEMORIAL\sdavis (Since: Mar 28, 2020 7:01:21 PM),WARDMEMORIAL\nontiveroz (Since: Apr 1, 2020 7:25:45 PM),WARDMEMORIAL\drthaung (Since: Apr 4, 2020 9:25:50 AM),WARDMEMORIAL\rcorralgarcia (Since: Apr 5, 2020 7:02:46 PM)","March 28, 2020 11:53:39 AM",207.140.198.130/192.168.0.121;,Ward Memorial Hospital,Work Station,Microsoft Windows 10 Pro  x64,1803,17134.472,"Microsoft Office Standard 2016, Build  16.0.4266.1001",Symantec Endpoint Protection,HP,HP 829A ,HP EliteDesk 800 G3 DM 35W,8CG7254MBY,Intel(R) Core(TM) i5-7500T CPU @ 2.70GHz ,7.88 GB,Intel(R) HD Graphics 630,Intel(R) Display Audio,SAMSUNG MZVLW256HEHP-000H1 (238GB),,"Intel(R) Ethernet Connection (5) I219-LM,Intel(R) Dual Band Wireless-AC 8265,Bluetooth Device (Personal Area Network)",C,00:28:F8:9C:FE:6E 00:28:F8:9C:FE:72 98:E7:F4:BF:6C:69 (Primary),0,0,0,0,1,0,0,3,0,1
