Endpoint Name,Site,Last Logged In User,Group,Domain,Account,Console Visible IP,Agent Version,Last Active,Subscribed On,Health Status,Device Type,OS,OS Version,Architecture,Memory,CPU Count,Core Count,MAC Address,Management Connectivity,Network Status,Update Status,Scan Status,IP Addresses,Pending Uninstall,Disk Encryption,Vulnerability Status,Agent UUID,Agent ID,Customer Identifier,Console Migration Status,Locations,Agent Operational State,Agent Last Reboot Date
BRR102,Default site,will,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.4.12.260,2021-02-19T14:09:58.716843Z,2020-12-16T21:17:45.236002Z,Healthy,desktop,Windows,"Windows 10 Pro,19041",64 bit,8 GB,4,4,"['18:66:da:34:fa:37', '18:66:da:34:fa:37']",Offline,Connected,Up to date,Completed( <built-in method isoformat of datetime.datetime object at 0x7f9ddd1d0450>Z),"['192.168.0.128', 'fe80::71c2:29af:6089:b7d3']",No,Off,Requires patching,c4fb685fbf8d41a9a9d3c3d439cd0027,1047944046236396110,N/A,N/A,['Fallback'],Not disabled by the user,2021-02-19 10:01:00
BRR132,Default site,greg,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.6.12.241,2021-03-07T05:16:14.568523Z,2020-12-16T21:38:32.865714Z,Healthy,desktop,Windows,"Windows 10 Pro,19041",64 bit,16 GB,6,6,"['10:e7:c6:2f:49:e9', '10:e7:c6:2f:49:e9']",Online,Connected,Up to date,Completed( <built-in method isoformat of datetime.datetime object at 0x7f9ddd1d03f0>Z),"['192.168.0.124', 'fe80::749e:adbc:37c1:a76c']",No,Off,Up to date,9097c110e4384cc4a514d834b1e5facf,1047954512107760287,N/A,N/A,['Fallback'],Not disabled by the user,2021-03-06 10:00:51
BRR134,Default site,AnnGleason,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.6.12.241,2021-03-07T05:16:14.810703Z,2020-12-16T22:53:34.598513Z,Healthy,desktop,Windows,"Windows 10 Pro,19041",64 bit,16 GB,6,6,"['10:e7:c6:2f:4b:4e', '10:e7:c6:2f:4b:4e']",Online,Connected,Up to date,Completed( <built-in method isoformat of datetime.datetime object at 0x7f9ddd1d0ea0>Z),"['192.168.0.125', 'fe80::6d1f:b063:a6d9:aef4']",No,Off,Up to date,c7dbe09c96154015b2325e864f5dd10a,1047992275342362398,N/A,N/A,['Fallback'],Not disabled by the user,2021-03-06 10:00:45
BRRVH1,Default site,N/A,Default Group,WORKGROUP,Bemis Roach & Reed,12.229.222.18,4.2.7.192,2021-03-07T05:16:16.462481Z,2021-01-26T15:15:09.598477Z,Healthy,server,Windows,"Windows Server 2016 Standard,14393",64 bit,128 GB,24,24,"['54:48:10:f8:5c:82', '54:48:10:f8:5c:82']",Online,Connected,Out of date,Completed( <built-in method isoformat of datetime.datetime object at 0x7f9ddd1d02d0>Z),"['192.168.0.141', 'fe80::e027:a17e:bd1e:8341']",No,Off,Requires patching,3e99e1ba09a14214bb6f20876b782fa7,1077477351674111090,N/A,N/A,['Fallback'],Not disabled by the user,2020-06-27 01:16:23
BRRLAWEXSRV1,Default site,N/A,Default Group,BRRLAW,Bemis Roach & Reed,64.20.236.27,4.0.3.53,2021-03-07T05:16:16.462481Z,2021-03-06T14:43:06.375070Z,Healthy,server,Windows,"Windows Server 2012 R2 Standard,9600",64 bit,16 GB,4,4,"['00:15:5d:c9:e0:01', '00:15:5d:c9:e0:01']",Online,Connected,Up to date,Completed( <built-in method isoformat of datetime.datetime object at 0x7f9ddd1d0870>Z),"['10.101.201.60', 'fe80::1da8:cc33:f6bf:b41a']",No,Off,Up to date,846941525482445180a83290bba535ba,1105727472018358255,N/A,N/A,['Fallback'],Not disabled by the user,2021-03-06 14:49:33
brr117,Default site,Brian,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.6.12.241,2021-03-07T05:16:18.357416Z,2020-12-16T21:17:57.824579Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,4,"['18:60:24:f8:24:06', '18:60:24:f8:24:06']",Online,Connected,Up to date,Completed( <built-in method isoformat of datetime.datetime object at 0x7f9ddd1d0120>Z),"['192.168.0.175', 'fe80::284a:8606:2a0a:73c9']",No,Off,Requires patching,7380c68de9324f12831c8d31c3484b93,1047944151840588412,N/A,N/A,['Fallback'],Not disabled by the user,2021-03-06 10:00:45
BRR133,Default site,jasmine,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.6.12.241,2021-03-07T05:16:18.799293Z,2020-12-16T22:03:10.897074Z,Healthy,desktop,Windows,"Windows 10 Pro,19041",64 bit,16 GB,6,6,"['c8:d9:d2:17:7d:6e', 'c8:d9:d2:17:7d:6e']",Online,Connected,Up to date,Completed( <built-in method isoformat of datetime.datetime object at 0x7f9ddd1d0900>Z),"['192.168.0.147', 'fe80::5817:7368:e71f:85fb']",No,Off,Up to date,350405aead4848bd879be49f3aabd9b5,1047966910689339885,N/A,N/A,['Fallback'],Not disabled by the user,2021-03-06 10:00:48
BRR136,Default site,Trevor,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.6.12.241,2021-03-07T05:16:19.363250Z,2021-01-04T22:11:28.753367Z,Healthy,desktop,Windows,"Windows 10 Pro,19042",64 bit,16 GB,4,4,['8c:dc:d4:3c:89:a9'],Online,Connected,Up to date,Completed( <built-in method isoformat of datetime.datetime object at 0x7f9ddd1d09c0>Z),['192.168.0.152'],No,Off,Requires patching,9a0556392f6f43c7a96dc1deaeecc4e4,1061741825935054243,N/A,N/A,['Fallback'],Not disabled by the user,2021-03-06 10:00:53
BRR129,Default site,will,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.6.12.241,2021-03-07T05:16:19.672013Z,2020-12-16T21:17:44.798546Z,Healthy,desktop,Windows,"Windows 10 Pro,19042",64 bit,16 GB,6,6,"['f4:39:09:17:8b:c9', 'f4:39:09:17:8b:c9']",Online,Connected,Up to date,Completed( <built-in method isoformat of datetime.datetime object at 0x7f9dde85a600>Z),"['192.168.0.187', 'fe80::30c0:1397:7081:2a07']",No,On,Up to date,903674fd0fef45dabcf56610959f2abd,1047944042545408398,N/A,N/A,['Fallback'],Not disabled by the user,2021-03-06 10:00:48
BRR115,Default site,jake,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.6.12.241,2021-03-07T05:16:23.082540Z,2020-12-16T21:17:53.364902Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,16 GB,4,4,"['18:60:24:e4:62:18', '18:60:24:e4:62:18']",Online,Connected,Up to date,Completed( <built-in method isoformat of datetime.datetime object at 0x7f9dde85a540>Z),"['192.168.0.172', 'fe80::f0a5:a7eb:1702:7bc7']",No,Off,Requires patching,19ac9c040d2f405aa2f755960974282a,1047944114427395734,N/A,N/A,['Fallback'],Not disabled by the user,2021-03-06 10:00:48
