Computer Name,SentinelOne Y/N,SO Notes,Atera Y/N,Atera Notes,Screenconnect Y/N,OS Version,General Notes
CATALISPRINT,N,,N,,Y,-,
CC-CHARLIE,Y,,Y,,Y,Microsoft Windows 7 Professional SP1 x64,Last online February 5 2021 10:14:01 AM
CPP38002,Y,,Y,,Y,Microsoft Windows 7 Professional SP1 x64,Last online February 5 2021 10:14:02 AM
CPPFM-BILLING,Y,,Y,,Y,Microsoft Windows 7 Professional SP1 x64,Last online February 5 2021 10:14:02 AM
CPPFM-LPTP101,N,,N,,Y,-,
CPPFM-LPTP103,N,,N,,Y,-,
CPPFM-LPTP104,N,,N,,Y,-,
CPPFM-LPTP105,Y,,Y,,Y,Microsoft Windows 10 Pro  x64,Last online February 5 2021 10:14:01 AM
CPPFM-LPTP106,Y,,Y,,Y,Microsoft Windows 10 Pro  x64,Last online February 5 2021 10:14:05 AM
CPPFM-LPTP107,Y,,Y,,Y,Microsoft Windows 10 Pro  x64,Last online February 5 2021 10:14:02 AM
CPPFM-LPTP108,Y,,Y,,Y,Microsoft Windows 10 Pro  x64,Last online February 5 2021 12:58:48 PM
CPPFM-LPTP109,Y,,Y,,Y,Microsoft Windows 10 Pro  x64,Last online February 5 2021 12:59:55 PM
CPPFM-LPTP110,Y,,N,,Y,Windows 10 Pro,
CPPFM-LPTP111,Y,,Y,,Y,Microsoft Windows 10 Pro  x64,Last online February 5 2021 10:14:01 AM
CPPFM-LPTP112,Y,,Y,,Y,Microsoft Windows 10 Pro  x64,Last online March 6 2020 4:43:11 PM
CPPFM-LPTP113,N,,Y,,Y,Microsoft Windows 10 Pro  x64,Last online February 5 2021 10:14:01 AM
CPPFM-LPTP114,Y,,Y,,Y,Microsoft Windows 10 Pro  x64,Last online February 5 2021 12:36:43 PM
CPPFM-LPTP116,N,,Y,,Y,Microsoft Windows 10 Pro  x64,Last online February 5 2021 10:14:03 AM
CPPFM-LPTP117,N,,Y,,Y,Microsoft Windows 10 Pro  x64,Last online February 4 2021 3:33:31 PM
